Counter Action Skill,Unnamed: 1,Successful Raids,Unnamed: 3,Unnamed: 4,Unnamed: 5
Release,,,99,,
Out Turn,,29,,,
Struggle,,18,,,
Jump,,14,,,
In Turn,,10,,,
Dubki,5,,,,
Create Gap,2,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Chandran Ranjit,316,133,42%,,
Naveen Kumar,307,147,48%,0.000,1.0
Meraj Sheykh,213,72,34%,,
Pawan Kumar,90,36,40%,,
Shabeer Bappu,26,6,23%,,
Rajesh Narwal,20,5,25%,,
Yogesh Hooda,13,1,8%,,
Vishal,6,1,17%,,
Aman Kadian,3,0,0%,,
Satpal,2,0,0%,,
Sumit Kumar,1,0,0%,,
Attacking Skill,,,Successful Raids,,
Running Hand Touch,,,,69,
Hand Touch,,,36,,
Defender self out,,,19,,
Reverse Kick,,,21,,
Toe Touch,,,23,,
Leg Thrust,,,15,,
Side Kick,,7,,,
Running Kick,3,,,,
Defensive Skill,,Unsuccessful Raids,,,
Dive,,43,,,
Block,,41,,,
Thigh Hold,,28,,,
Push,,27,,,
Ankle Hold,,26,,,
Self-out,,24,,,
Body Hold,,24,,,
Follow,1,,,,
