Bengal Warriors,,,,Bengaluru Bull,,,,Dabang Delhi ,,,,Gujarat Fortunegiant,,,,Harayana Steelers,,,,Jaipur Pink Panther,,,,Patna Pirates,,,,Puneri Paltan ,,,,Tamil Thailaiva,,,,Telugu Titan,,,,U Mumba ,,,,UP Yoddha ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids
Release,86,,,Release,82,,,Release,90,,,Release,80,,,Release,63,,,Release,59,,,Release,75,,,Release,61,,,Release,61,,,Release,63,,,Release,55,,,Release,88
Struggle,47,,,Struggle,61,,,Struggle,31,,,Struggle,41,,,Struggle,40,,,Struggle,34,,,Struggle,43,,,Struggle,32,,,Struggle,32,,,Struggle,47,,,Struggle,34,,,Struggle,59
Out Turn,21,,,Jump,29,,,Jump,21,,,Out Turn,16,,,Jump,20,,,Out Turn,19,,,Out Turn,18,,,Out Turn,23,,,Out Turn,12,,,Out Turn,15,,,Jump,27,,,Jump,19
Create Gap,11,,,Out Turn,24,,,Out Turn,20,,,Jump,11,,,Out Turn,13,,,In Turn,10,,,Jump,14,,,Jump,20,,,Create Gap,9,,,Create Gap,12,,,Out Turn,18,,,Out Turn,17
Jump,10,,,Create Gap,9,,,Dubki,6,,,In Turn,8,,,Create Gap,8,,,Jump,5,,,Create Gap,8,,,Dubki,5,,,Jump,8,,,Jump,7,,,In Turn,6,,,Create Gap,12
In Turn,4,,,In Turn,4,,,Create Gap,5,,,Create Gap,7,,,Dubki,3,,,Create Gap,5,,,In Turn,5,,,Create Gap,4,,,In Turn,1,,,In Turn,2,,,Dubki,5,,,Dubki,8
Dubki,0,,,Dubki,1,,,In Turn,2,,,Dubki,5,,,In Turn,1,,,Dubki,2,,,Dubki,4,,,In Turn,1,,,Dubki,1,,,Dubki,0,,,Create Gap,3,,,In Turn,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids
Running Hand Touch,47,,,Running Hand Touch,58,,,Hand Touch,52,,,Running Hand Touch,30,,,Running Hand Touch,55,,,Hand Touch,51,,,Running Hand Touch,67,,,Running Hand Touch,67,,,Running Hand Touch,71,,,Running Hand Touch,27,,,Running Hand Touch,76,,,Running Hand Touch,44
Hand Touch,22,,,Hand Touch,35,,,Running Hand Touch,38,,,Side Kick,22,,,Hand Touch,28,,,Running Hand Touch,49,,,Hand Touch,36,,,Hand Touch,47,,,Hand Touch,35,,,Side Kick,20,,,Hand Touch,33,,,Hand Touch,31
Defender self out (lobby shirt pull),8,,,Defender self out (lobby shirt pull),15,,,Defender self out (lobby shirt pull),14,,,Hand Touch,17,,,Toe Touch,18,,,Defender self out (lobby shirt pull),14,,,Toe Touch,22,,,Defender self out (lobby shirt pull),14,,,Defender self out (lobby shirt pull),12,,,Hand Touch,17,,,Defender self out (lobby shirt pull),10,,,Defender self out (lobby shirt pull),12
Toe Touch,7,,,Side Kick,14,,,Side Kick,15,,,Defender self out (lobby shirt pull),8,,,Defender self out (lobby shirt pull),10,,,Toe Touch,23,,,Defender self out (lobby shirt pull),4,,,Toe Touch,15,,,Toe Touch,5,,,Toe Touch,17,,,Toe Touch,8,,,Side Kick,14
Side Kick,5,,,Toe Touch,8,,,Toe Touch,15,,,Toe Touch,13,,,Side Kick,7,,,Side Kick,14,,,Reverse Kick,13,,,Side Kick,5,,,Running Kick,5,,,Defender self out (lobby shirt pull),8,,,Side Kick,3,,,Toe Touch,14
Leg Thrust,2,,,Running Kick,5,,,Reverse Kick,7,,,Reverse Kick,11,,,Running Kick,6,,,Running Kick,2,,,Side Kick,7,,,Reverse Kick,5,,,Side Kick,4,,,Reverse Kick,11,,,Reverse Kick,3,,,Running Kick,5
Reverse Kick,1,,,Reverse Kick,5,,,Running Kick,1,,,Running Kick,5,,,Leg Thrust,5,,,Leg Thrust,2,,,Leg Thrust,1,,,Running Kick,5,,,Reverse Kick,3,,,Running Kick,7,,,Leg Thrust,1,,,Leg Thrust,5
,,,,,,,,,,,,Leg Thrust,1,,,Reverse Kick,3,,,Reverse Kick,1,,,,,,,,,,,Leg Thrust,2,,,Leg Thrust,1,,,,,,,Reverse Kick,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids
Ankle Hold,52,,,Thigh Hold,62,,,Dive,46,,,Thigh Hold,46,,,Thigh Hold,53,,,Ankle Hold,40,,,Thigh Hold,43,,,Dive,42,,,Thigh Hold,53,,,Ankle Hold,56,,,Block,44,,,Thigh Hold,59
Thigh Hold,51,,,Ankle Hold,50,,,Thigh Hold,38,,,Block,41,,,Ankle Hold,47,,,Thigh Hold,33,,,Ankle Hold,39,,,Ankle Hold,37,,,Ankle Hold,41,,,Thigh Hold,51,,,Thigh Hold,43,,,Block,51
Block,30,,,Dive,43,,,Ankle Hold,35,,,Ankle Hold,37,,,Block,31,,,Push,30,,,Dive,37,,,Thigh Hold,35,,,Dive,40,,,Block,37,,,Dive,34,,,Ankle Hold,42
Push,21,,,Block,40,,,Block,34,,,Dive,28,,,Dive,30,,,Block,22,,,Block,34,,,Block,22,,,Block,30,,,Dive,35,,,Push,31,,,Dive,33
Dive,20,,,Push,28,,,Push,24,,,Push,21,,,Push,17,,,Dive,17,,,Push,22,,,Self-out,20,,,Push,27,,,Push,34,,,Ankle Hold,31,,,Push,19
Body Hold,12,,,Chain_def,17,,,Chain_def,14,,,Self-out,16,,,Body Hold,17,,,Body Hold,14,,,Self-out,14,,,Push,14,,,Self-out,16,,,Body Hold,16,,,Chain_def,16,,,Body Hold,16
Chain_def,10,,,Body Hold,16,,,Self-out,9,,,Chain_def,15,,,Self-out,12,,,Self-out,11,,,Body Hold,8,,,Chain_def,10,,,Chain_def,15,,,Self-out,11,,,Body Hold,12,,,Self-out,14
Self-out,8,,,Self-out,14,,,Body Hold,8,,,Body Hold,14,,,Chain_def,11,,,Chain_def,10,,,Chain_def,6,,,Body Hold,7,,,Body Hold,13,,,Chain_def,11,,,Self-out,11,,,Chain_def,12
,,,,,,,,,,,,Follow,0,,,Follow,0,,,,,,,,,,,,,,,Follow,0,,,,,,,Follow,1,,,,
