,tour_name,result_code,series_id,end_date,event_sub_status,start_date,event_status,winning_margin,venue_id,sport,venue_name,game_id,event_stage,event_name,league_code,series_name,tour_id,venue_gmt_offset,team1_name,team1_score,team1_highlight,team2_name,team2_score,team2_highlight,winner,team1_player1_name,team1_player1_id,team1_player1_value,team1_player1_type,team1_player2_name,team1_player2_id,team1_player2_value,team1_player2_type,team1_player3_name,team1_player3_id,team1_player3_value,team1_player3_type,team1_player4_name,team1_player4_id,team1_player4_value,team1_player4_type,team1_player5_name,team1_player5_id,team1_player5_value,team1_player5_type,team2_player1_name,team2_player1_id,team2_player1_value,team2_player1_type,team2_player2_name,team2_player2_id,team2_player2_value,team2_player2_type,team2_player3_name,team2_player3_id,team2_player3_value,team2_player3_type,team2_player4_name,team2_player4_id,team2_player4_value,team2_player4_type,team2_player5_name,team2_player5_id,team2_player5_value,team2_player5_type,win_by_coin_toss,extra_time,golden_raid
128,"Pro Kabaddi League Season 5, 2017",T,8,10/18/2017 8:00:00 ,Match Tied,10/18/2017 8:00:00 ,Completed,0,7,kabaddi,"Shree Shivchhatrapati Sports Complex,Balewadi",414,League,Match 129,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Patna Pirates,29,false,Bengaluru Bulls,29,false,Tie,Monu Goyat,388,11,,Pardeep Narwal,197,7,,Jawahar Dagar,390,3,,Jaideep,579,2,,Vijay,745,2,,Rohit Kumar,326,9,,Ajay Kumar,389,6,,Sunil Jaipal,141,4,Raider,Kuldeep Singh,61,3,Defender,Mahender Singh,769,3,,,False,False
129,"Pro Kabaddi League Season 5, 2017",W,8,10/18/2017 9:00:00 ,Puneri Paltan beat Jaipur Pink Panthers (38-15),10/18/2017 9:00:00 ,Completed,23,7,kabaddi,"Shree Shivchhatrapati Sports Complex,Balewadi",415,League,Match 130,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Puneri Paltan,38,true,Jaipur Pink Panthers,15,false,Puneri Paltan,Deepak Niwas Hooda,41,14,,Akshay Jadhav,365,5,,Ziaur Rahman,536,4,,Rinku Narwal,796,4,,Rajesh Mondal,85,3,,Manjeet Chhillar,69,3,,Pawan Kumar Kadian,156,3,,Sidharth,611,3,All Rounder,Tushar Patil,242,2,,Nitin Rawal,791,2,,,False,False
130,"Pro Kabaddi League Season 5, 2017",T,8,10/20/2017 8:00:00 ,Match Tied,10/20/2017 8:00:00 ,Completed,0,7,kabaddi,"Shree Shivchhatrapati Sports Complex,Balewadi",416,League,Match 131,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Telugu Titans,37,false,Bengal Warriors,37,false,Tie,Nilesh Salunke,293,7,,Elangeshwaran R,667,6,All Rounder,Rahul Chaudhari,81,5,,Vishal Bhardwaj,358,4,,Mohsen Maghsoudloujafari,567,3,,Jang Kun Lee,12,8,,Deepak Narwal,211,5,,Surjeet Singh,322,5,,Ran Singh,160,4,,Ravindra Ramesh Kumawat,370,2,,,False,False
131,"Pro Kabaddi League Season 5, 2017",W,8,10/20/2017 9:00:00 ,Gujarat Fortunegiants beat Puneri Paltan (23-22),10/20/2017 9:00:00 ,Completed,1,7,kabaddi,"Shree Shivchhatrapati Sports Complex,Balewadi",417,League,Match 132,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Puneri Paltan,22,false,Gujarat Giants,23,true,Gujarat Giants,Rinku Narwal,796,7,,Deepak Niwas Hooda,41,3,,Rajesh Mondal,85,2,,Akshay Jadhav,365,2,,Suresh Kumar,771,2,Raider,Sachin,757,7,,Sunil Kumar,368,7,Defender,Mahendra Ganesh Rajput,163,4,,Sukesh Hegde,111,2,,Parvesh Bhainswal,357,2,,,False,False
132,"Pro Kabaddi League Season 5, 2017",W,8,10/23/2017 8:00:00 ,Puneri Paltan beat U.P. Yoddha (40-38),10/23/2017 8:00:00 ,Completed,2,5,kabaddi,"‘Dome, NSCI SVP Stadium’",418,Playoffs,Eliminator 1,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Puneri Paltan,40,true,U.P. Yoddhas,38,false,Puneri Paltan,Deepak Niwas Hooda,41,10,,Girish Maruti Ernak,161,7,,Akshay Jadhav,365,6,,Rajesh Mondal,85,5,,Sandeep Narwal,142,3,,Rishank Devadiga,94,15,,Nitin Tomar,320,9,,Sagar B. Krishna,347,2,,Jeeva Kumar,54,2,,Surender Singh,234,1,,,False,False
133,"Pro Kabaddi League Season 5, 2017",W,8,10/23/2017 9:00:00 ,Patna Pirates beat Haryana Steelers (69-30),10/23/2017 9:00:00 ,Completed,39,5,kabaddi,"‘Dome, NSCI SVP Stadium’",419,Playoffs,Eliminator 2,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Patna Pirates,69,true,Haryana Steelers,30,false,Patna Pirates,Pardeep Narwal,197,34,,Monu Goyat,388,10,,Jaideep,579,7,,Vijay,745,5,,Jawahar Dagar,390,1,,Prashanth Kumar Rai,155,8,,Deepak Kumar Dahiya,174,6,,Vikash Khandola,366,6,,Wazir Singh,124,3,,Surender Nada,146,3,Defender - Left Corner,,False,False
134,"Pro Kabaddi League Season 5, 2017",W,8,10/24/2017 8:00:00 ,Gujarat Fortunegiants beat Bengal Warriors (42-17),10/24/2017 8:00:00 ,Completed,25,5,kabaddi,"‘Dome, NSCI SVP Stadium’",420,Playoffs,Qualifier 1,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Gujarat Giants,42,true,Bengal Warriors,17,false,Gujarat Giants,Sachin,757,9,,Mahendra Ganesh Rajput,163,8,,Rakesh Narwal,204,4,,Parvesh Bhainswal,357,4,,Sunil Kumar,368,4,Defender,Deepak Narwal,211,5,,Shrikant Tewthia,107,4,,Maninder Singh,143,1,,Ran Singh,160,1,,Surjeet Singh,322,1,,,False,False
135,"Pro Kabaddi League Season 5, 2017",W,8,10/24/2017 9:00:00 ,Patna Pirates beat Puneri Paltan (42-32),10/24/2017 9:00:00 ,Completed,10,5,kabaddi,"‘Dome, NSCI SVP Stadium’",421,Playoffs,Eliminator 3,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Puneri Paltan,32,false,Patna Pirates,42,true,Patna Pirates,Deepak Niwas Hooda,41,9,,Dharmaraj Cheralathan,42,3,,Rajesh Mondal,85,3,,Sandeep Narwal,142,3,,Suresh Kumar,771,3,Raider,Pardeep Narwal,197,19,,Monu Goyat,388,3,,Jaideep,579,3,,Vijay,745,3,,Jawahar Dagar,390,2,,,False,False
136,"Pro Kabaddi League Season 5, 2017",W,8,10/26/2017 8:00:00 ,Patna Pirates beat Bengal Warriors (47-44),10/26/2017 8:00:00 ,Completed,3,16,kabaddi,Jawaharlal Nehru Indoor Stadium,422,Playoffs,Qualifier 2,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Bengal Warriors,44,false,Patna Pirates,47,true,Patna Pirates,Maninder Singh,143,17,,Deepak Narwal,211,10,,Ran Singh,160,5,,Shrikant Tewthia,107,3,,Surjeet Singh,322,2,,Pardeep Narwal,197,23,,Monu Goyat,388,4,,Vijay,745,4,,Vishal Mane,123,3,,Jaideep,579,2,,,False,False
137,"Pro Kabaddi League Season 5, 2017",W,8,10/28/2017 8:00:00 ,Patna Pirates beat Gujarat Fortunegiants (55-38),10/28/2017 8:00:00 ,Completed,17,16,kabaddi,Jawaharlal Nehru Indoor Stadium,423,Final,Final,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Gujarat Giants,38,false,Patna Pirates,55,true,Patna Pirates,Sachin,757,11,,Mahendra Ganesh Rajput,163,5,,Chandran Ranjit,36,4,,Rakesh Narwal,204,3,,Sukesh Hegde,111,2,,Pardeep Narwal,197,19,,Monu Goyat,388,9,,Vijay,745,7,,Jaideep,579,5,,Jawahar Dagar,390,2,,,False,False
