Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Sunil,115,54,47%
Vikas Kale,108,39,36%
Ravi Kumar,106,47,44%
Dharmaraj Cheralathan,91,41,45%
Kuldeep Singh,35,11,31%
Chand Singh,22,6,27%
Vinay,15,4,27%
Parveen,15,3,20%
Vikash Khandola,12,5,42%
Naveen,9,2,22%
Prashanth Kumar Rai,6,0,0%
Vikram Kandola,4,0,0%
Selvamani K,4,2,50%
Phonchoo Tin,1,0,0%
