Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Vishal Bhardwaj,114,53,46%
Abozar Mighani,83,37,45%
Farhad Milaghardan,76,31,41%
C. Arun,59,22,37%
Krushna Madane,33,15,45%
Aakash Dattu Arsul,25,8,32%
Akash Choudhary,24,7,29%
Rakesh Gowda,21,8,38%
Amit Kumar,20,8,40%
Manish,8,2,25%
Siddharth Sirish Desai,7,3,43%
Suraj Desai,6,1,17%
Armaan,5,1,20%
Rajnish,4,2,50%
Kamal Singh,4,2,50%
Ankit Beniwal,4,1,25%
Palle Mallikarjun,2,1,50%
