Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Neeraj Kumar,121,54,45%
Jaideep,111,49,44%
Hadi Oshtorak,85,33,39%
Vikas Jaglan,61,23,38%
Monu,40,19,48%
Mohammad Esmaeil Mag..,25,10,40%
Jawahar Dagar,15,5,33%
Jang Kun Lee,11,2,18%
Ravinder,8,2,25%
Pardeep Narwal,3,1,33%
Ashish,2,0,0%
Purna Singh,1,0,0%
Amit Kumar,1,0,0%
