Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Sandeep Dhull,140,66,47%
Amit Hooda,82,42,51%
Vishal,77,39,51%
Sunil Siddhgavali,41,7,17%
Pavan T. R.,33,10,30%
Nitin Rawal,29,15,52%
Santhapanaselvam,27,13,48%
Deepak Hooda,23,10,43%
Nilesh Salunke,9,3,33%
Elavarasan A,8,3,38%
Sachin Narwal,5,1,20%
Deepak Narwal,5,1,20%
Sushil Gulia,2,1,50%
Ajinkya Ashok Pawar,2,0,0%
Milinda Chathuranga,1,0,0%
Lokesh Kaushik,1,0,0%
Karamvir,1,0,0%
