Defender Success rate,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Defender Name,Total Tackles,Successful Tackles,,Color % Successful Tac..,
Parvesh Bhainswal,92,51,55%,0,1
Sunil Kumar,77,39,51%,,
Ruturaj Shivaji Koravi,53,17,32%,,
Pankaj,53,28,53%,,
More G B,41,24,59%,,
Ankit,31,11,35%,,
Sumit Malik,30,12,40%,,
Rohit Gulia,20,10,50%,,
Amit Kharb,13,2,15%,,
Vinod Kumar,9,4,44%,,
Sonu Jaglan,5,3,60%,,
Sachin,5,1,20%,,
Lalit Chaudhary,2,2,100%,,
Sonu Gahlawat,1,1,100%,,
