Season,Skill Type,Skill Name,Bengal Warriors (4),Bengaluru Bulls (1),Dabang Delhi (2),Gujarat Giants (31),Haryana Steelers (28),Jaipur Pink Panthers (3),Patna Pirates (6),Puneri Paltan (7),Tamil Thalaivas (29),Telugu Titans (8),U Mumba (5),U.P. Yoddha (30)
9,Counter Action Skill,Create Gap,10,9,15,10,10,11,1,17,4,12,11,8
9,Counter Action Skill,Jump,7,16,14,18,15,7,13,17,10,8,14,14
9,Counter Action Skill,In Turn,6,5,14,11,9,16,7,16,5,6,8,8
9,Counter Action Skill,Dubki,1,1,7,10,4,1,4,6,11,2,4,15
9,Counter Action Skill,Push,,2,,,,,,,,,,
9,Attacking Skill,Running Hand Touch,39,100,77,68,64,84,70,66,54,45,44,52
9,Attacking Skill,Hand Touch,37,56,29,31,34,74,30,50,47,17,29,42
9,Attacking Skill,Defender self out (lobby shirt pull),20,29,19,20,18,22,18,14,15,12,14,18
9,Attacking Skill,Side Kick,14,5,13,18,15,5,9,20,8,23,9,9
9,Attacking Skill,Toe Touch,16,9,17,11,15,17,19,32,21,23,8,18
9,Attacking Skill,Reverse Kick,3,1,11,12,2,5,0,8,,11,4,2
9,Attacking Skill,Running Kick,2,1,1,6,6,2,1,11,1,4,6,4
9,Defensive Skill,Thigh Hold,55,43,48,53,57,53,43,49,55,61,52,45
9,Defensive Skill,Block,48,58,35,26,44,30,37,36,33,47,30,48
9,Defensive Skill,Ankle Hold,34,35,31,40,38,51,33,24,41,59,53,38
9,Defensive Skill,Dive,28,18,32,21,21,12,25,21,19,26,24,18
9,Defensive Skill,Chain_def,22,18,18,22,20,13,14,8,11,16,13,16
9,Defensive Skill,Push,16,31,31,23,17,14,22,31,26,23,46,20
9,Defensive Skill,Body Hold,16,8,16,13,28,11,15,13,10,23,11,16
9,Defensive Skill,Self-out,15,14,10,11,16,18,7,18,12,7,9,12
9,Defensive Skill,Follow,1,2,0,0,,1,1,0,,0,0,0
