Season,Tackle Type,Skill Type,Skill Name,Bengal Warriors (4),Bengaluru Bulls (1),Dabang Delhi (2),Gujarat Giants (31),Haryana Steelers (28),Jaipur Pink Panthers (3),Patna Pirates (6),Puneri Paltan (7),Tamil Thalaivas (29),Telugu Titans (8),U Mumba (5),U.P. Yoddha (30)
7,Unsuccessful Tackles,Attacking Skill,Defender selfout(lobby shirt pull),3,2,1,1,5,2,0,2,4,2,4,3
7,Unsuccessful Tackles,Attacking Skill,Leg Thrust,2,6,5,,,,,1,1,1,,2
8,Successful Tackles,Defensive Skill,Thigh Hold,52,63,51,41,43,30,56,29,38,42,66,56
8,Successful Tackles,Defensive Skill,Ankle Hold,17,57,27,29,43,36,58,75,31,45,36,53
8,Successful Tackles,Defensive Skill,Block,15,27,50,38,42,36,48,36,43,24,27,29
8,Successful Tackles,Defensive Skill,Dive,39,46,18,37,17,50,47,25,24,29,30,43
8,Successful Tackles,Defensive Skill,Push,19,17,28,18,33,19,29,43,28,23,16,14
8,Successful Tackles,Defensive Skill,Body Hold,15,15,12,8,9,19,9,7,25,20,10,4
8,Successful Tackles,Defensive Skill,Chain_def,8,9,2,14,12,9,25,15,22,5,10,16
8,Successful Tackles,Defensive Skill,Self-out,4,3,4,15,3,2,4,5,3,3,2,
8,Successful Tackles,Defensive Skill,Follow,1,0,,,,0,,,0,0,,
8,Unsuccessful Tackles,Counter Action Skill,Release,65,96,70,46,64,66,84,82,72,67,72,79
8,Unsuccessful Tackles,Counter Action Skill,Struggle,33,38,51,39,41,64,38,45,29,32,45,46
8,Unsuccessful Tackles,Counter Action Skill,Out Turn,16,17,22,16,24,15,16,16,32,19,12,12
8,Unsuccessful Tackles,Counter Action Skill,Jump,28,16,9,19,15,15,12,12,17,14,16,18
8,Unsuccessful Tackles,Counter Action Skill,Create Gap,10,5,7,6,2,11,5,13,16,5,7,7
8,Unsuccessful Tackles,Counter Action Skill,In Turn,3,4,6,4,4,1,2,5,3,2,6,5
8,Unsuccessful Tackles,Counter Action Skill,Dubki,3,2,0,4,4,2,1,2,5,10,5,2
8,Unsuccessful Tackles,Counter Action Skill,Chain,,,,,,,,0,0,1,,
8,Unsuccessful Tackles,Attacking Skill,Running Hand Touch,44,47,76,71,44,56,51,43,43,67,31,56
8,Unsuccessful Tackles,Attacking Skill,Hand Touch,31,33,40,41,27,36,34,29,35,35,32,31
8,Unsuccessful Tackles,Attacking Skill,Toe Touch,13,14,16,17,10,9,8,17,19,18,8,16
8,Unsuccessful Tackles,Attacking Skill,Side Kick,9,9,10,5,18,9,14,11,4,10,15,16
8,Unsuccessful Tackles,Attacking Skill,Defender selfout(lobby shirt pull),20,7,12,12,7,10,6,10,9,15,10,11
8,Unsuccessful Tackles,Attacking Skill,Reverse Kick,7,6,2,10,5,5,6,6,3,3,6,6
8,Unsuccessful Tackles,Attacking Skill,Running Kick,6,4,5,2,2,5,6,2,1,2,2,4
8,Unsuccessful Tackles,Attacking Skill,Leg Thrust,3,1,,,1,2,3,,3,2,1,2
9,Successful Tackles,Defensive Skill,Thigh Hold,55,67,45,32,43,74,45,40,58,47,51,62
9,Successful Tackles,Defensive Skill,Block,43,34,39,39,37,39,40,55,53,34,26,33
9,Successful Tackles,Defensive Skill,Ankle Hold,28,58,36,25,49,45,31,49,31,27,67,36
9,Successful Tackles,Defensive Skill,Push,31,18,23,38,27,26,20,29,33,13,23,19
9,Successful Tackles,Defensive Skill,Dive,18,35,31,15,19,14,29,17,18,26,22,20
9,Successful Tackles,Defensive Skill,Chain_def,13,10,25,7,12,37,20,25,13,6,17,9
9,Successful Tackles,Defensive Skill,Body Hold,13,3,22,20,18,16,10,23,24,9,8,14
9,Successful Tackles,Defensive Skill,Self-out,3,1,2,,1,2,,1,2,3,2,
9,Successful Tackles,Defensive Skill,Follow,1,,,0,1,1,0,0,,0,,1
9,Successful Tackles,Defensive Skill,In Turn,,,7,,,,,14,,,,
9,Successful Tackles,Defensive Skill,Out Turn,,,,,,,,12,,,,
9,Successful Tackles,Defensive Skill,Dubki,,,,,,10,,7,,,,
9,Successful Tackles,Defensive Skill,Create Gap,,,1,,,,,6,,,,
9,Successful Tackles,Defensive Skill,Raider self out(lobby timeout),,,,,,,,,2,1,,
9,Unsuccessful Tackles,Attacking Skill,Running Hand Touch,51,42,92,94,61,51,50,59,77,93,40,53
9,Unsuccessful Tackles,Attacking Skill,Hand Touch,56,38,51,35,39,38,45,27,39,35,37,36
9,Unsuccessful Tackles,Attacking Skill,Defender selfout(lobby shirt pull),21,16,17,20,16,17,22,13,23,16,18,19
9,Unsuccessful Tackles,Attacking Skill,Toe Touch,17,8,31,19,14,12,15,16,17,24,17,15
9,Unsuccessful Tackles,Attacking Skill,Side Kick,16,18,15,11,7,6,17,11,17,11,8,11
9,Unsuccessful Tackles,Attacking Skill,Running Kick,9,1,7,7,4,1,5,,4,2,3,2
9,Unsuccessful Tackles,Attacking Skill,Reverse Kick,2,3,5,4,3,5,12,4,4,5,10,2
9,Unsuccessful Tackles,Counter Action Skill,Release,81,87,74,67,61,64,68,78,71,67,74,90
9,Unsuccessful Tackles,Counter Action Skill,Struggle,36,54,62,57,54,30,37,59,46,67,28,45
9,Unsuccessful Tackles,Counter Action Skill,Out Turn,18,17,16,13,16,13,12,12,25,11,10,13
9,Unsuccessful Tackles,Counter Action Skill,Jump,11,12,10,12,8,23,11,17,14,13,11,11
9,Unsuccessful Tackles,Counter Action Skill,Create Gap,11,8,14,12,11,14,4,5,10,12,6,9
9,Unsuccessful Tackles,Counter Action Skill,In Turn,3,4,7,12,15,10,15,14,11,10,4,5
9,Unsuccessful Tackles,Counter Action Skill,Dubki,3,6,9,5,4,10,1,7,5,9,3,4
