,event_no,event_half,event,event_id,event_text,raider_id,raiding_team_id,defender_id,defending_team_id,raid_points,raid_touch_points,raid_bonus_points,raid_technical_points,raid_all_out_points,defending_capture_points,defending_bonus_points,defending_technical_points,defending_all_out_points,super_raid,super_tackle,do_or_die,super_ten,high_five,review,defending_points,clock,status_id,score,seq_no,defenders,created_date,team_id,player_id,substituted_by,substitute_time
10,11,1,Empty Raid,3,Shivam Patare empty raid,4108.0,28.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,15:21,0,"[3, 3]",11,[],2024-02-28T21:13:14,,,,
11,12,1,Empty Raid,3,Arjun Deshwal empty raid,2024.0,3.0,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,14:55,0,"[3, 3]",12,[],2024-02-28T21:13:44,,,,
12,13,1,Successful Raid,1,Vinay  raids successfully,3054.0,28.0,,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False,True,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,14:26,0,"[4, 4]",13,[4769],2024-02-28T21:14:31,,,,
13,14,1,Unsuccessful Raid,2,Bhavani Rajput unsuccessful raid,660.0,3.0,3028.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,13:43,0,"[4, 5]",14,[3028],2024-02-28T21:15:08,,,,
14,15,1,Empty Raid,3,Ashish  empty raid,3028.0,28.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,13:15,0,"[4, 5]",15,[],2024-02-28T21:15:38,,,,
15,16,1,Successful Raid,1,Arjun Deshwal raids successfully,2024.0,3.0,,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,12:47,0,"[5, 5]",16,[],2024-02-28T21:16:07,,,,
16,17,1,Empty Raid,3,Vinay  empty raid,3054.0,28.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,12:19,0,"[5, 5]",17,[],2024-02-28T21:16:34,,,,
17,18,1,Empty Raid,3,V Ajith Kumar empty raid,3053.0,3.0,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': False, 'team_id': 0, 'outcome': None, 'reason': None}",0.0,11:51,0,"[5, 5]",18,[],2024-02-28T21:17:00,,,,
18,19,1,Successful Raid,1,Vinay  raids successfully,3054.0,28.0,,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,"{'review_taken': True, 'team_id': 28, 'outcome': {'id': 0, 'outcome_value': ''}, 'reason': None}",0.0,11:26,0,"[5, 7]",19,"[368, 3053]",2024-02-28T21:19:06,,,,
19,20,1,Successful Raid,1,Arjun Deshwal raids successfully,2024.0,3.0,,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,"{'review_taken': True, 'team_id': 3, 'outcome': {'id': 0, 'outcome_value': ''}, 'reason': None}",0.0,09:59,0,"[6, 7]",20,[4954],2024-02-28T21:21:16,,,,
