PlayerName,MatchesPlayed,Rank,PlayerProfile,TotalPoints,SuccessfulRaidPoints,RaidPoints,SuccessfulTackles,TacklePoints,AverageRaidPoints,AverageTacklePoints,DODRaidPoints,SuperRaids,SuperTackles,Super10s,High5s
Deepak Kumar Dahiya,66,93,Raider,192,,,,,,,,,,,
Mahesh Goud,53,94,Raider,189,,,,,,,,,,,
Sunil ,65,95,Defender - Right Corner,189,,,,,,,,,,,
Jaideep ,91,96,Defender - Left Corner,188,,,,,,,,,,,
Ashish Sangwan,89,97,Defender,187,,,,,,,,,,,
Naveen ,102,98,Raider,187,,,,,,,,,,,
Surjeet Singh,48,99,Raider,185,,,,,,,,,,,
Kuldeep Singh,48,100,Defender,184,,,,,,,,,,,
Ravi Dalal,66,101,Raider,182,,,,,,,,,,,
Vishal ,38,102,Defender - Left Cover,179,,,,,,,,,,,
Neeraj Kumar,80,103,Defender - Right Cover,178,,,,,,,,,,,
Surjeet Narwal,80,104,Raider,174,,,,,,,,,,,
Nitin Madane,31,105,Raider,174,,,,,,,,,,,
Mohsen Maghsoudlou,37,106,Raider,173,,,,,,,,,,,
Nitin Kumar,75,107,Right Raider,169,,,,,,,,,,,
Ashu Singh,20,108,Defender - Right Cover,169,,,,,,,,,,,
Selvamani K,87,109,Raider,166,,,,,,,,,,,
Mohit Nandal,59,110,Defender - Right Cover,162,,,,,,,,,,,
Ankush ,67,111,Defender - Left Corner,161,,,,,,,,,,,
Shubham Shinde,46,112,Defender - Right Corner,159,,,,,,,,,,,
Shrikant Tewthia,84,113,All Rounder,159,,,,,,,,,,,
Sahil Gulia,74,114,Defender - Left Corner,159,,,,,,,,,,,
Surender Singh,63,115,Raider,156,,,,,,,,,,,
Abolfazel Maghsodlo,51,116,Raider,155,,,,,,,,,,,
Bhavani Rajput,50,117,Raider,155,,,,,,,,,,,
Nilesh Shinde,59,118,Defender,154,,,,,,,,,,,
Farhad Milaghardan,69,119,Defender,153,,,,,,,,,,,
Hadi Oshtorak,62,120,All Rounder,153,,,,,,,,,,,
Rinku Narwal,93,121,Defender - Left Corner,152,,,,,,,,,,,
Athul MS,75,122,Raider,151,,,,,,,,,,,
Amirmohammad Zafardanesh,54,123,All-Rounder,149,,,,,,,,,,,
Rinku ,20,124,Defender - Right Corner,148,,,,,,,,,,,
Adarsh T,50,125,Defender - Left Corner,147,,,,,,,,,,,
Manjeet ,58,126,Raider,144,,,,,,,,,,,
Himanshu ,45,127,Defender - Left Corner,143,,,,,,,,,,,
Sahul Kumar,54,128,Defender - Right Corner,143,,,,,,,,,,,
Abinesh Nadarajan,63,129,Defender - Right Cover,141,,,,,,,,,,,
Tushar Patil,61,130,Raider,140,,,,,,,,,,,
Krishan ,53,131,Defender - Right Corner,139,,,,,,,,,,,
Rohit Rana,66,132,Defender,139,,,,,,,,,,,
Sonu Narwal,82,133,Raider,138,,,,,,,,,,,
Rahul Sethpal,33,134,Defender - Right Corner,138,,,,,,,,,,,
Ankit Beniwal,56,135,Raider,138,,,,,,,,,,,
Aman ,30,136,Defender - Left Corner,138,,,,,,,,,,,
Jai Bhagwan,60,137,Raider,137,,,,,,,,,,,
Dong Geon Lee,32,138,Raider,132,,,,,,,,,,,
C. Arun,55,139,Defender,129,,,,,,,,,,,
Sunil Jaipal,105,140,Raider,126,,,,,,,,,,,
Shivam Patare,38,141,Left Raider,125,,,,,,,,,,,
Sachin Shingade,23,142,Defender,120,,,,,,,,,,,
Sandeep Kandola,75,143,Defender - Left Corner,119,,,,,,,,,,,
Sushil ,46,144,Raider,118,,,,,,,,,,,
Jasmer Gulia,21,145,All Rounder,117,,,,,,,,,,,
Vinod Kumar,52,146,Raider,116,,,,,,,,,,,
Sunil ,51,147,Defender,110,,,,,,,,,,,
Sudhakar M,63,148,Raider,109,,,,,,,,,,,
M. Abishek,19,149,Defender - Right Cover,105,,,,,,,,,,,
Rohit Tomar,61,150,Raider,104,,,,,,,,,,,
Baldev Singh,23,151,Defender - Right Corner,103,,,,,,,,,,,
D. SURESH KUMAR,58,152,Defender,103,,,,,,,,,,,
Rakesh Gowda,59,153,Raider,103,,,,,,,,,,,
Darshan Kadian,26,154,Raider,103,,,,,,,,,,,
GURVINDER SINGH,40,155,Raider,102,,,,,,,,,,,
Reza Mirbagheri,45,156,Defender - Right Cover,100,,,,,,,,,,,
Vikas Kale,38,157,Defender,100,,,,,,,,,,,
Amit Sheoran,62,158,Defender,99,,,,,,,,,,,
Anil Kumar,56,159,Defender - Left Cover,98,,,,,,,,,,,
Rohit Kumar Choudary,62,160,Raider,97,,,,,,,,,,,
Sanket Sawant,38,161,Defender - Left Cover,96,,,,,,,,,,,
Bajirao Hodage,74,162,Defender,95,,,,,,,,,,,
Gaurav Khatri,61,163,Defender - Right Corner,95,,,,,,,,,,,
Vikash Jaglan,40,164,Raider,93,,,,,,,,,,,
Harendra Kumar,54,165,Defender - Left Cover,93,,,,,,,,,,,
Gagana Gowda,77,166,Right Raider,92,,,,,,,,,,,
Mohit ,13,167,Defender - Left Corner,92,,,,,,,,,,,
Sumit Singh,42,168,Raider,91,,,,,,,,,,,
Sandeep Kumar,37,169,Raider,90,,,,,,,,,,,
