Counter Action Skill,Successful Raids,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Release,,75,,,
Struggle,64,,,,
Out Turn,18,,,,
Jump,18,,,,
In Turn,11,,,,
Dubki,10,,,,
Create Gap,10,,,,
Raider Success rate,,,,,
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Rakesh Sangroya,271,111,41%,,
Parteek Dhaiya,240,126,53%,0.000,1.0
Chandran Ranjit,162,75,46%,,
Sonu,80,30,38%,,
Mahendra Ganesh Rajput,67,39,58%,,
Dong Geon Lee,65,30,46%,,
Shankar Bhimraj Gadai,11,4,36%,,
Purna Singh,8,1,13%,,
Prashanth Kumar Rai,7,2,29%,,
Arkam Shaikh,7,1,14%,,
Rinku Narwal,5,0,0%,,
Pardeep Kumar,5,0,0%,,
Rohit Kumar,4,1,25%,,
Rohan Singh,1,0,0%,,
Mohammad Ghorbani,1,0,0%,,
Gaurav Chhikara,1,0,0%,,
Attacking Skill,,Successful Raids,,,
Running Hand Touch,,,68,,
Hand Touch,,31,,,
Defender self out (lobby shirt pull),,20,,,
Side Kick,,18,,,
Toe Touch,,11,,,
Reverse Kick,,12,,,
Running Kick,6,,,,
Defensive Skill,,Unsuccessful Raids,,,
Thigh Hold,,,53,,
Ankle Hold,,40,,,
Block,,26,,,
Push,,23,,,
Chain_def,,22,,,
Dive,,21,,,
Body Hold,,13,,,
Self-out,,11,,,
Follow,0,,,,
