Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Bharat Naresh,361,211,58%
Vikash Kandola,306,106,35%
Neeraj Narwal,193,61,32%
Sachin Narwal,60,27,45%
Vikash Khandola,18,10,56%
Bharat,18,12,67%
Mahender Singh,12,0,0%
Harmanjit Singh,10,0,0%
More G B,5,0,0%
Saurabh Nandal,2,2,100%
