Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Rohit Gulia,293,122,42%
Sachin Tanwar,272,109,40%
Sachin,105,41,39%
Monu Sandhu,96,12,13%
Anuj Kumar,37,7,19%
Ranjit Venkatramana Naik,33,14,42%
Anand Surendra Tomar,24,14,58%
Vishwas S,21,6,29%
Shadloui Chianeh,20,4,20%
Abdul Insamam S,18,5,28%
Daniel Omondi Odhiambo,16,9,56%
Neeraj Kumar,12,0,0%
Sunil,2,0,0%
Sukesh Hegde,2,0,0%
Naveen Sharma,1,0,0%
Manish,1,0,0%
