Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Maninder Singh,363,186,51%
Shrikant Jadhav,250,99,40%
Deepak Hooda,124,40,32%
Manoj Gowda,56,20,36%
Ajinkya Kapre,30,6,20%
Aslam Thambi,18,4,22%
R Guhan,14,7,50%
Akash Pikalmunde,14,6,43%
Suyog Gaikar,11,3,27%
Parshant Kumar,11,2,18%
Rohit,9,5,56%
Shubham Shinde,8,0,0%
Ashish Kumar,8,0,0%
Surender Nada,5,0,0%
Vinod Kumar,2,0,0%
Vaibhav Garje,1,0,0%
