team,season,Raider Name,Total Raids,Successful Raids,Unnamed: 3
Gujarat Fortunegiants,PKL-S5,Abozar Mighani,6,0,0%
Gujarat Fortunegiants,PKL-S5,Amit Rathi,3,0,0%
Gujarat Fortunegiants,PKL-S5,Manoj Kumar,2,0,0%
Gujarat Fortunegiants,PKL-S5,Mahipal Narwal,1,0,0%
UP Yoddha,PKL-S5,Nitin Tomar,327,137,42%
UP Yoddha,PKL-S5,Rishank Devadiga,305,128,42%
UP Yoddha,PKL-S5,Surender Singh,131,47,36%
UP Yoddha,PKL-S5,Mahesh Goud,90,31,34%
UP Yoddha,PKL-S5,Rajesh Narwal,80,7,9%
UP Yoddha,PKL-S5,Santhosh B.S,18,1,6%
UP Yoddha,PKL-S5,Hadi Tajik,12,2,17%
UP Yoddha,PKL-S5,Sagar Krishna,10,1,10%
UP Yoddha,PKL-S5,Gulveer Singh,8,1,13%
UP Yoddha,PKL-S5,Pankaj,6,0,0%
UP Yoddha,PKL-S5,Sunil,3,0,0%
UP Yoddha,PKL-S5,Sulieman Kabir,3,0,0%
UP Yoddha,PKL-S5,Sanoj Kumar,2,2,100%
UP Yoddha,PKL-S5,Rohit Kumar,2,1,50%
UP Yoddha,PKL-S5,Nitesh Kumar,2,0,0%
UP Yoddha,PKL-S5,Jeeva Kumar,2,0,0%
UP Yoddha,PKL-S5,Ajvender Singh,1,0,0%
Bengaluru Bulls,PKL-S5,Rohit Kumar,418,196,47%
Bengaluru Bulls,PKL-S5,Ajay Kumar,257,72,28%
Bengaluru Bulls,PKL-S5,Ashish Kumar,70,18,26%
Bengaluru Bulls,PKL-S5,Sunil Jaipal,54,13,24%
Bengaluru Bulls,PKL-S5,Harish Naik,53,21,40%
Bengaluru Bulls,PKL-S5,Gurvinder Singh,37,10,27%
Bengaluru Bulls,PKL-S5,Preetam Chhillar,29,1,3%
Bengaluru Bulls,PKL-S5,Sachin Kumar,7,0,0%
Bengaluru Bulls,PKL-S5,Ravinder Pahal,6,1,17%
Bengaluru Bulls,PKL-S5,Sumit Singh,5,0,0%
Bengaluru Bulls,PKL-S5,Rohit,5,3,60%
Bengaluru Bulls,PKL-S5,Mahender Singh,2,1,50%
Bengal Warriors,PKL-S5,Maninder Singh,367,160,44%
Bengal Warriors,PKL-S5,Jang Kun Lee,212,82,39%
Bengal Warriors,PKL-S5,Deepak Narwal,187,73,39%
Bengal Warriors,PKL-S5,Vinod Kumar,123,28,23%
Bengal Warriors,PKL-S5,Bhupender Singh,83,16,19%
Bengal Warriors,PKL-S5,Surjeet Singh,52,3,6%
Bengal Warriors,PKL-S5,Ran Singh,27,10,37%
Bengal Warriors,PKL-S5,Virender,11,3,27%
Bengal Warriors,PKL-S5,Ravindra Ramesh Kumaw..,7,2,29%
Bengal Warriors,PKL-S5,Shrikant Tewthia,5,2,40%
Bengal Warriors,PKL-S5,Kuldeep,3,0,0%
Bengal Warriors,PKL-S5,Rahul Kumar,1,0,0%
Bengal Warriors,PKL-S5,Anil Kumar,1,0,0%
Patna Pirates,PKL-S5,Pardeep Narwal,586,278,47%
Patna Pirates,PKL-S5,Monu Goyat,365,160,44%
Patna Pirates,PKL-S5,Vijay,83,18,22%
Patna Pirates,PKL-S5,Vinod Kumar,75,20,27%
Patna Pirates,PKL-S5,Vikas Jaglan,25,8,32%
Patna Pirates,PKL-S5,Jawahar Dagar,23,3,13%
Patna Pirates,PKL-S5,Vishnu Uthaman,7,0,0%
Patna Pirates,PKL-S5,Jaideep,5,0,0%
Patna Pirates,PKL-S5,Manish,2,0,0%
Patna Pirates,PKL-S5,Vishal Mane,1,0,0%
Patna Pirates,PKL-S5,Satish,1,0,0%
U Mumba,PKL-S5,Anup Kumar,281,85,30%
U Mumba,PKL-S5,Kashiling Adake,223,84,38%
U Mumba,PKL-S5,Shrikant Jadhav,170,72,42%
U Mumba,PKL-S5,Shabeer Bappu,108,32,30%
U Mumba,PKL-S5,Darshan Kadian,72,25,35%
U Mumba,PKL-S5,Nitin Madane,51,12,24%
U Mumba,PKL-S5,Kuldeep Singh,41,7,17%
U Mumba,PKL-S5,Mohan Raman G,9,4,44%
U Mumba,PKL-S5,Surinder Singh,3,0,0%
U Mumba,PKL-S5,Yong Joo Ok,2,1,50%
U Mumba,PKL-S5,Deepak Yadav,2,0,0%
U Mumba,PKL-S5,Dong Ju Hong,1,0,0%
