Raider Name,Total Raids,Successful Raids,
Rohit Kumar,418,196,47%
Ajay Kumar,257,72,28%
Ashish Kumar,70,18,26%
Sunil Jaipal,54,13,24%
Harish Naik,53,21,40%
Gurvinder Singh,37,10,27%
Preetam Chhillar,29,1,3%
Sachin Kumar,7,0,0%
Ravinder Pahal,6,1,17%
Sumit Singh,5,0,0%
Rohit,5,3,60%
Mahender Singh,2,1,50%
