Raider Name,Total Raids,Successful Raids,
Meraj Sheykh,292,79,27%
Abolfazl Maghsodlou,230,80,35%
Rohit Baliyan,165,55,33%
Anand Patil,102,25,25%
R. Sriram,79,29,37%
Ravi Dalal,28,4,14%
Shubham Ashok Palkar,24,6,25%
Nilesh Shinde,14,2,14%
Suresu Kumar,12,2,17%
Vishal,7,1,14%
Satpal,7,0,0%
Rupesh Tomar,7,0,0%
Vipin Malik,3,0,0%
Sunil,2,0,0%
Yatharth,1,0,0%
