Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Girish Maruti Ernak,113,50,44%
Shubham Shinde,89,39,44%
Vaibhav Garje,75,30,40%
Balaji D,63,24,38%
Surender Nada,33,11,33%
Ashish Kumar,23,9,39%
Deepak Hooda,18,9,50%
Sakthivel R,17,5,29%
Parveen Satpal,17,7,41%
Manoj Gowda,17,5,29%
Shrikant Jadhav,13,6,46%
Maninder Singh,8,2,25%
Vinod Kumar,6,0,0%
Soleiman Pahlevani,6,1,17%
Amit Sheoran,6,3,50%
Suyog Gaikar,3,0,0%
Ajinkya Kapre,3,3,100%
Akash Pikalmunde,1,1,100%
