Raider Name,Total Raids,Successful Raids,
Nitin Tomar,327,137,42%
Rishank Devadiga,305,128,42%
Surender Singh,131,47,36%
Mahesh Goud,90,31,34%
Rajesh Narwal,80,7,9%
Santhosh B.S,18,1,6%
Hadi Tajik,12,2,17%
Sagar Krishna,10,1,10%
Gulveer Singh,8,1,13%
Pankaj,6,0,0%
Sunil,3,0,0%
Sulieman Kabir,3,0,0%
Sanoj Kumar,2,2,100%
Rohit Kumar,2,1,50%
Nitesh Kumar,2,0,0%
Jeeva Kumar,2,0,0%
Ajvender Singh,1,0,0%
