Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Parvesh Bhainswal,95,44,46%
Vishal Bhardwaj,89,37,42%
Surjeet Singh,48,15,31%
Ankit,47,18,38%
Vijay Kumar,31,12,39%
Mohsen Maghsoudlou Ja..,31,8,26%
Prince D,24,3,13%
Nitin,20,3,15%
Muhammed Shihas S,20,1,5%
Ravinder Pahal,17,1,6%
Vinay,9,3,33%
Abhishek Singh,9,3,33%
Siddharth Sirish Desai,8,2,25%
Mohit Pahal,8,4,50%
K Hanumanthu,8,4,50%
Mohit,7,2,29%
Adarsh T,7,2,29%
Monu Goyat,6,1,17%
Hamid Mirzaei Nader,5,0,0%
Mohit (TT),4,1,25%
Palla Ramakrishna,3,1,33%
