Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Sahul Kumar,108,44,41%
Ankush Rathee,96,57,59%
Sunil Kumar,94,61,65%
Reza Mirbagheri,61,31,51%
Abhishek K S,59,23,39%
Ankush,32,22,69%
Lucky Sharma,15,8,53%
Ajith V Kumar,12,3,25%
Rahul Chaudhari,11,2,18%
Nitin Chandel,9,1,11%
Deepak Rajendar Singh,9,2,22%
Ashish Bajar,6,1,17%
Bhavani Rajput,4,0,0%
Arjun Deshwal,2,0,0%
Navneet,1,0,0%
Ashish,1,0,0%
