Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Sumit,105,45,43%
Ashu Singh,100,42,42%
Nitesh Kumar,79,30,38%
Gurdeep,72,33,46%
Rohit Tomar,33,13,39%
Shubham Kumar,22,6,27%
Sandeep Narwal,18,11,61%
Jaideep Sharma,11,0,0%
Surender Gill,8,4,50%
Babu M,8,2,25%
Durgesh Kumar,7,3,43%
Pardeep Narwal,6,0,0%
Nitin Panwar,4,2,50%
Jaideep,3,0,0%
Nitin Tomar,2,0,0%
Mahipal,2,0,0%
Anil Kumar,2,1,50%
Rathan K,1,0,0%
James Kamweti,1,1,100%
Gulveer Singh,1,1,100%
Abozar Mohajermighani,1,0,0%
