Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
M Abishek,109,38,35%
Sahil Gulia,106,51,48%
Sagar,81,45,56%
Mohit Jakhar,73,27,37%
Himanshu,56,22,39%
Arpit Saroha,22,10,45%
Ajinkya Ashok Pawar,22,9,41%
Visvanath V,17,5,29%
Sahil,14,6,43%
Narender,14,5,36%
Mohit,14,3,21%
Aashish,14,5,36%
Himanshu Singh,13,4,31%
K Abhimanyu,7,1,14%
Md. Arif Rabbani,5,2,40%
Sachin Nehra,1,0,0%
Sachin,1,0,0%
Pawan Sehrawat,1,0,0%
