Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Aman Hooda,2,1,10%,,100.00%,
,4,2,20%,50.00%,,50.00%
,5,3,30%,33.30%,33.30%,33.30%
,6,1,10%,,100.00%,
,7,3,30%,33.30%,33.30%,33.30%
Anil Kumar,2,1,3%,,,100.00%
,3,1,3%,,100.00%,
,4,2,5%,100.00%,,
,5,8,21%,37.50%,25.00%,37.50%
,6,5,13%,20.00%,40.00%,40.00%
,7,22,56%,40.90%,31.80%,27.30%
Ashu Singh,3,2,12%,100.00%,,
,6,1,6%,100.00%,,
,7,14,82%,100.00%,,
Babu M,7,1,100%,100.00%,,
Durgesh Kumar,2,2,7%,,50.00%,50.00%
,3,3,10%,,66.70%,33.30%
,4,1,3%,100.00%,,
,5,2,7%,,,100.00%
,6,8,28%,37.50%,25.00%,37.50%
,7,13,45%,38.50%,15.40%,46.20%
Gulveer Singh,5,3,43%,33.30%,,66.70%
,6,2,29%,,,100.00%
,7,2,29%,100.00%,,
Gurdeep,7,1,100%,,,100.00%
Jaideep,5,1,50%,100.00%,,
,7,1,50%,100.00%,,
James Kamweti,5,2,20%,,,100.00%
,6,3,30%,,66.70%,33.30%
,7,5,50%,40.00%,20.00%,40.00%
Mahipal,3,1,4%,100.00%,,
,4,2,8%,50.00%,,50.00%
,5,3,12%,33.30%,,66.70%
,6,5,19%,60.00%,20.00%,20.00%
,7,15,58%,13.30%,46.70%,40.00%
Nehal B Sawal De..,6,1,100%,,,100.00%
Nitin Panwar,7,3,100%,33.30%,33.30%,33.30%
Nitin Tomar,5,3,27%,66.70%,,33.30%
,6,3,27%,33.30%,33.30%,33.30%
,7,5,45%,60.00%,20.00%,20.00%
Pardeep Narwal,1,5,1%,,100.00%,
,2,20,5%,5.00%,95.00%,
,3,21,6%,28.60%,42.90%,28.60%
,4,46,12%,37.00%,52.20%,10.90%
,5,49,13%,42.90%,26.50%,30.60%
,6,88,24%,25.00%,47.70%,27.30%
,7,143,38%,30.80%,40.60%,28.70%
Rathan K,5,2,33%,50.00%,50.00%,
,7,4,67%,25.00%,25.00%,50.00%
Rohit Tomar,3,10,6%,60.00%,20.00%,20.00%
,4,14,8%,64.30%,14.30%,21.40%
,5,36,21%,58.30%,13.90%,27.80%
,6,39,23%,43.60%,48.70%,7.70%
,7,71,42%,38.00%,42.30%,19.70%
Sandeep Narwal,2,1,3%,100.00%,,
,3,5,13%,80.00%,20.00%,
,4,1,3%,100.00%,,
,5,8,21%,50.00%,37.50%,12.50%
,6,6,16%,66.70%,,33.30%
,7,17,45%,58.80%,23.50%,17.60%
Sumit,6,1,14%,100.00%,,
,7,6,86%,66.70%,16.70%,16.70%
Surender Gill,2,12,5%,8.30%,91.70%,
,3,9,4%,33.30%,55.60%,11.10%
,4,25,11%,60.00%,20.00%,20.00%
,5,24,11%,41.70%,33.30%,25.00%
,6,66,29%,33.30%,56.10%,10.60%
,7,88,39%,29.50%,47.70%,22.70%
