Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Abhishek Singh,1,1,1%,,100.00%,
,2,1,1%,,100.00%,
,3,10,5%,50.00%,30.00%,20.00%
,4,16,9%,56.30%,18.80%,25.00%
,5,36,19%,44.40%,13.90%,41.70%
,6,42,22%,47.60%,26.20%,26.20%
,7,82,44%,42.70%,31.70%,25.60%
Adarsh T,2,2,2%,,100.00%,
,3,3,3%,66.70%,33.30%,
,4,14,14%,14.30%,50.00%,35.70%
,5,14,14%,35.70%,35.70%,28.60%
,6,25,25%,32.00%,28.00%,40.00%
,7,41,41%,43.90%,19.50%,36.60%
Ankit,6,1,33%,,100.00%,
,7,2,67%,50.00%,50.00%,
K Hanumanthu,2,1,2%,,,100.00%
,3,6,11%,33.30%,33.30%,33.30%
,4,11,19%,27.30%,36.40%,36.40%
,5,10,18%,30.00%,20.00%,50.00%
,6,10,18%,10.00%,50.00%,40.00%
,7,19,33%,21.10%,42.10%,36.80%
Mohit Pahal,7,2,100%,,,100.00%
Mohsen Maghsoudlou Jafari,2,2,2%,,50.00%,50.00%
,3,2,2%,100.00%,,
,4,10,9%,60.00%,10.00%,30.00%
,5,22,20%,86.40%,4.50%,9.10%
,6,32,29%,56.30%,21.90%,21.90%
,7,43,39%,58.10%,23.30%,18.60%
Monu Goyat,2,1,1%,,100.00%,
,3,2,2%,50.00%,50.00%,
,4,7,8%,57.10%,,42.90%
,5,21,25%,52.40%,4.80%,42.90%
,6,13,15%,46.20%,38.50%,15.40%
,7,40,48%,35.00%,35.00%,30.00%
Muhammed Shih..,7,1,100%,,,100.00%
Nitin,7,1,100%,,,100.00%
Palla Ramakrishna,7,1,100%,,,100.00%
Parvesh Bhainswal,4,2,29%,100.00%,,
,7,5,71%,20.00%,,80.00%
Prince D,5,2,29%,100.00%,,
,7,5,71%,100.00%,,
Rajnish,2,1,4%,,100.00%,
,3,1,4%,,100.00%,
,5,8,35%,62.50%,12.50%,25.00%
,6,2,9%,,100.00%,
,7,11,48%,36.40%,27.30%,36.40%
Siddharth Sirish Desai,2,6,3%,,100.00%,
,3,15,7%,20.00%,46.70%,33.30%
,4,21,9%,38.10%,28.60%,33.30%
,5,25,11%,48.00%,36.00%,16.00%
,6,63,28%,17.50%,63.50%,19.00%
,7,94,42%,18.10%,48.90%,33.00%
Surjeet Singh,4,2,18%,100.00%,,
,5,1,9%,100.00%,,
,6,1,9%,100.00%,,
,7,7,64%,71.40%,14.30%,14.30%
Vijay Kumar,5,1,7%,100.00%,,
,6,1,7%,100.00%,,
,7,13,87%,76.90%,7.70%,15.40%
Vinay,3,2,2%,50.00%,,50.00%
,4,13,14%,46.20%,7.70%,46.20%
,5,21,22%,52.40%,19.00%,28.60%
,6,23,24%,39.10%,39.10%,21.70%
,7,36,38%,36.10%,38.90%,25.00%
Vishal Bhardwaj,3,1,10%,100.00%,,
,7,9,90%,88.90%,,11.10%
