season,team_name,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
PKL-08,Telugu Titans,,7,9,75%,55.60%,11.10%,33.30%
PKL-08,Telugu Titans,Prince D,5,1,10%,100.00%,,
PKL-08,Telugu Titans,,6,1,10%,,,100.00%
PKL-08,Telugu Titans,,7,8,80%,37.50%,25.00%,37.50%
PKL-08,Telugu Titans,Rajnish,2,2,1%,,50.00%,50.00%
PKL-08,Telugu Titans,,3,13,7%,38.50%,38.50%,23.10%
PKL-08,Telugu Titans,,4,9,5%,55.60%,33.30%,11.10%
PKL-08,Telugu Titans,,5,33,17%,45.50%,21.20%,33.30%
PKL-08,Telugu Titans,,6,68,36%,27.90%,48.50%,23.50%
PKL-08,Telugu Titans,,7,65,34%,24.60%,56.90%,18.50%
PKL-08,Telugu Titans,Rakesh Gowda,3,2,2%,100.00%,,
PKL-08,Telugu Titans,,4,5,6%,80.00%,,20.00%
PKL-08,Telugu Titans,,5,13,16%,61.50%,23.10%,15.40%
PKL-08,Telugu Titans,,6,16,19%,50.00%,37.50%,12.50%
PKL-08,Telugu Titans,,7,47,57%,23.40%,40.40%,36.20%
PKL-08,Telugu Titans,Rohit Kumar,2,4,8%,25.00%,25.00%,50.00%
PKL-08,Telugu Titans,,3,2,4%,100.00%,,
PKL-08,Telugu Titans,,4,4,8%,25.00%,25.00%,50.00%
PKL-08,Telugu Titans,,5,6,12%,83.30%,,16.70%
PKL-08,Telugu Titans,,6,12,24%,50.00%,33.30%,16.70%
PKL-08,Telugu Titans,,7,21,43%,47.60%,28.60%,23.80%
PKL-08,Telugu Titans,Ruturaj Koravi,6,1,33%,100.00%,,
PKL-08,Telugu Titans,,7,2,67%,100.00%,,
PKL-08,Telugu Titans,Sandeep Kandola,4,1,33%,,,100.00%
PKL-08,Telugu Titans,,6,1,33%,100.00%,,
PKL-08,Telugu Titans,,7,1,33%,100.00%,,
PKL-08,Telugu Titans,Siddharth Desai,1,1,2%,,100.00%,
PKL-08,Telugu Titans,,2,4,8%,,75.00%,25.00%
PKL-08,Telugu Titans,,3,4,8%,50.00%,,50.00%
PKL-08,Telugu Titans,,4,6,12%,83.30%,,16.70%
PKL-08,Telugu Titans,,5,2,4%,50.00%,50.00%,
PKL-08,Telugu Titans,,6,15,31%,6.70%,53.30%,40.00%
PKL-08,Telugu Titans,,7,17,35%,11.80%,52.90%,35.30%
PKL-08,Telugu Titans,Surinder Singh,4,1,7%,100.00%,,
PKL-08,Telugu Titans,,5,2,13%,100.00%,,
PKL-08,Telugu Titans,,6,5,33%,100.00%,,
PKL-08,Telugu Titans,,7,7,47%,71.40%,,28.60%
PKL-08,Patna Pirates,Balaji D,5,1,100%,100.00%,,
PKL-08,Patna Pirates,C Sajin,7,1,100%,100.00%,,
PKL-08,Patna Pirates,Daniel Omondi Odhiambo,5,2,29%,50.00%,,50.00%
PKL-08,Patna Pirates,,6,3,43%,,66.70%,33.30%
PKL-08,Patna Pirates,,7,2,29%,50.00%,,50.00%
PKL-08,Patna Pirates,Guman Singh,1,1,1%,,100.00%,
PKL-08,Patna Pirates,,2,4,2%,,75.00%,25.00%
PKL-08,Patna Pirates,,3,27,14%,51.90%,37.00%,11.10%
PKL-08,Patna Pirates,,4,24,12%,62.50%,16.70%,20.80%
PKL-08,Patna Pirates,,5,44,22%,50.00%,25.00%,25.00%
PKL-08,Patna Pirates,,6,40,20%,45.00%,45.00%,10.00%
PKL-08,Patna Pirates,,7,60,30%,40.00%,48.30%,11.70%
PKL-08,Patna Pirates,Mohit,5,6,43%,50.00%,,50.00%
PKL-08,Patna Pirates,,6,4,29%,50.00%,25.00%,25.00%
PKL-08,Patna Pirates,,7,4,29%,50.00%,50.00%,
PKL-08,Patna Pirates,Monu Goyat,1,3,2%,,100.00%,
PKL-08,Patna Pirates,,2,3,2%,66.70%,,33.30%
PKL-08,Patna Pirates,,3,16,10%,43.80%,18.80%,37.50%
PKL-08,Patna Pirates,,4,15,9%,40.00%,26.70%,33.30%
PKL-08,Patna Pirates,,5,47,28%,48.90%,14.90%,36.20%
PKL-08,Patna Pirates,,6,33,20%,27.30%,60.60%,12.10%
PKL-08,Patna Pirates,,7,48,29%,18.80%,52.10%,29.20%
PKL-08,Patna Pirates,Monu Sandhu,3,1,3%,,100.00%,
PKL-08,Patna Pirates,,4,2,6%,100.00%,,
PKL-08,Patna Pirates,,5,10,32%,70.00%,10.00%,20.00%
PKL-08,Patna Pirates,,6,9,29%,66.70%,33.30%,
PKL-08,Patna Pirates,,7,9,29%,33.30%,44.40%,22.20%
PKL-08,Patna Pirates,Neeraj Kumar,3,1,11%,100.00%,,
PKL-08,Patna Pirates,,4,1,11%,100.00%,,
PKL-08,Patna Pirates,,5,6,67%,100.00%,,
PKL-08,Patna Pirates,,7,1,11%,,,100.00%
PKL-08,Patna Pirates,Prashanth Kumar Rai,2,4,2%,25.00%,50.00%,25.00%
PKL-08,Patna Pirates,,3,13,8%,76.90%,15.40%,7.70%
PKL-08,Patna Pirates,,4,9,6%,55.60%,11.10%,33.30%
PKL-08,Patna Pirates,,5,23,14%,47.80%,30.40%,21.70%
PKL-08,Patna Pirates,,6,40,25%,27.50%,55.00%,17.50%
PKL-08,Patna Pirates,,7,74,45%,23.00%,52.70%,24.30%
PKL-08,Patna Pirates,Rohit,4,2,40%,50.00%,,50.00%
PKL-08,Patna Pirates,,5,3,60%,33.30%,33.30%,33.30%
PKL-08,Patna Pirates,Sachin Tanwar,1,6,2%,,100.00%,
PKL-08,Patna Pirates,,2,32,8%,15.60%,68.80%,15.60%
PKL-08,Patna Pirates,,3,48,13%,60.40%,18.80%,20.80%
PKL-08,Patna Pirates,,4,52,14%,51.90%,28.80%,19.20%
PKL-08,Patna Pirates,,5,90,24%,51.10%,25.60%,23.30%
PKL-08,Patna Pirates,,6,57,15%,31.60%,49.10%,19.30%
PKL-08,Patna Pirates,,7,96,25%,42.70%,42.70%,14.60%
PKL-08,Patna Pirates,Selvamani K,4,1,10%,,,100.00%
PKL-08,Patna Pirates,,5,2,20%,,50.00%,50.00%
PKL-08,Patna Pirates,,6,2,20%,50.00%,,50.00%
PKL-08,Patna Pirates,,7,5,50%,20.00%,60.00%,20.00%
PKL-08,Patna Pirates,Shadloui Chianeh,3,3,14%,66.70%,,33.30%
PKL-08,Patna Pirates,,4,1,5%,100.00%,,
PKL-08,Patna Pirates,,5,2,10%,100.00%,,
PKL-08,Patna Pirates,,6,3,14%,66.70%,33.30%,
PKL-08,Patna Pirates,,7,12,57%,66.70%,33.30%,
PKL-08,Patna Pirates,Shubham Shinde,5,3,50%,33.30%,33.30%,33.30%
PKL-08,Patna Pirates,,7,3,50%,100.00%,,
PKL-08,U Mumba,Abhishek Singh,1,4,1%,,100.00%,
PKL-08,U Mumba,,2,20,6%,10.00%,55.00%,35.00%
PKL-08,U Mumba,,3,25,7%,28.00%,56.00%,16.00%
PKL-08,U Mumba,,4,54,15%,37.00%,37.00%,25.90%
PKL-08,U Mumba,,5,74,20%,40.50%,28.40%,31.10%
PKL-08,U Mumba,,6,70,19%,30.00%,40.00%,30.00%
PKL-08,U Mumba,,7,116,32%,36.20%,44.00%,19.80%
PKL-08,U Mumba,Ajeet,6,1,100%,100.00%,,
PKL-08,U Mumba,Ajinkya Kapre,4,1,2%,,100.00%,
PKL-08,U Mumba,,5,7,15%,57.10%,14.30%,28.60%
PKL-08,U Mumba,,6,19,41%,52.60%,31.60%,15.80%
PKL-08,U Mumba,,7,19,41%,42.10%,21.10%,36.80%
PKL-08,U Mumba,Ashish Kumar,5,1,9%,100.00%,,
PKL-08,U Mumba,,7,10,91%,70.00%,20.00%,10.00%
PKL-08,U Mumba,Fazel Atrachali,5,4,33%,100.00%,,
PKL-08,U Mumba,,6,2,17%,100.00%,,
