,player_id,player_name,total_points_match_played,total_points_value,total_points_team_id,total_points_team,team_name,total_points_rank,total_points_position_id,total_points_position_name,team_full_name,total_points_points_per_match,successful_raids_match_played,successful_raids_value,successful_raids_team_id,successful_raids_team,successful_raids_rank,successful_raids_position_id,successful_raids_position_name,successful_raids_points_per_match,raid_points_match_played,raid_points_value,raid_points_team_id,raid_points_team,raid_points_rank,raid_points_position_id,raid_points_position_name,raid_points_points_per_match,successful_tackles_match_played,successful_tackles_value,successful_tackles_team_id,successful_tackles_team,successful_tackles_rank,successful_tackles_position_id,successful_tackles_position_name,successful_tackles_points_per_match,tackle_points_match_played,tackle_points_value,tackle_points_team_id,tackle_points_team,tackle_points_rank,tackle_points_position_id,tackle_points_position_name,tackle_points_points_per_match,avg_tackle_points_match_played,avg_tackle_points_value,avg_tackle_points_team_id,avg_tackle_points_team,avg_tackle_points_rank,avg_tackle_points_position_id,avg_tackle_points_position_name,avg_tackle_points_points_per_match,dod_raid_points_match_played,dod_raid_points_value,dod_raid_points_team_id,dod_raid_points_team,dod_raid_points_rank,dod_raid_points_position_id,dod_raid_points_position_name,dod_raid_points_points_per_match,super_raids_match_played,super_raids_value,super_raids_team_id,super_raids_team,super_raids_rank,super_raids_position_id,super_raids_position_name,super_raids_points_per_match,super_tackles_match_played,super_tackles_value,super_tackles_team_id,super_tackles_team,super_tackles_rank,super_tackles_position_id,super_tackles_position_name,super_tackles_points_per_match,super_10s_match_played,super_10s_value,super_10s_team_id,super_10s_team,super_10s_rank,super_10s_position_id,super_10s_position_name,super_10s_points_per_match,super_5s_match_played,super_5s_value,super_5s_team_id,super_5s_team,super_5s_rank,super_5s_position_id,super_5s_position_name,super_5s_points_per_match
0,4,Ehsan Zamani Fard,8,6,2,,DEL,70,9,Defender,Dabang Delhi K.C.,0.75,8,3,2,,49,9,Defender,0.375,8,4,2,,51,9,Defender,0.5,8,2,2,,71,9,Defender,0.25,8,2,2,,72,9,Defender,0.25,8,0.25,2,,78,9,Defender,0.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,Farhad Kamal Gharibi,2,2,4,,KOL,92,9,Defender,Bengal Warriors,1,,,,,,,,,,,,,,,,,2,1,4,,76,9,Defender,0.5,2,2,4,,73,9,Defender,1,2,1,4,,38,9,Defender,0.5,,,,,,,,,,,,,,,,,2,1,4,,44,9,Defender,0.5,,,,,,,,,,,,,,,,
2,9,Takamitsu Kono,1,2,2,,DEL,93,0,All Rounder,Dabang Delhi K.C.,2,1,1,2,,61,0,All Rounder,1,1,1,2,,64,0,All Rounder,1,1,1,2,,77,0,All Rounder,1,1,1,2,,78,0,All Rounder,1,1,1,2,,39,0,All Rounder,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,Simon Kibura,4,8,7,,PUN,67,8,Raider,Puneri Paltan,2,4,5,7,,44,8,Raider,1.25,4,6,7,,46,8,Raider,1.5,4,2,7,,72,8,Raider,0.5,4,2,7,,74,8,Raider,0.5,4,0.5,7,,60,8,Raider,0.125,4,1,7,,39,8,Raider,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11,Dong Ju Hong,2,1,2,,DEL,94,0,All Rounder,Dabang Delhi K.C.,0.5,2,1,2,,62,0,All Rounder,0.5,2,1,2,,65,0,All Rounder,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,Jang Kun Lee,11,57,4,,KOL,21,8,Raider,Bengal Warriors,5.181818181818182,11,39,4,,20,8,Raider,3.5454545454545454,11,55,4,,19,8,Raider,5,11,2,4,,73,8,Raider,0.1818181818181818,11,2,4,,75,8,Raider,0.1818181818181818,11,0.18,4,,80,8,Raider,0.016363636,11,11,4,,8,8,Raider,1,11,5,4,,3,8,Raider,0.4545454545454545,,,,,,,,,11,2,4,,13,8,Raider,0.1818181818181818,,,,,,,,
6,13,Seong Ryeol Kim,3,4,4,,KOL,86,9,Defender,Bengal Warriors,1.3333333333333333,,,,,,,,,,,,,,,,,3,4,4,,59,9,Defender,1.3333333333333333,3,4,4,,60,9,Defender,1.3333333333333333,3,1.33,4,,33,9,Defender,0.4433333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,14,Tae Deok Eom,9,4,6,,PAT,87,9,Defender,Patna Pirates,0.4444444444444444,9,1,6,,60,9,Defender,0.1111111111111111,9,2,6,,62,9,Defender,0.2222222222222222,9,1,6,,78,9,Defender,0.1111111111111111,9,2,6,,71,9,Defender,0.2222222222222222,9,0.22,6,,79,9,Defender,0.024444444,9,1,6,,40,9,Defender,0.1111111111111111,,,,,,,,,9,1,6,,45,9,Defender,0.1111111111111111,,,,,,,,,,,,,,,,
8,16,Waleed Al Hasani,6,14,7,,PUN,59,8,Raider,Puneri Paltan,2.3333333333333335,6,10,7,,32,8,Raider,1.6666666666666667,6,14,7,,32,8,Raider,2.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,6,1,7,,41,8,Raider,0.1666666666666666,6,1,7,,27,8,Raider,0.1666666666666666,,,,,,,,,,,,,,,,,,,,,,,,
9,17,Atif Waheed,3,1,8,,HYD,95,0,All Rounder,Telugu Titans,0.3333333333333333,,,,,,,,,,,,,,,,,3,1,8,,79,0,All Rounder,0.3333333333333333,3,1,8,,79,0,All Rounder,0.3333333333333333,3,0.33,8,,70,0,All Rounder,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
