team,season,Raider Name,Total Raids,Successful Raids,Unnamed: 3
Patna Pirates,PKL-S9,Vishwas S,21,6,29%
Patna Pirates,PKL-S9,Shadloui Chianeh,20,4,20%
Patna Pirates,PKL-S9,Abdul Insamam S,18,5,28%
Patna Pirates,PKL-S9,Daniel Omondi Odhiambo,16,9,56%
Patna Pirates,PKL-S9,Neeraj Kumar,12,0,0%
Patna Pirates,PKL-S9,Sunil,2,0,0%
Patna Pirates,PKL-S9,Sukesh Hegde,2,0,0%
Patna Pirates,PKL-S9,Naveen Sharma,1,0,0%
Patna Pirates,PKL-S9,Manish,1,0,0%
Bengaluru Bulls,PKL-S9,Bharat Naresh,361,211,58%
Bengaluru Bulls,PKL-S9,Vikash Kandola,306,106,35%
Bengaluru Bulls,PKL-S9,Neeraj Narwal,193,61,32%
Bengaluru Bulls,PKL-S9,Sachin Narwal,60,27,45%
Bengaluru Bulls,PKL-S9,Vikash Khandola,18,10,56%
Bengaluru Bulls,PKL-S9,Bharat,18,12,67%
Bengaluru Bulls,PKL-S9,Mahender Singh,12,0,0%
Bengaluru Bulls,PKL-S9,Harmanjit Singh,10,0,0%
Bengaluru Bulls,PKL-S9,More G B,5,0,0%
Bengaluru Bulls,PKL-S9,Saurabh Nandal,2,2,100%
Bengal Warriors,PKL-S9,Maninder Singh,363,186,51%
Bengal Warriors,PKL-S9,Shrikant Jadhav,250,99,40%
Bengal Warriors,PKL-S9,Deepak Hooda,124,40,32%
Bengal Warriors,PKL-S9,Manoj Gowda,56,20,36%
Bengal Warriors,PKL-S9,Ajinkya Kapre,30,6,20%
Bengal Warriors,PKL-S9,Aslam Thambi,18,4,22%
Bengal Warriors,PKL-S9,R Guhan,14,7,50%
Bengal Warriors,PKL-S9,Akash Pikalmunde,14,6,43%
Bengal Warriors,PKL-S9,Suyog Gaikar,11,3,27%
Bengal Warriors,PKL-S9,Parshant Kumar,11,2,18%
Bengal Warriors,PKL-S9,Rohit,9,5,56%
Bengal Warriors,PKL-S9,Shubham Shinde,8,0,0%
Bengal Warriors,PKL-S9,Ashish Kumar,8,0,0%
Bengal Warriors,PKL-S9,Surender Nada,5,0,0%
Bengal Warriors,PKL-S9,Vinod Kumar,2,0,0%
Bengal Warriors,PKL-S9,Vaibhav Garje,1,0,0%
UP Yoddha,PKL-S9,Pardeep Narwal,355,162,46%
UP Yoddha,PKL-S9,Surender Gill,206,101,49%
UP Yoddha,PKL-S9,Rohit Tomar,166,57,34%
UP Yoddha,PKL-S9,Anil Kumar,38,11,29%
UP Yoddha,PKL-S9,Sandeep Narwal,35,8,23%
UP Yoddha,PKL-S9,Durgesh Kumar,29,7,24%
UP Yoddha,PKL-S9,Mahipal,26,8,31%
UP Yoddha,PKL-S9,Ashu Singh,14,0,0%
UP Yoddha,PKL-S9,Nitin Tomar,11,2,18%
UP Yoddha,PKL-S9,James Kamweti,10,3,30%
UP Yoddha,PKL-S9,Aman Hooda,10,4,40%
UP Yoddha,PKL-S9,Sumit,7,1,14%
UP Yoddha,PKL-S9,Gulveer Singh,7,0,0%
UP Yoddha,PKL-S9,Rathan K,6,2,33%
UP Yoddha,PKL-S9,Nitin Panwar,3,1,33%
UP Yoddha,PKL-S9,Jaideep,2,0,0%
UP Yoddha,PKL-S9,Nehal B Sawal Desai,1,0,0%
UP Yoddha,PKL-S9,Gurdeep,1,0,0%
UP Yoddha,PKL-S9,Babu M,1,0,0%
Gujarat Fortunegiants,PKL-S9,Rakesh Sangroya,271,111,41%
Gujarat Fortunegiants,PKL-S9,Parteek Dhaiya,240,126,53%
