id,result,date,teama_id,teama_short_name,teama_score,teamb_id,teamb_short_name,teamb_score,post_match_position,match_result,team_id
6,W,27/06/16,7,PUNE,14,6,PAT,15,,Patna Pirates Won by 1 Pts,6
9,W,29/06/16,5,MUM,20,6,PAT,17,,Patna Pirates Won by -3 Pts,6
15,W,03/07/16,8,HYD,17,6,PAT,16,,Patna Pirates Won by -1 Pts,6
22,W,07/07/16,6,PAT,17,1,BLR,12,,Patna Pirates Won by 5 Pts,6
24,W,08/07/16,6,PAT,20,4,KOL,12,,Patna Pirates Won by 8 Pts,6
26,L,09/07/16,6,PAT,7,2,DEL,22,,Dabang Delhi K.C. Won by 15 Pts,6
28,L,10/07/16,6,PAT,12,3,JAI,19,,Jaipur Pink Panthers Won by 7 Pts,6
33,W,14/07/16,1,BLR,15,6,PAT,26,,Patna Pirates Won by 11 Pts,6
37,W,16/07/16,6,PAT,22,5,MUM,15,,Patna Pirates Won by 7 Pts,6
39,W,17/07/16,4,KOL,16,6,PAT,20,,Patna Pirates Won by 4 Pts,6
46,L,22/07/16,3,JAI,15,6,PAT,11,,Jaipur Pink Panthers Won by 4 Pts,6
48,W,23/07/16,6,PAT,17,7,PUNE,16,,Patna Pirates Won by 1 Pts,6
52,W,25/07/16,2,DEL,21,6,PAT,12,,Patna Pirates Won by -9 Pts,6
53,L,26/07/16,6,PAT,12,8,HYD,25,,Telugu Titans Won by 13 Pts,6
57,W,29/07/16,6,PAT,22,7,PUNE,16,,Patna Pirates Won by 6 Pts,6
60,W,31/07/16,6,PAT,20,3,JAI,13,,Patna Pirates Won by 7 Pts,6
1,L,25/06/16,7,PUNE,16,8,HYD,16,,Puneri Paltan Won by 0 Pts,8
8,L,29/06/16,3,JAI,14,8,HYD,14,,Jaipur Pink Panthers Won by 0 Pts,8
15,L,03/07/16,8,HYD,17,6,PAT,16,,Patna Pirates Won by -1 Pts,8
18,W,04/07/16,8,HYD,18,4,KOL,12,,Telugu Titans Won by 6 Pts,8
19,L,05/07/16,8,HYD,10,1,BLR,15,,Bengaluru Bulls Won by 5 Pts,8
21,W,06/07/16,8,HYD,16,5,MUM,15,,Telugu Titans Won by 1 Pts,8
27,W,10/07/16,2,DEL,16,8,HYD,17,,Telugu Titans Won by 1 Pts,8
29,W,12/07/16,1,BLR,10,8,HYD,20,,Telugu Titans Won by 10 Pts,8
34,W,15/07/16,8,HYD,21,7,PUNE,15,,Telugu Titans Won by 6 Pts,8
40,,18/07/16,4,KOL,19,8,HYD,16,,,8
41,W,19/07/16,8,HYD,19,2,DEL,13,,Telugu Titans Won by 6 Pts,8
45,,21/07/16,5,MUM,14,8,HYD,11,,,8
51,W,24/07/16,8,HYD,22,3,JAI,12,,Telugu Titans Won by 10 Pts,8
53,W,26/07/16,6,PAT,12,8,HYD,25,,Telugu Titans Won by 13 Pts,8
58,L,29/07/16,8,HYD,9,3,JAI,16,,Jaipur Pink Panthers Won by 7 Pts,8
59,L,31/07/16,8,HYD,11,7,PUNE,20,,Puneri Paltan Won by 9 Pts,8
32,L,14/03/14,3,JAI,9,5,MUM,18,,U Mumba Won by 9 Pts,3
2,L,25/06/16,5,MUM,22,3,JAI,17,,U Mumba Won by 5 Pts,3
8,W,29/06/16,3,JAI,14,8,HYD,14,,Jaipur Pink Panthers Won by 0 Pts,3
10,,30/06/16,3,JAI,15,1,BLR,17,,,3
12,W,01/07/16,3,JAI,15,4,KOL,14,,Jaipur Pink Panthers Won by 1 Pts,3
14,L,02/07/16,3,JAI,15,7,PUNE,17,,Puneri Paltan Won by 2 Pts,3
20,W,06/07/16,2,DEL,11,3,JAI,24,,Jaipur Pink Panthers Won by 13 Pts,3
28,W,10/07/16,6,PAT,12,3,JAI,19,,Jaipur Pink Panthers Won by 7 Pts,3
31,W,13/07/16,1,BLR,10,3,JAI,15,,Jaipur Pink Panthers Won by 5 Pts,3
36,L,16/07/16,4,KOL,15,3,JAI,11,,Bengal Warriorz Won by 4 Pts,3
38,W,17/07/16,7,PUNE,12,3,JAI,17,,Jaipur Pink Panthers Won by 5 Pts,3
44,W,21/07/16,3,JAI,10,2,DEL,14,,Jaipur Pink Panthers Won by -4 Pts,3
46,W,22/07/16,3,JAI,15,6,PAT,11,,Jaipur Pink Panthers Won by 4 Pts,3
51,L,24/07/16,8,HYD,22,3,JAI,12,,Telugu Titans Won by 10 Pts,3
58,W,29/07/16,8,HYD,9,3,JAI,16,,Jaipur Pink Panthers Won by 7 Pts,3
60,L,31/07/16,6,PAT,20,3,JAI,13,,Patna Pirates Won by 7 Pts,3
1,W,25/06/16,7,PUNE,16,8,HYD,16,,Puneri Paltan Won by 0 Pts,7
4,W,26/06/16,7,PUNE,17,5,MUM,10,,Puneri Paltan Won by 7 Pts,7
6,L,27/06/16,7,PUNE,14,6,PAT,15,,Patna Pirates Won by 1 Pts,7
7,,28/06/16,7,PUNE,11,2,DEL,15,,,7
14,W,02/07/16,3,JAI,15,7,PUNE,17,,Puneri Paltan Won by 2 Pts,7
17,L,04/07/16,1,BLR,18,7,PUNE,14,,Bengaluru Bulls Won by 4 Pts,7
25,W,09/07/16,4,KOL,15,7,PUNE,18,,Puneri Paltan Won by 3 Pts,7
30,,12/07/16,7,PUNE,16,4,KOL,26,,,7
34,L,15/07/16,8,HYD,21,7,PUNE,15,,Telugu Titans Won by 6 Pts,7
38,L,17/07/16,7,PUNE,12,3,JAI,17,,Jaipur Pink Panthers Won by 5 Pts,7
43,L,20/07/16,5,MUM,16,7,PUNE,16,,U Mumba Won by 0 Pts,7
48,L,23/07/16,6,PAT,17,7,PUNE,16,,Patna Pirates Won by 1 Pts,7
54,W,26/07/16,2,DEL,21,7,PUNE,12,,Puneri Paltan Won by -9 Pts,7
