Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Manjeet Chhillar,78,35,45%
Mohit Chhillar,77,34,44%
Ran Singh,74,33,45%
Ajeet,51,14,27%
M. Abishek,40,14,35%
Sagar,37,19,51%
Rahul Chaudhari,26,8,31%
Vineet Kumar,20,9,45%
Shabeer Bappu,18,6,33%
Ponparthiban Subramani..,14,4,29%
V. Ajith Kumar,8,0,0%
Victor Obiero,7,2,29%
Hemant Chauhan,7,1,14%
Himanshu,6,2,33%
Ajay Thakur,5,0,0%
Anand,2,0,0%
Yashwant Bishnoi,1,0,0%
