Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Mahender Singh,110,51,46%
Saurabh Nandal,105,50,48%
Amit Sheoran,102,49,48%
Ankit,36,9,25%
Pawan Sehrawat,33,13,39%
Mohit Sehrawat,31,9,29%
Ajay,22,2,9%
Ashish Kumar,19,3,16%
Vijay Kumar,17,4,24%
Rohit Kumar,17,6,35%
Sumit Singh,14,5,36%
Banty,12,3,25%
Sandeep,4,1,25%
Aman,3,1,33%
Vinod Kumar,2,0,0%
