Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Sumit,141,76,54%
Nitesh Kumar,120,69,58%
Ashu Singh,90,41,46%
Amit,68,30,44%
Sachin Kumar,16,6,38%
Surender Gill,13,8,62%
Shrikant Jadhav,11,4,36%
Monu Goyat,11,3,27%
Gurdeep,10,4,40%
Mohsen Maghsoudlou,8,2,25%
Rishank Devadiga,7,2,29%
Narender,5,0,0%
Surender Singh,4,1,25%
Azad Singh,1,0,0%
Ankush,1,1,100%
Aashish Nagar,1,0,0%
