Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Abhishek Singh,1,4,1%,,100.00%,
,2,25,8%,12.00%,76.00%,12.00%
,3,41,12%,48.80%,29.30%,22.00%
,4,48,14%,27.10%,37.50%,35.40%
,5,63,19%,60.30%,28.60%,11.10%
,6,59,18%,30.50%,55.90%,13.60%
,7,92,28%,34.80%,43.50%,21.70%
Ajinkya Rohidas Kapre,2,1,4%,,100.00%,
,4,5,19%,20.00%,20.00%,60.00%
,5,5,19%,60.00%,20.00%,20.00%
,6,5,19%,,80.00%,20.00%
,7,10,38%,50.00%,30.00%,20.00%
Anil,7,1,100%,,100.00%,
Arjun Deshwal,1,1,1%,,100.00%,
,2,8,4%,,75.00%,25.00%
,3,18,9%,38.90%,38.90%,22.20%
,4,19,10%,26.30%,57.90%,15.80%
,5,39,20%,38.50%,30.80%,30.80%
,6,38,20%,21.10%,44.70%,34.20%
,7,68,36%,42.60%,41.20%,16.20%
Athul MS,1,1,1%,,100.00%,
,2,1,1%,,100.00%,
,3,6,5%,33.30%,33.30%,33.30%
,4,16,13%,68.80%,6.30%,25.00%
,5,24,19%,58.30%,16.70%,25.00%
,6,24,19%,16.70%,54.20%,29.20%
,7,53,42%,24.50%,34.00%,41.50%
Dong Geon Lee,3,1,2%,,100.00%,
,4,2,4%,50.00%,,50.00%
,5,5,11%,100.00%,,
,6,9,20%,44.40%,44.40%,11.10%
,7,29,63%,37.90%,34.50%,27.60%
Fazel Atrachali,3,3,20%,100.00%,,
,4,1,7%,100.00%,,
,5,4,27%,100.00%,,
,6,2,13%,100.00%,,
,7,5,33%,60.00%,20.00%,20.00%
Navneet,4,1,13%,,,100.00%
,5,4,50%,,50.00%,50.00%
,6,2,25%,50.00%,,50.00%
,7,1,13%,,100.00%,
Rajaguru Subramanian,5,1,50%,100.00%,,
,7,1,50%,100.00%,,
Rohit Baliyan,3,8,5%,75.00%,12.50%,12.50%
,4,11,7%,81.80%,9.10%,9.10%
,5,16,11%,81.30%,18.80%,
Rohit Baliyan,6,52,35%,53.80%,26.90%,19.20%
,7,63,42%,42.90%,28.60%,28.60%
Sandeep Narwal,2,3,4%,33.30%,33.30%,33.30%
,3,7,10%,85.70%,14.30%,
,4,7,10%,85.70%,,14.30%
,5,6,9%,100.00%,,
,6,19,28%,47.40%,31.60%,21.10%
,7,25,37%,48.00%,32.00%,20.00%
Surender Singh,6,2,29%,50.00%,50.00%,
,7,5,71%,60.00%,,40.00%
Vinoth Kumar,4,1,25%,100.00%,,
,5,1,25%,100.00%,,
,6,1,25%,,,100.00%
,7,1,25%,,,100.00%
