Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Amit,6,1,7%,100.00%,,
,7,13,93%,92.30%,7.70%,
Ankush,5,5,38%,40.00%,40.00%,20.00%
,6,2,15%,,50.00%,50.00%
,7,6,46%,16.70%,50.00%,33.30%
Ashu Singh,7,1,100%,100.00%,,
Azad Singh,4,3,12%,33.30%,,66.70%
,5,5,19%,60.00%,40.00%,
,6,4,15%,25.00%,25.00%,50.00%
,7,14,54%,50.00%,14.30%,35.70%
Mohsen Maghsoudlou,3,2,6%,50.00%,,50.00%
,4,3,9%,,33.30%,66.70%
,5,11,33%,63.60%,,36.40%
,6,3,9%,33.30%,66.70%,
,7,14,42%,50.00%,14.30%,35.70%
Monu Goyat,2,10,7%,10.00%,70.00%,20.00%
,3,8,5%,25.00%,62.50%,12.50%
,4,17,11%,23.50%,41.20%,35.30%
,5,30,20%,60.00%,13.30%,26.70%
,6,24,16%,25.00%,41.70%,33.30%
,7,62,41%,32.30%,40.30%,27.40%
Nitesh Kumar,7,2,100%,,,100.00%
Rishank Devadiga,2,5,3%,40.00%,60.00%,
,3,22,11%,90.90%,4.50%,4.50%
,4,17,9%,76.50%,17.60%,5.90%
,5,30,15%,76.70%,6.70%,16.70%
,6,40,21%,45.00%,40.00%,15.00%
,7,80,41%,31.30%,50.00%,18.80%
Sachin Kumar,3,2,11%,50.00%,50.00%,
,4,6,32%,50.00%,33.30%,16.70%
,5,5,26%,100.00%,,
,6,2,11%,100.00%,,
,7,4,21%,100.00%,,
Shrikant Jadhav,1,5,2%,,100.00%,
,2,12,4%,25.00%,50.00%,25.00%
,3,23,8%,56.50%,26.10%,17.40%
,4,38,13%,42.10%,21.10%,36.80%
,5,60,20%,55.00%,26.70%,18.30%
,6,59,20%,37.30%,42.40%,20.30%
,7,97,33%,28.90%,48.50%,22.70%
Sumit,3,2,25%,50.00%,,50.00%
,4,1,13%,100.00%,,
,5,1,13%,,100.00%,
,7,4,50%,75.00%,25.00%,
Surender Gill,2,21,11%,14.30%,66.70%,19.00%
,3,25,13%,44.00%,24.00%,32.00%
,4,25,13%,32.00%,48.00%,20.00%
,5,40,21%,67.50%,15.00%,17.50%
,6,35,19%,51.40%,31.40%,17.10%
,7,43,23%,41.90%,20.90%,37.20%
Surender Singh,4,1,3%,,100.00%,
,5,6,16%,33.30%,16.70%,50.00%
,6,14,38%,14.30%,42.90%,42.90%
,7,16,43%,37.50%,25.00%,37.50%
