,match_id,date,team_name,team_score,opponent_name,opponent_score,played,starter,on_court,captain,total_points,raid_points,tackle_points,raids_total,raids_successful,raids_unsuccessful,raids_empty,super_raids,tackles_total,tackles_successful,tackles_unsuccessful,super_tackles,green_card_count,yellow_card_count,red_card_count,top_raider,top_defender,substitutions,first_substitution_time,matches_played,matches_started,average_points,total_substitutions
0,677,10/11/2018,U.P. Yoddha,41,Patna Pirates,43,True,True,True,True,8,8,0,11,5,4,2,1,0,0,0,0,0,0,0,False,False,0,,22,21,4.681818181818182,12
1,657,10/24/2018,U.P. Yoddha,29,Puneri Paltan,23,True,True,False,True,4,4,0,8,4,0,4,0,0,0,0,0,0,0,0,False,False,1,19.0,22,21,4.681818181818182,12
2,640,10/13/2018,U.P. Yoddha,29,Telugu Titans,34,True,True,True,True,7,7,0,14,6,5,3,0,0,0,0,0,1,0,0,False,False,0,,22,21,4.681818181818182,12
3,637,10/14/2018,U.P. Yoddha,37,Patna Pirates,43,True,True,False,True,10,9,1,18,9,3,6,0,0,0,0,0,1,0,0,False,False,0,,22,21,4.681818181818182,12
4,676,11/6/2018,U.P. Yoddha,26,Telugu Titans,26,True,True,True,True,4,3,1,17,3,2,12,0,0,0,0,0,0,0,0,False,False,0,,22,21,4.681818181818182,12
5,692,11/16/2018,U.P. Yoddha,28,Jaipur Pink Panthers,45,True,True,False,True,7,7,0,14,5,5,4,0,0,0,0,0,0,0,0,False,False,0,,22,21,4.681818181818182,12
6,722,12/6/2018,U.P. Yoddha,30,Haryana Steelers,29,True,True,False,True,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,False,False,1,9.0,22,21,4.681818181818182,12
7,739,12/16/2018,U.P. Yoddha,47,Patna Pirates,31,True,True,False,True,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,False,False,1,7.0,22,21,4.681818181818182,12
8,650,10/20/2018,U.P. Yoddha,40,Bengal Warriors,40,True,True,True,True,9,9,0,14,7,4,3,1,0,0,0,0,0,0,0,False,False,0,,22,21,4.681818181818182,12
9,686,11/13/2018,U.P. Yoddha,24,U Mumba,41,True,True,True,True,2,2,0,13,2,4,7,0,0,0,0,0,0,0,0,False,False,0,,22,21,4.681818181818182,12
10,669,11/2/2018,U.P. Yoddha,24,Tamil Thalaivas,46,True,True,False,True,0,0,0,5,0,1,4,0,0,0,0,0,0,0,0,False,False,1,0.0,22,21,4.681818181818182,12
11,628,10/8/2018,U.P. Yoddha,37,Tamil Thalaivas,32,True,True,True,True,5,5,0,22,6,2,14,0,0,0,0,0,0,0,0,False,False,0,,22,21,4.681818181818182,12
12,737,12/15/2018,U.P. Yoddha,25,Tamil Thalaivas,25,True,True,False,True,1,1,0,5,1,2,2,0,0,0,0,0,0,0,0,False,False,1,0.0,22,21,4.681818181818182,12
13,672,11/3/2018,U.P. Yoddha,29,Bengaluru Bulls,35,True,False,False,False,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,False,False,1,27.0,22,21,4.681818181818182,12
14,756,12/27/2018,U.P. Yoddha,41,Bengal Warriors,25,True,True,False,True,9,9,0,19,7,2,10,1,0,0,0,0,1,0,0,False,False,0,,22,21,4.681818181818182,12
15,761,1/3/2019,U.P. Yoddha,31,Gujarat Giants,38,True,True,False,True,1,1,0,4,1,0,3,0,0,0,0,0,0,0,0,False,False,3,,22,21,4.681818181818182,12
16,696,11/18/2018,U.P. Yoddha,32,Gujarat Giants,37,True,True,False,True,1,1,0,4,1,2,1,0,0,0,0,0,0,0,0,False,False,1,10.0,22,21,4.681818181818182,12
17,679,11/8/2018,U.P. Yoddha,27,Bengaluru Bulls,37,True,True,False,True,5,5,0,10,4,1,5,0,0,0,0,0,0,0,0,False,False,1,23.0,22,21,4.681818181818182,12
18,757,12/30/2018,U.P. Yoddha,34,U Mumba,29,True,True,True,True,5,3,2,15,3,3,9,0,0,0,0,0,1,0,0,False,False,0,,22,21,4.681818181818182,12
19,747,12/22/2018,U.P. Yoddha,34,U Mumba,32,True,True,True,True,7,7,0,16,5,3,8,0,0,0,0,0,0,0,0,False,False,0,,22,21,4.681818181818182,12
20,760,12/31/2018,U.P. Yoddha,45,Dabang Delhi K.C.,33,True,True,False,True,8,8,0,15,7,2,6,0,0,0,0,0,0,0,0,False,False,0,,22,21,4.681818181818182,12
21,674,11/4/2018,U.P. Yoddha,30,Bengal Warriors,30,True,True,True,True,10,10,0,20,7,4,9,0,0,0,0,0,0,0,0,False,False,1,26.0,22,21,4.681818181818182,12
