season,team_name,player-id-pkdc,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
PKL-06,U Mumba,#N/A,Darshan Kadian,7,33,23%,54.50%,24.20%,21.20%
PKL-06,U Mumba,42,Dharmaraj Cheralathan,2,1,5%,,,100.00%
PKL-06,U Mumba,42,Dharmaraj Cheralathan,4,1,5%,100.00%,,
PKL-06,U Mumba,42,Dharmaraj Cheralathan,5,6,27%,100.00%,,
PKL-06,U Mumba,42,Dharmaraj Cheralathan,6,2,9%,100.00%,,
PKL-06,U Mumba,42,Dharmaraj Cheralathan,7,12,55%,100.00%,,
PKL-06,U Mumba,259,Fazel Atrachali,3,1,7%,100.00%,,
PKL-06,U Mumba,259,Fazel Atrachali,4,2,14%,100.00%,,
PKL-06,U Mumba,259,Fazel Atrachali,5,3,21%,100.00%,,
PKL-06,U Mumba,259,Fazel Atrachali,6,1,7%,100.00%,,
PKL-06,U Mumba,259,Fazel Atrachali,7,7,50%,100.00%,,
PKL-06,U Mumba,2313,Gaurav Kumar,4,3,30%,33.30%,66.70%,
PKL-06,U Mumba,2313,Gaurav Kumar,5,5,50%,20.00%,,80.00%
PKL-06,U Mumba,2313,Gaurav Kumar,6,1,10%,100.00%,,
PKL-06,U Mumba,2313,Gaurav Kumar,7,1,10%,,,100.00%
PKL-06,U Mumba,#N/A,R. Sriram,3,1,25%,,,100.00%
PKL-06,U Mumba,#N/A,R. Sriram,4,1,25%,,,100.00%
PKL-06,U Mumba,#N/A,R. Sriram,5,2,50%,,,100.00%
PKL-06,U Mumba,261,Rohit Baliyan,2,1,1%,,100.00%,
PKL-06,U Mumba,261,Rohit Baliyan,3,10,5%,50.00%,20.00%,30.00%
PKL-06,U Mumba,261,Rohit Baliyan,4,21,11%,66.70%,19.00%,14.30%
PKL-06,U Mumba,261,Rohit Baliyan,5,34,18%,67.60%,17.60%,14.70%
PKL-06,U Mumba,261,Rohit Baliyan,6,60,32%,23.30%,58.30%,18.30%
PKL-06,U Mumba,261,Rohit Baliyan,7,62,33%,30.60%,54.80%,14.50%
PKL-06,U Mumba,2026,Siddharth Desai,1,9,3%,,100.00%,
PKL-06,U Mumba,2026,Siddharth Desai,2,20,6%,10.00%,65.00%,25.00%
PKL-06,U Mumba,2026,Siddharth Desai,3,31,10%,22.60%,51.60%,25.80%
PKL-06,U Mumba,2026,Siddharth Desai,4,53,17%,39.60%,37.70%,22.60%
PKL-06,U Mumba,2026,Siddharth Desai,5,49,15%,42.90%,32.70%,24.50%
PKL-06,U Mumba,2026,Siddharth Desai,6,59,18%,13.60%,69.50%,16.90%
PKL-06,U Mumba,2026,Siddharth Desai,7,100,31%,16.00%,59.00%,25.00%
PKL-06,U Mumba,3086,Surinder Singh,7,3,100%,100.00%,,
PKL-06,U Mumba,764,Vinod Kumar,3,7,10%,85.70%,,14.30%
PKL-06,U Mumba,764,Vinod Kumar,4,8,12%,75.00%,,25.00%
PKL-06,U Mumba,764,Vinod Kumar,5,13,19%,92.30%,,7.70%
PKL-06,U Mumba,764,Vinod Kumar,6,12,18%,66.70%,25.00%,8.30%
PKL-06,U Mumba,764,Vinod Kumar,7,28,41%,35.70%,42.90%,21.40%
PKL-06,Puneri Paltan,365,Akshay Jadhav,3,5,5%,60.00%,,40.00%
PKL-06,Puneri Paltan,365,Akshay Jadhav,4,15,14%,53.30%,6.70%,40.00%
PKL-06,Puneri Paltan,365,Akshay Jadhav,5,20,19%,55.00%,10.00%,35.00%
PKL-06,Puneri Paltan,365,Akshay Jadhav,6,24,22%,45.80%,25.00%,29.20%
PKL-06,Puneri Paltan,365,Akshay Jadhav,7,44,41%,52.30%,38.60%,9.10%
PKL-06,Puneri Paltan,3110,Amit Kumar,3,2,7%,100.00%,,
PKL-06,Puneri Paltan,3110,Amit Kumar,4,3,10%,66.70%,,33.30%
PKL-06,Puneri Paltan,3110,Amit Kumar,5,9,31%,66.70%,22.20%,11.10%
PKL-06,Puneri Paltan,3110,Amit Kumar,6,5,17%,80.00%,20.00%,
PKL-06,Puneri Paltan,3110,Amit Kumar,7,10,34%,30.00%,20.00%,50.00%
PKL-06,Puneri Paltan,174,Deepak Dahiya,1,1,1%,,100.00%,
PKL-06,Puneri Paltan,174,Deepak Dahiya,3,2,2%,100.00%,,
PKL-06,Puneri Paltan,174,Deepak Dahiya,4,6,7%,33.30%,33.30%,33.30%
PKL-06,Puneri Paltan,174,Deepak Dahiya,5,20,23%,75.00%,5.00%,20.00%
PKL-06,Puneri Paltan,174,Deepak Dahiya,6,22,25%,36.40%,27.30%,36.40%
PKL-06,Puneri Paltan,174,Deepak Dahiya,7,37,42%,27.00%,43.20%,29.70%
PKL-06,Puneri Paltan,161,Girish Maruti Ernak,5,3,38%,100.00%,,
PKL-06,Puneri Paltan,161,Girish Maruti Ernak,6,4,50%,100.00%,,
PKL-06,Puneri Paltan,161,Girish Maruti Ernak,7,1,13%,,,100.00%
PKL-06,Puneri Paltan,3082,Monu ,2,3,2%,,100.00%,
PKL-06,Puneri Paltan,3082,Monu ,3,5,4%,40.00%,20.00%,40.00%
PKL-06,Puneri Paltan,3082,Monu ,4,11,9%,54.50%,9.10%,36.40%
PKL-06,Puneri Paltan,3082,Monu ,5,34,28%,44.10%,20.60%,35.30%
PKL-06,Puneri Paltan,3082,Monu ,6,33,27%,30.30%,36.40%,33.30%
PKL-06,Puneri Paltan,3082,Monu ,7,37,30%,37.80%,40.50%,21.60%
