Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Aman Kadian,7,3,100%,33.30%,,66.70%
Chandran Ranjit,2,4,1%,,75.00%,25.00%
,3,15,5%,26.70%,53.30%,20.00%
,4,40,13%,47.50%,30.00%,22.50%
,5,69,22%,49.30%,29.00%,21.70%
,6,65,21%,26.20%,52.30%,21.50%
,7,123,39%,29.30%,45.50%,25.20%
Meraj Sheykh,1,3,1%,,100.00%,
,2,14,7%,,85.70%,14.30%
,3,22,10%,13.60%,72.70%,13.60%
,4,29,14%,41.40%,34.50%,24.10%
,5,45,21%,48.90%,17.80%,33.30%
,6,38,18%,52.60%,28.90%,18.40%
,7,62,29%,58.10%,19.40%,22.60%
Naveen Kumar,1,2,1%,,100.00%,
,2,9,3%,,77.80%,22.20%
,3,20,7%,15.00%,65.00%,20.00%
,4,32,10%,37.50%,37.50%,25.00%
,5,54,18%,44.40%,31.50%,24.10%
,6,63,21%,34.90%,39.70%,25.40%
,7,127,41%,28.30%,55.90%,15.70%
Pawan Kumar,2,1,1%,,100.00%,
,3,3,3%,33.30%,,66.70%
,4,9,10%,66.70%,22.20%,11.10%
,5,9,10%,44.40%,44.40%,11.10%
,6,27,30%,44.40%,37.00%,18.50%
,7,41,46%,31.70%,46.30%,22.00%
Rajesh Narwal,1,1,5%,,100.00%,
,5,4,20%,75.00%,25.00%,
,6,5,25%,100.00%,,
,7,10,50%,30.00%,30.00%,40.00%
Satpal,6,1,50%,100.00%,,
,7,1,50%,,,100.00%
Shabeer Bappu,4,3,12%,33.30%,,66.70%
,5,5,19%,40.00%,,60.00%
,6,4,15%,25.00%,50.00%,25.00%
,7,14,54%,50.00%,28.60%,21.40%
Sumit Kumar,6,1,100%,100.00%,,
Vishal,3,1,17%,100.00%,,
,5,4,67%,75.00%,25.00%,
,7,1,17%,100.00%,,
Yogesh Hooda,4,1,8%,100.00%,,
,5,1,8%,100.00%,,
,6,6,46%,33.30%,16.70%,50.00%
,7,5,38%,40.00%,,60.00%
