,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles
Attacking Skill,Bengal Warriors,Bengaluru Bull,Dabang Delhi,Gujarat Fortunegiant,Haryana Steeler,Jaipur Pink Panther,Patna Pirate,Puneri Paltan,Tamil Thailaiva,Telugu Titan,U Mumba,UP Yoddha
Running Hand Touch,66,79,57,70,70,72,54,69,74,46,47,74
Hand Touch,36,32,41,32,42,37,52,39,44,36,25,57
Defender self out,18,14,9,13,9,10,10,9,6,11,17,20
Leg Thrust,14,17,11,9,26,9,22,16,17,21,23,20
Reverse Kick,13,8,13,8,14,10,11,13,6,5,7,13
Toe Touch,12,11,18,16,18,17,18,17,20,7,20,26
Side Kick,7,3,9,2,12,7,7,7,3,4,1,4
Running Kick,,4,6,3,3,8,2,2,3,2,,3
