,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles
Defensive Skill,Bengal Warriors,Bengaluru Bull,Dabang Delhi,Gujarat Fortunegiant,Haryana Steeler,Jaipur Pink Panther,Patna Pirate,Puneri Paltan,Tamil Thailaiva,Telugu Titan,U Mumba,UP Yoddha
Block,46,54,40,63,23,41,26,43,47,24,57,37
Dive,35,47,47,74,19,43,36,30,30,72,70,28
Thigh Hold,26,29,35,40,42,25,24,29,24,36,42,59
Ankle Hold,21,32,38,11,33,32,47,30,16,39,48,70
Body Hold,20,18,14,26,18,18,12,17,22,8,15,22
Push,17,24,22,22,31,25,32,32,27,12,31,15
Follow,5,1,1,,,,1,,,,1,1
Self-out,3,1,2,3,1,2,2,3,3,,3,3
