Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Abozar Mighani,4,2,33%,100.00%,,
,6,2,33%,100.00%,,
,7,2,33%,,,100.00%
Amit Kumar,3,3,6%,100.00%,,
,4,9,19%,77.80%,11.10%,11.10%
,5,19,40%,94.70%,5.30%,
,6,6,13%,83.30%,,16.70%
,7,10,21%,90.00%,,10.00%
Ankit Beniwal,3,1,4%,,,100.00%
,4,3,12%,66.70%,33.30%,
,5,11,42%,,45.50%,54.50%
,6,3,12%,33.30%,,66.70%
,7,8,31%,25.00%,50.00%,25.00%
Armaan,3,4,13%,25.00%,,75.00%
,4,8,25%,50.00%,25.00%,25.00%
,5,12,38%,25.00%,25.00%,50.00%
,6,5,16%,40.00%,20.00%,40.00%
,7,3,9%,66.70%,33.30%,
C. Arun,4,1,25%,100.00%,,
,6,2,50%,100.00%,,
,7,1,25%,,100.00%,
Farhad Milaghardan,2,3,3%,,66.70%,33.30%
,3,11,11%,36.40%,45.50%,18.20%
,4,8,8%,25.00%,37.50%,37.50%
,5,21,21%,66.70%,19.00%,14.30%
,6,24,24%,58.30%,41.70%,
,7,35,34%,42.90%,40.00%,17.10%
Kamal Singh,4,3,38%,66.70%,,33.30%
,5,2,25%,50.00%,,50.00%
,7,3,38%,100.00%,,
Krushna Madane,6,1,8%,100.00%,,
,7,11,92%,100.00%,,
Mula Siva Ganesh Reddy,6,1,50%,,,100.00%
,7,1,50%,,,100.00%
Palle Mallikarjun,4,1,7%,,,100.00%
,5,2,13%,50.00%,50.00%,
,6,2,13%,,,100.00%
,7,10,67%,20.00%,40.00%,40.00%
Rajnish,3,3,3%,33.30%,66.70%,
,4,16,16%,37.50%,25.00%,37.50%
,5,21,21%,57.10%,9.50%,33.30%
,6,15,15%,26.70%,40.00%,33.30%
,7,43,44%,34.90%,48.80%,16.30%
Rakesh Gowda,3,1,1%,100.00%,,
,4,17,15%,76.50%,17.60%,5.90%
,5,28,25%,39.30%,28.60%,32.10%
Rakesh Gowda,6,22,19%,31.80%,50.00%,18.20%
,7,46,40%,34.80%,41.30%,23.90%
Siddharth Sirish Desai,1,1,0%,,100.00%,
,2,14,4%,,71.40%,28.60%
,3,24,7%,16.70%,45.80%,37.50%
,4,33,10%,21.20%,42.40%,36.40%
,5,40,12%,32.50%,40.00%,27.50%
,6,91,27%,17.60%,58.20%,24.20%
,7,128,39%,14.80%,58.60%,26.60%
Suraj Desai,1,1,1%,,100.00%,
,2,1,1%,,,100.00%
,3,8,8%,62.50%,12.50%,25.00%
,4,15,15%,46.70%,33.30%,20.00%
,5,23,22%,39.10%,13.00%,47.80%
,6,21,20%,14.30%,52.40%,33.30%
,7,34,33%,35.30%,44.10%,20.60%
Vishal Bhardwaj,5,3,19%,100.00%,,
,6,5,31%,100.00%,,
,7,8,50%,87.50%,,12.50%
