,year,venue_city,venue_country,gold,silver,bronze
0,1980,Kolkata,India,India,Bangladesh,Nepal
1,1988,Jaipur,India,India,Bangladesh,
2,2000,Colombo,Sri Lanka,India,Sri Lanka,Pakistan
3,2001,Bangkok,Thailand,India,,
4,2002,Kuala Lumpur,Malaysia,India,Japan,Iran
5,2003,Kangar,Malaysia,Iran,Malaysia,Sri Lanka
6,2005,Tehran,Iran,India,Pakistan,Iran
7,2017,Gorgon,Iran,India,Pakistan,"Iran, South Korea"
8,2023,Busan,South Korea,India,Iran,Chinese Taipei
