player-avg-tackle-points_player_name,player-successful-raids_player_name,player-total-points_player_name,super-10s_player_name,player-raid-points_player_name,player-super-raids_player_name,high-5s_player_name,player-tackle-points_player_name,player-successful-tackles_player_name,player-super-tackles_player_name,player-dod-raid-points_player_name,player-avg-tackle-points_match_played,player-successful-raids_match_played,player-total-points_match_played,super-10s_match_played,player-raid-points_match_played,player-super-raids_match_played,high-5s_match_played,player-tackle-points_match_played,player-successful-tackles_match_played,player-super-tackles_match_played,player-dod-raid-points_match_played,player-avg-tackle-points_position_name,player-successful-raids_position_name,player-total-points_position_name,super-10s_position_name,player-raid-points_position_name,player-super-raids_position_name,high-5s_position_name,player-tackle-points_position_name,player-successful-tackles_position_name,player-super-tackles_position_name,player-dod-raid-points_position_name,player-avg-tackle-points_team,player-successful-raids_team,player-total-points_team,super-10s_team,player-raid-points_team,player-super-raids_team,high-5s_team,player-tackle-points_team,player-successful-tackles_team,player-super-tackles_team,player-dod-raid-points_team,player-avg-tackle-points_team_name,player-successful-raids_team_name,player-total-points_team_name,super-10s_team_name,player-raid-points_team_name,player-super-raids_team_name,high-5s_team_name,player-tackle-points_team_name,player-successful-tackles_team_name,player-super-tackles_team_name,player-dod-raid-points_team_name,player-avg-tackle-points_team_full_name,player-successful-raids_team_full_name,player-total-points_team_full_name,super-10s_team_full_name,player-raid-points_team_full_name,player-super-raids_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-successful-tackles_team_full_name,player-super-tackles_team_full_name,player-dod-raid-points_team_full_name,player-avg-tackle-points_rank,player-successful-raids_rank,player-total-points_rank,super-10s_rank,player-raid-points_rank,player-super-raids_rank,high-5s_rank,player-tackle-points_rank,player-successful-tackles_rank,player-super-tackles_rank,player-dod-raid-points_rank,player-avg-tackle-points_value,player-successful-raids_value,player-total-points_value,super-10s_value,player-raid-points_value,player-super-raids_value,high-5s_value,player-tackle-points_value,player-successful-tackles_value,player-super-tackles_value,player-dod-raid-points_value,player-avg-tackle-points_points_per_match,player-successful-raids_points_per_match,player-total-points_points_per_match,super-10s_points_per_match,player-raid-points_points_per_match,player-super-raids_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-successful-tackles_points_per_match,player-super-tackles_points_per_match,player-dod-raid-points_points_per_match,player-avg-tackle-points_team_id,player-successful-raids_team_id,player-total-points_team_id,super-10s_team_id,player-raid-points_team_id,player-super-raids_team_id,high-5s_team_id,player-tackle-points_team_id,player-successful-tackles_team_id,player-super-tackles_team_id,player-dod-raid-points_team_id,player-avg-tackle-points_position_id,player-successful-raids_position_id,player-total-points_position_id,super-10s_position_id,player-raid-points_position_id,player-super-raids_position_id,high-5s_position_id,player-tackle-points_position_id,player-successful-tackles_position_id,player-super-tackles_position_id,player-dod-raid-points_position_id
Rohit Gulia,Rohit Gulia,Rohit Gulia,,Rohit Gulia,,,Rohit Gulia,Rohit Gulia,,Rohit Gulia,19.0,19.0,19,,19.0,,,19.0,19.0,,19.0,All Rounder,All Rounder,All Rounder,,All Rounder,,,All Rounder,All Rounder,,All Rounder,,,,,,,,,,,,GUJ,GUJ,GUJ,,GUJ,,,GUJ,GUJ,,GUJ,Gujarat Giants,Gujarat Giants,Gujarat Giants,,Gujarat Giants,,,Gujarat Giants,Gujarat Giants,,Gujarat Giants,138.0,36.0,67,,37.0,,,116.0,107.0,,37.0,0.16,33.0,38,,35.0,,,3.0,3.0,,12.0,0.0084210526315789,1.736842105263158,2.0,,1.8421052631578947,,,0.1578947368421052,0.1578947368421052,,0.631578947368421,31.0,31.0,31,,31.0,,,31.0,31.0,,31.0,0.0,0.0,0,,0.0,,,0.0,0.0,,0.0
Mayur Shivtarkar,Mayur Shivtarkar,Mayur Shivtarkar,,Mayur Shivtarkar,,,Mayur Shivtarkar,Mayur Shivtarkar,,Mayur Shivtarkar,5.0,5.0,5,,5.0,,,5.0,5.0,,5.0,All Rounder,All Rounder,All Rounder,,All Rounder,,,All Rounder,All Rounder,,All Rounder,,,,,,,,,,,,HAR,HAR,HAR,,HAR,,,HAR,HAR,,HAR,Haryana Steelers,Haryana Steelers,Haryana Steelers,,Haryana Steelers,,,Haryana Steelers,Haryana Steelers,,Haryana Steelers,134.0,77.0,143,,83.0,,,142.0,141.0,,53.0,0.2,5.0,6,,5.0,,,1.0,1.0,,5.0,0.04,1.0,1.2,,1.0,,,0.2,0.2,,1.0,28.0,28.0,28,,28.0,,,28.0,28.0,,28.0,0.0,0.0,0,,0.0,,,0.0,0.0,,0.0
,Ajit Singh,Ajit Singh,,Ajit Singh,Ajit Singh,,,,,Ajit Singh,,11.0,11,,11.0,11.0,,,,,11.0,,Raider,Raider,,Raider,Raider,,,,,Raider,,,,,,,,,,,,,JAI,JAI,,JAI,JAI,,,,,JAI,,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,,,Jaipur Pink Panthers,,50.0,96,,51.0,48.0,,,,,48.0,,17.0,23,,23.0,1.0,,,,,7.0,,1.5454545454545454,2.090909090909091,,2.090909090909091,0.0909090909090909,,,,,0.6363636363636364,,3.0,3,,3.0,3.0,,,,,3.0,,8.0,8,,8.0,8.0,,,,,8.0
Nitin Rawal,Nitin Rawal,Nitin Rawal,Nitin Rawal,Nitin Rawal,Nitin Rawal,,Nitin Rawal,Nitin Rawal,Nitin Rawal,Nitin Rawal,21.0,21.0,21,21.0,21.0,21.0,,21.0,21.0,21.0,21.0,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,JAI,JAI,JAI,JAI,JAI,JAI,,JAI,JAI,JAI,JAI,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,72.0,30.0,25,19.0,28.0,9.0,,48.0,44.0,83.0,24.0,0.95,49.0,85,2.0,65.0,4.0,,20.0,19.0,1.0,21.0,0.0452380952380952,2.3333333333333335,4.0476190476190474,0.0952380952380952,3.0952380952380953,0.1904761904761904,,0.9523809523809524,0.9047619047619048,0.0476190476190476,1.0,3.0,3.0,3,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
,Rohit,Rohit,,Rohit,,,,,,Rohit,,2.0,2,,2.0,,,,,,2.0,,Raider,Raider,,Raider,,,,,,Raider,,,,,,,,,,,,,BLR,BLR,,BLR,,,,,,BLR,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,,,,,,Bengaluru Bulls,,81.0,149,,86.0,,,,,,78.0,,3.0,4,,4.0,,,,,,1.0,,1.5,2.0,,2.0,,,,,,0.5,,1.0,1,,1.0,,,,,,1.0,,8.0,8,,8.0,,,,,,8.0
Santhapanaselvam,,Santhapanaselvam,,,,,Santhapanaselvam,Santhapanaselvam,,,10.0,,10,,,,,10.0,10.0,,,Defender,,Defender,,,,,Defender,Defender,,,,,,,,,,,,,,JAI,,JAI,,,,,JAI,JAI,,,Jaipur Pink Panthers,,Jaipur Pink Panthers,,,,,Jaipur Pink Panthers,Jaipur Pink Panthers,,,38.0,,112,,,,,57.0,55.0,,,1.5,,15,,,,,15.0,15.0,,,0.15,,1.5,,,,,1.5,1.5,,,3.0,,3,,,,,3.0,3.0,,,9.0,,9,,,,,9.0,9.0,,
Vijay Malik,Vijay Malik,Vijay Malik,,Vijay Malik,Vijay Malik,Vijay Malik,Vijay Malik,Vijay Malik,Vijay Malik,Vijay Malik,19.0,19.0,19,,19.0,19.0,19.0,19.0,19.0,19.0,19.0,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,PAT,PAT,PAT,,PAT,PAT,PAT,PAT,PAT,PAT,PAT,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,25.0,49.0,40,,49.0,51.0,39.0,23.0,22.0,21.0,52.0,1.95,18.0,64,,27.0,1.0,1.0,37.0,34.0,3.0,6.0,0.1026315789473684,0.9473684210526316,3.3684210526315788,,1.4210526315789471,0.0526315789473684,0.0526315789473684,1.9473684210526316,1.7894736842105263,0.1578947368421052,0.3157894736842105,6.0,6.0,6,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monu,Monu,Monu,,Monu,Monu,Monu,Monu,Monu,Monu,Monu,19.0,19.0,19,,19.0,19.0,19.0,19.0,19.0,19.0,19.0,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,PUN,PUN,PUN,,PUN,PUN,PUN,PUN,PUN,PUN,PUN,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,35.0,54.0,52,,53.0,49.0,26.0,31.0,27.0,66.0,51.0,1.58,15.0,49,,19.0,1.0,1.0,30.0,29.0,1.0,6.0,0.0831578947368421,0.7894736842105263,2.5789473684210527,,1.0,0.0526315789473684,0.0526315789473684,1.5789473684210529,1.5263157894736843,0.0526315789473684,0.3157894736842105,7.0,7.0,7,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vishal Bhardwaj,,Vishal Bhardwaj,,,,Vishal Bhardwaj,Vishal Bhardwaj,Vishal Bhardwaj,Vishal Bhardwaj,,22.0,,22,,,,22.0,22.0,22.0,22.0,,All Rounder,,All Rounder,,,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,HYD,,HYD,,,,HYD,HYD,HYD,HYD,,Telugu Titans,,Telugu Titans,,,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,2.0,,32,,,,3.0,4.0,3.0,18.0,,3.23,,71,,,,5.0,71.0,68.0,3.0,,0.1468181818181818,,3.227272727272727,,,,0.2272727272727272,3.227272727272727,3.090909090909091,0.1363636363636363,,8.0,,8,,,,8.0,8.0,8.0,8.0,,0.0,,0,,,,0.0,0.0,0.0,0.0,
Rinku Narwal,Rinku Narwal,Rinku Narwal,,Rinku Narwal,,Rinku Narwal,Rinku Narwal,Rinku Narwal,Rinku Narwal,,13.0,13.0,13,,13.0,,13.0,13.0,13.0,13.0,,Defender,Defender,Defender,,Defender,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,PUN,PUN,PUN,,PUN,,PUN,PUN,PUN,PUN,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,31.0,111.0,99,,108.0,,38.0,44.0,48.0,14.0,,1.62,1.0,22,,1.0,,1.0,21.0,17.0,4.0,,0.1246153846153846,0.0769230769230769,1.6923076923076923,,0.0769230769230769,,0.0769230769230769,1.6153846153846154,1.3076923076923077,0.3076923076923077,,7.0,7.0,7,,7.0,,7.0,7.0,7.0,7.0,,9.0,9.0,9,,9.0,,9.0,9.0,9.0,9.0,
D. Pradap,D. Pradap,D. Pradap,,D. Pradap,,,D. Pradap,D. Pradap,D. Pradap,,16.0,16.0,16,,16.0,,,16.0,16.0,16.0,,All Rounder,All Rounder,All Rounder,,All Rounder,,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,CHE,CHE,CHE,,CHE,,,CHE,CHE,CHE,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,,,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,52.0,71.0,82,,72.0,,,47.0,43.0,72.0,,1.25,6.0,29,,9.0,,,20.0,19.0,1.0,,0.078125,0.375,1.8125,,0.5625,,,1.25,1.1875,0.0625,,29.0,29.0,29,,29.0,,,29.0,29.0,29.0,,0.0,0.0,0,,0.0,,,0.0,0.0,0.0,
Surinder Singh,,Surinder Singh,,,,Surinder Singh,Surinder Singh,Surinder Singh,,,22.0,,22,,,,22.0,22.0,22.0,,,Defender,,Defender,,,,Defender,Defender,Defender,,,,,,,,,,,,,,MUM,,MUM,,,,MUM,MUM,MUM,,,U Mumba,,U Mumba,,,,U Mumba,U Mumba,U Mumba,,,10.0,,44,,,,12.0,8.0,7.0,,,2.64,,58,,,,3.0,58.0,58.0,,,0.12,,2.636363636363636,,,,0.1363636363636363,2.636363636363636,2.636363636363636,,,5.0,,5,,,,5.0,5.0,5.0,,,9.0,,9,,,,9.0,9.0,9.0,,
Subash E,,Subash E,,,,,Subash E,Subash E,Subash E,,2.0,,2,,,,,2.0,2.0,2.0,,All Rounder,,All Rounder,,,,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,MUM,,MUM,,,,,MUM,MUM,MUM,,U Mumba,,U Mumba,,,,,U Mumba,U Mumba,U Mumba,,39.0,,160,,,,,110.0,133.0,80.0,,1.5,,3,,,,,3.0,2.0,1.0,,0.75,,1.5,,,,,1.5,1.0,0.5,,5.0,,5,,,,,5.0,5.0,5.0,,0.0,,0,,,,,0.0,0.0,0.0,
Nitesh Kumar,,Nitesh Kumar,,,,Nitesh Kumar,Nitesh Kumar,Nitesh Kumar,Nitesh Kumar,,19.0,,19,,,,19.0,19.0,19.0,19.0,,Defender,,Defender,,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,U.P.,,U.P.,,,,U.P.,U.P.,U.P.,U.P.,,U.P. Yoddhas,,U.P. Yoddhas,,,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,13.0,,55,,,,7.0,16.0,15.0,82.0,,2.47,,47,,,,4.0,47.0,46.0,1.0,,0.13,,2.473684210526316,,,,0.2105263157894736,2.473684210526316,2.4210526315789473,0.0526315789473684,,30.0,,30,,,,30.0,30.0,30.0,30.0,,9.0,,9,,,,9.0,9.0,9.0,9.0,
Pankaj,,Pankaj,,,,,Pankaj,Pankaj,,,13.0,,13,,,,,13.0,13.0,,,Defender,,Defender,,,,,Defender,Defender,,,,,,,,,,,,,,U.P.,,U.P.,,,,,U.P.,U.P.,,,U.P. Yoddhas,,U.P. Yoddhas,,,,,U.P. Yoddhas,U.P. Yoddhas,,,55.0,,108,,,,,52.0,51.0,,,1.23,,16,,,,,16.0,16.0,,,0.0946153846153846,,1.2307692307692308,,,,,1.2307692307692308,1.2307692307692308,,,30.0,,30,,,,,30.0,30.0,,,9.0,,9,,,,,9.0,9.0,,
Rakshith,Rakshith,Rakshith,,Rakshith,,,Rakshith,Rakshith,,Rakshith,6.0,6.0,6,,6.0,,,6.0,6.0,,6.0,Raider,Raider,Raider,,Raider,,,Raider,Raider,,Raider,,,,,,,,,,,,HYD,HYD,HYD,,HYD,,,HYD,HYD,,HYD,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,,,Telugu Titans,Telugu Titans,,Telugu Titans,118.0,59.0,113,,66.0,,,125.0,120.0,,73.0,0.33,11.0,14,,12.0,,,2.0,2.0,,1.0,0.055,1.8333333333333333,2.3333333333333335,,2.0,,,0.3333333333333333,0.3333333333333333,,0.1666666666666666,8.0,8.0,8,,8.0,,,8.0,8.0,,8.0,8.0,8.0,8,,8.0,,,8.0,8.0,,8.0
,Harish Naik,Harish Naik,Harish Naik,Harish Naik,,,,,,Harish Naik,,14.0,14,14.0,14.0,,,,,,14.0,,Raider,Raider,Raider,Raider,,,,,,Raider,,,,,,,,,,,,,BLR,BLR,BLR,BLR,,,,,,BLR,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,,,,,Bengaluru Bulls,,47.0,95,29.0,50.0,,,,,,50.0,,20.0,24,1.0,24.0,,,,,,6.0,,1.4285714285714286,1.7142857142857142,0.0714285714285714,1.7142857142857142,,,,,,0.4285714285714285,,1.0,1,1.0,1.0,,,,,,1.0,,8.0,8,8.0,8.0,,,,,,8.0
,Ravindra Kumavat,Ravindra Kumavat,,Ravindra Kumavat,,,,,,Ravindra Kumavat,,2.0,2,,2.0,,,,,,2.0,,All Rounder,All Rounder,,All Rounder,,,,,,All Rounder,,,,,,,,,,,,,KOL,KOL,,KOL,,,,,,KOL,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,,,,,,Bengal Warriors,,95.0,168,,104.0,,,,,,68.0,,2.0,2,,2.0,,,,,,2.0,,1.0,1.0,,1.0,,,,,,1.0,,4.0,4,,4.0,,,,,,4.0,,0.0,0,,0.0,,,,,,0.0
Vishal,Vishal,Vishal,,Vishal,,Vishal,Vishal,Vishal,Vishal,Vishal,5.0,5.0,5,,5.0,,5.0,5.0,5.0,5.0,5.0,All Rounder,All Rounder,All Rounder,,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,DEL,DEL,DEL,,DEL,,DEL,DEL,DEL,DEL,DEL,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,28.0,109.0,124,,106.0,,30.0,74.0,86.0,27.0,69.0,1.8,1.0,11,,2.0,,1.0,9.0,6.0,3.0,1.0,0.36,0.2,2.2,,0.4,,0.2,1.8,1.2,0.6,0.2,2.0,2.0,2,,2.0,,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0,,0.0,,0.0,0.0,0.0,0.0,0.0
