player-avg-tackle-points_player_name,player-successful-raids_player_name,player-total-points_player_name,super-10s_player_name,player-raid-points_player_name,player-super-raids_player_name,high-5s_player_name,player-tackle-points_player_name,player-successful-tackles_player_name,player-super-tackles_player_name,player-dod-raid-points_player_name,player-avg-tackle-points_match_played,player-successful-raids_match_played,player-total-points_match_played,super-10s_match_played,player-raid-points_match_played,player-super-raids_match_played,high-5s_match_played,player-tackle-points_match_played,player-successful-tackles_match_played,player-super-tackles_match_played,player-dod-raid-points_match_played,player-avg-tackle-points_position_name,player-successful-raids_position_name,player-total-points_position_name,super-10s_position_name,player-raid-points_position_name,player-super-raids_position_name,high-5s_position_name,player-tackle-points_position_name,player-successful-tackles_position_name,player-super-tackles_position_name,player-dod-raid-points_position_name,player-avg-tackle-points_team,player-successful-raids_team,player-total-points_team,super-10s_team,player-raid-points_team,player-super-raids_team,high-5s_team,player-tackle-points_team,player-successful-tackles_team,player-super-tackles_team,player-dod-raid-points_team,player-avg-tackle-points_team_name,player-successful-raids_team_name,player-total-points_team_name,super-10s_team_name,player-raid-points_team_name,player-super-raids_team_name,high-5s_team_name,player-tackle-points_team_name,player-successful-tackles_team_name,player-super-tackles_team_name,player-dod-raid-points_team_name,player-avg-tackle-points_team_full_name,player-successful-raids_team_full_name,player-total-points_team_full_name,super-10s_team_full_name,player-raid-points_team_full_name,player-super-raids_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-successful-tackles_team_full_name,player-super-tackles_team_full_name,player-dod-raid-points_team_full_name,player-avg-tackle-points_rank,player-successful-raids_rank,player-total-points_rank,super-10s_rank,player-raid-points_rank,player-super-raids_rank,high-5s_rank,player-tackle-points_rank,player-successful-tackles_rank,player-super-tackles_rank,player-dod-raid-points_rank,player-avg-tackle-points_value,player-successful-raids_value,player-total-points_value,super-10s_value,player-raid-points_value,player-super-raids_value,high-5s_value,player-tackle-points_value,player-successful-tackles_value,player-super-tackles_value,player-dod-raid-points_value,player-avg-tackle-points_points_per_match,player-successful-raids_points_per_match,player-total-points_points_per_match,super-10s_points_per_match,player-raid-points_points_per_match,player-super-raids_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-successful-tackles_points_per_match,player-super-tackles_points_per_match,player-dod-raid-points_points_per_match,player-avg-tackle-points_team_id,player-successful-raids_team_id,player-total-points_team_id,super-10s_team_id,player-raid-points_team_id,player-super-raids_team_id,high-5s_team_id,player-tackle-points_team_id,player-successful-tackles_team_id,player-super-tackles_team_id,player-dod-raid-points_team_id,player-avg-tackle-points_position_id,player-successful-raids_position_id,player-total-points_position_id,super-10s_position_id,player-raid-points_position_id,player-super-raids_position_id,high-5s_position_id,player-tackle-points_position_id,player-successful-tackles_position_id,player-super-tackles_position_id,player-dod-raid-points_position_id
,,Dong Ju Hong,,Dong Ju Hong,,,,,,,,,3,,3.0,,,,,,,,,All Rounder,,All Rounder,,,,,,,,,,,,,,,,,,,,MUM,,MUM,,,,,,,,,U Mumba,,U Mumba,,,,,,,,,172,,119.0,,,,,,,,,1,,1.0,,,,,,,,,0.3333333333333333,,0.3333333333333333,,,,,,,,,5,,5.0,,,,,,,,,0,,0.0,,,,,,
,Jang Kun Lee,Jang Kun Lee,,Jang Kun Lee,,,,,,Jang Kun Lee,,21.0,21,,21.0,,,,,,21.0,,Raider,Raider,,Raider,,,,,,Raider,,,,,,,,,,,,,KOL,KOL,,KOL,,,,,,KOL,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,,,,,,Bengal Warriors,,16.0,21,,21.0,,,,,,44.0,,80.0,89,,89.0,,,,,,8.0,,3.8095238095238098,4.238095238095238,,4.238095238095238,,,,,,0.3809523809523809,,4.0,4,,4.0,,,,,,4.0,,8.0,8,,8.0,,,,,,8.0
Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,,Ajay Thakur,Ajay Thakur,,Ajay Thakur,22.0,22.0,22,22.0,22.0,22.0,,22.0,22.0,,22.0,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,,Raider,,,,,,,,,,,,CHE,CHE,CHE,CHE,CHE,CHE,,CHE,CHE,,CHE,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,Tamil Thalaivas,,Tamil Thalaivas,106.0,3.0,3,3.0,3.0,17.0,,77.0,74.0,,11.0,0.41,182.0,222,12.0,213.0,3.0,,9.0,9.0,,30.0,0.0186363636363636,8.272727272727273,10.090909090909092,0.5454545454545454,9.681818181818182,0.1363636363636363,,0.4090909090909091,0.4090909090909091,,1.3636363636363635,29.0,29.0,29,29.0,29.0,29.0,,29.0,29.0,,29.0,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,,8.0
Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,21.0,21.0,21,21.0,21.0,21.0,,21.0,21.0,21.0,21.0,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,MUM,MUM,MUM,MUM,MUM,MUM,,MUM,MUM,MUM,MUM,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,61.0,14.0,11,22.0,14.0,25.0,,40.0,45.0,16.0,54.0,1.1,84.0,135,2.0,112.0,2.0,,23.0,19.0,4.0,5.0,0.0523809523809523,4.0,6.428571428571429,0.0952380952380952,5.333333333333333,0.0952380952380952,,1.0952380952380951,0.9047619047619048,0.1904761904761904,0.238095238095238,5.0,5.0,5,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,8.0,8.0
,Bhupender Singh,Bhupender Singh,,Bhupender Singh,Bhupender Singh,,,,,Bhupender Singh,,17.0,17,,17.0,17.0,,,,,17.0,,All Rounder,All Rounder,,All Rounder,All Rounder,,,,,All Rounder,,,,,,,,,,,,,KOL,KOL,,KOL,KOL,,,,,KOL,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,,,,,Bengal Warriors,,51.0,86,,48.0,27.0,,,,,49.0,,16.0,28,,28.0,2.0,,,,,7.0,,0.9411764705882352,1.6470588235294117,,1.6470588235294117,0.1176470588235294,,,,,0.4117647058823529,,4.0,4,,4.0,4.0,,,,,4.0,,0.0,0,,0.0,0.0,,,,,0.0
,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,Chandran Ranjit,,,,,Chandran Ranjit,,11.0,11,11.0,11.0,11.0,,,,,11.0,,Raider,Raider,Raider,Raider,Raider,,,,,Raider,,,,,,,,,,,,,GUJ,GUJ,GUJ,GUJ,GUJ,,,,,GUJ,,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,,,,,Gujarat Giants,,35.0,51,33.0,35.0,11.0,,,,,34.0,,43.0,51,1.0,51.0,3.0,,,,,13.0,,3.909090909090909,4.636363636363637,0.0909090909090909,4.636363636363637,0.2727272727272727,,,,,1.181818181818182,,31.0,31,31.0,31.0,31.0,,,,,31.0,,8.0,8,8.0,8.0,8.0,,,,,8.0
Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,,Deepak Hooda,Deepak Hooda,Deepak Hooda,Deepak Hooda,24.0,24.0,24,24.0,24.0,24.0,,24.0,24.0,24.0,24.0,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,PUN,PUN,PUN,PUN,PUN,PUN,,PUN,PUN,PUN,PUN,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,94.0,9.0,7,7.0,7.0,3.0,,60.0,60.0,81.0,1.0,0.58,127.0,186,7.0,172.0,8.0,,14.0,13.0,1.0,47.0,0.0241666666666666,5.291666666666667,7.75,0.2916666666666667,7.166666666666667,0.3333333333333333,,0.5833333333333334,0.5416666666666666,0.0416666666666666,1.9583333333333333,7.0,7.0,7,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Dharmaraj Cheralathan,,Dharmaraj Cheralathan,,,,,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,,18.0,,18,,,,,18.0,18.0,18.0,,Defender,,Defender,,,,,Defender,Defender,Defender,,,,,,,,,,,,,PUN,,PUN,,,,,PUN,PUN,PUN,,Puneri Paltan,,Puneri Paltan,,,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,42.0,,90,,,,,36.0,34.0,68.0,,1.39,,25,,,,,25.0,24.0,1.0,,0.0772222222222222,,1.3888888888888888,,,,,1.3888888888888888,1.3333333333333333,0.0555555555555555,,7.0,,7,,,,,7.0,7.0,7.0,,9.0,,9,,,,,9.0,9.0,9.0,
GURVINDER SINGH,GURVINDER SINGH,GURVINDER SINGH,,GURVINDER SINGH,GURVINDER SINGH,,GURVINDER SINGH,GURVINDER SINGH,,GURVINDER SINGH,9.0,9.0,9,,9.0,9.0,,9.0,9.0,,9.0,Raider,Raider,Raider,,Raider,Raider,,Raider,Raider,,Raider,,,,,,,,,,,,BLR,BLR,BLR,,BLR,BLR,,BLR,BLR,,BLR,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,78.0,62.0,93,,56.0,42.0,,89.0,82.0,,55.0,0.78,10.0,24,,17.0,1.0,,7.0,7.0,,5.0,0.0866666666666666,1.1111111111111112,2.6666666666666665,,1.8888888888888888,0.1111111111111111,,0.7777777777777778,0.7777777777777778,,0.5555555555555556,1.0,1.0,1,,1.0,1.0,,1.0,1.0,,1.0,8.0,8.0,8,,8.0,8.0,,8.0,8.0,,8.0
Jasvir Singh,Jasvir Singh,Jasvir Singh,Jasvir Singh,Jasvir Singh,Jasvir Singh,,Jasvir Singh,Jasvir Singh,Jasvir Singh,Jasvir Singh,15.0,15.0,15,15.0,15.0,15.0,,15.0,15.0,15.0,15.0,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,JAI,JAI,JAI,JAI,JAI,JAI,,JAI,JAI,JAI,JAI,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,115.0,28.0,37,23.0,31.0,15.0,,99.0,110.0,43.0,31.0,0.33,49.0,66,2.0,61.0,3.0,,5.0,3.0,2.0,14.0,0.022,3.2666666666666666,4.4,0.1333333333333333,4.066666666666666,0.2,,0.3333333333333333,0.2,0.1333333333333333,0.9333333333333332,3.0,3.0,3,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,8.0,8.0
Jeeva Gopal,,Jeeva Gopal,,,,,Jeeva Gopal,Jeeva Gopal,Jeeva Gopal,,6.0,,6,,,,,6.0,6.0,6.0,,Defender,,Defender,,,,,Defender,Defender,Defender,,,,,,,,,,,,,HAR,,HAR,,,,,HAR,HAR,HAR,,Haryana Steelers,,Haryana Steelers,,,,,Haryana Steelers,Haryana Steelers,Haryana Steelers,,76.0,,147,,,,,95.0,104.0,41.0,,0.83,,5,,,,,5.0,3.0,2.0,,0.1383333333333333,,0.8333333333333334,,,,,0.8333333333333334,0.5,0.3333333333333333,,28.0,,28,,,,,28.0,28.0,28.0,,9.0,,9,,,,,9.0,9.0,9.0,
Jeeva Kumar,,Jeeva Kumar,,,,Jeeva Kumar,Jeeva Kumar,Jeeva Kumar,Jeeva Kumar,,22.0,,22,,,,22.0,22.0,22.0,22.0,,Defender,,Defender,,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,U.P.,,U.P.,,,,U.P.,U.P.,U.P.,U.P.,,U.P. Yoddhas,,U.P. Yoddhas,,,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,21.0,,58,,,,22.0,18.0,19.0,1.0,,2.0,,44,,,,1.0,44.0,37.0,7.0,,0.0909090909090909,,2.0,,,,0.0454545454545454,2.0,1.681818181818182,0.3181818181818182,,30.0,,30,,,,30.0,30.0,30.0,30.0,,9.0,,9,,,,9.0,9.0,9.0,9.0,
Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,,Kashiling Adake,Kashiling Adake,Kashiling Adake,Kashiling Adake,20.0,20.0,20,20.0,20.0,20.0,,20.0,20.0,20.0,20.0,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,MUM,MUM,MUM,MUM,MUM,MUM,,MUM,MUM,MUM,MUM,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,108.0,15.0,14,16.0,13.0,8.0,,81.0,83.0,61.0,15.0,0.4,81.0,122,3.0,114.0,4.0,,8.0,7.0,1.0,27.0,0.02,4.05,6.1,0.15,5.7,0.2,,0.4,0.35,0.05,1.35,5.0,5.0,5,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,8.0,8.0
Kuldeep Singh,,Kuldeep Singh,,,,Kuldeep Singh,Kuldeep Singh,Kuldeep Singh,Kuldeep Singh,,16.0,,16,,,,16.0,16.0,16.0,16.0,,Defender,,Defender,,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,BLR,,BLR,,,,BLR,BLR,BLR,BLR,,Bengaluru Bulls,,Bengaluru Bulls,,,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,19.0,,75,,,,13.0,26.0,25.0,29.0,,2.06,,33,,,,3.0,33.0,30.0,3.0,,0.12875,,2.0625,,,,0.1875,2.0625,1.875,0.1875,,1.0,,1,,,,1.0,1.0,1.0,1.0,,9.0,,9,,,,9.0,9.0,9.0,9.0,
Mahesh Goud,Mahesh Goud,Mahesh Goud,,Mahesh Goud,,,Mahesh Goud,Mahesh Goud,Mahesh Goud,Mahesh Goud,21.0,21.0,21,,21.0,,,21.0,21.0,21.0,21.0,Raider,Raider,Raider,,Raider,,,Raider,Raider,Raider,Raider,,,,,,,,,,,,U.P.,U.P.,U.P.,,U.P.,,,U.P.,U.P.,U.P.,U.P.,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,116.0,37.0,60,,38.0,,,88.0,98.0,17.0,46.0,0.33,30.0,42,,35.0,,,7.0,4.0,3.0,8.0,0.0157142857142857,1.4285714285714286,2.0,,1.6666666666666667,,,0.3333333333333333,0.1904761904761904,0.1428571428571428,0.3809523809523809,30.0,30.0,30,,30.0,,,30.0,30.0,30.0,30.0,8.0,8.0,8,,8.0,,,8.0,8.0,8.0,8.0
Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,,Manjeet Chhillar,,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,Manjeet Chhillar,,15.0,15.0,15,,15.0,,15.0,15.0,15.0,15.0,,All Rounder,All Rounder,All Rounder,,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,JAI,JAI,JAI,,JAI,,JAI,JAI,JAI,JAI,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,4.0,80.0,50,,82.0,,11.0,17.0,16.0,54.0,,3.13,4.0,52,,5.0,,3.0,47.0,46.0,1.0,,0.2086666666666666,0.2666666666666666,3.466666666666667,,0.3333333333333333,,0.2,3.1333333333333333,3.066666666666667,0.0666666666666666,,3.0,3.0,3,,3.0,,3.0,3.0,3.0,3.0,,0.0,0.0,0,,0.0,,0.0,0.0,0.0,0.0,
Manoj Kumar,,Manoj Kumar,,,,,Manoj Kumar,Manoj Kumar,,,5.0,,5,,,,,5.0,5.0,,,Defender,,Defender,,,,,Defender,Defender,,,,,,,,,,,,,,GUJ,,GUJ,,,,,GUJ,GUJ,,,Gujarat Giants,,Gujarat Giants,,,,,Gujarat Giants,Gujarat Giants,,,132.0,,180,,,,,147.0,135.0,,,0.2,,1,,,,,1.0,1.0,,,0.04,,0.2,,,,,0.2,0.2,,,31.0,,31,,,,,31.0,31.0,,,9.0,,9,,,,,9.0,9.0,,
Mohit Chhillar,Mohit Chhillar,Mohit Chhillar,,Mohit Chhillar,,Mohit Chhillar,Mohit Chhillar,Mohit Chhillar,Mohit Chhillar,,20.0,20.0,20,,20.0,,20.0,20.0,20.0,20.0,,Defender,Defender,Defender,,Defender,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,HAR,HAR,HAR,,HAR,,HAR,HAR,HAR,HAR,,Haryana Steelers,Haryana Steelers,Haryana Steelers,,Haryana Steelers,,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,,24.0,99.0,59,,99.0,,20.0,21.0,21.0,13.0,,1.95,1.0,42,,3.0,,2.0,39.0,35.0,4.0,,0.0975,0.05,2.1,,0.15,,0.1,1.95,1.75,0.2,,28.0,28.0,28,,28.0,,28.0,28.0,28.0,28.0,,9.0,9.0,9,,9.0,,9.0,9.0,9.0,9.0,
Nilesh Shinde,Nilesh Shinde,Nilesh Shinde,,Nilesh Shinde,,Nilesh Shinde,Nilesh Shinde,Nilesh Shinde,Nilesh Shinde,Nilesh Shinde,15.0,15.0,15,,15.0,,15.0,15.0,15.0,15.0,15.0,Defender,Defender,Defender,,Defender,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,DEL,DEL,DEL,,DEL,,DEL,DEL,DEL,DEL,DEL,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,47.0,92.0,91,,90.0,,9.0,46.0,42.0,78.0,71.0,1.33,2.0,24,,4.0,,3.0,20.0,19.0,1.0,1.0,0.0886666666666666,0.1333333333333333,1.6,,0.2666666666666666,,0.2,1.3333333333333333,1.2666666666666666,0.0666666666666666,0.0666666666666666,2.0,2.0,2,,2.0,,2.0,2.0,2.0,2.0,2.0,9.0,9.0,9,,9.0,,9.0,9.0,9.0,9.0,9.0
,Nitin Madane,Nitin Madane,,Nitin Madane,,,,,,Nitin Madane,,12.0,12,,12.0,,,,,,12.0,,Raider,Raider,,Raider,,,,,,Raider,,,,,,,,,,,,,MUM,MUM,,MUM,,,,,,MUM,,U Mumba,U Mumba,,U Mumba,,,,,,U Mumba,,61.0,116,,62.0,,,,,,63.0,,11.0,13,,13.0,,,,,,3.0,,0.9166666666666666,1.0833333333333333,,1.0833333333333333,,,,,,0.25,,5.0,5,,5.0,,,,,,5.0,,8.0,8,,8.0,,,,,,8.0
Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,Rahul Chaudhari,,Rahul Chaudhari,Rahul Chaudhari,,Rahul Chaudhari,22.0,22.0,22,22.0,22.0,22.0,,22.0,22.0,,22.0,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,,Raider,,,,,,,,,,,,HYD,HYD,HYD,HYD,HYD,HYD,,HYD,HYD,,HYD,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,,Telugu Titans,107.0,4.0,5,6.0,6.0,6.0,,75.0,75.0,,12.0,0.41,159.0,193,8.0,184.0,5.0,,9.0,9.0,,29.0,0.0186363636363636,7.227272727272728,8.772727272727273,0.3636363636363636,8.363636363636363,0.2272727272727272,,0.4090909090909091,0.4090909090909091,,1.318181818181818,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,,8.0
Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,Rajesh Mondal,,Rajesh Mondal,Rajesh Mondal,,Rajesh Mondal,24.0,24.0,24,24.0,24.0,24.0,,24.0,24.0,,24.0,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,,Raider,,,,,,,,,,,,PUN,PUN,PUN,PUN,PUN,PUN,,PUN,PUN,,PUN,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,150.0,20.0,20,26.0,19.0,32.0,,139.0,144.0,,3.0,0.04,75.0,91,1.0,90.0,1.0,,1.0,1.0,,40.0,0.0016666666666666,3.125,3.7916666666666665,0.0416666666666666,3.75,0.0416666666666666,,0.0416666666666666,0.0416666666666666,,1.6666666666666667,7.0,7.0,7,7.0,7.0,7.0,,7.0,7.0,,7.0,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,,8.0
Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,,Rajesh Narwal,Rajesh Narwal,,Rajesh Narwal,Rajesh Narwal,Rajesh Narwal,,16.0,16.0,16,,16.0,16.0,,16.0,16.0,16.0,,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,U.P.,U.P.,U.P.,,U.P.,U.P.,,U.P.,U.P.,U.P.,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,63.0,69.0,87,,67.0,39.0,,53.0,53.0,50.0,,1.0,7.0,27,,11.0,1.0,,16.0,15.0,1.0,,0.0625,0.4375,1.6875,,0.6875,0.0625,,1.0,0.9375,0.0625,,30.0,30.0,30,,30.0,30.0,,30.0,30.0,30.0,,0.0,0.0,0,,0.0,0.0,,0.0,0.0,0.0,
Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,,Rakesh Kumar,,,Rakesh Kumar,Rakesh Kumar,Rakesh Kumar,,10.0,10.0,10,,10.0,,,10.0,10.0,10.0,,All Rounder,All Rounder,All Rounder,,All Rounder,,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,HYD,HYD,HYD,,HYD,,,HYD,HYD,HYD,,Telugu Titans,Telugu Titans,Telugu Titans,,Telugu Titans,,,Telugu Titans,Telugu Titans,Telugu Titans,,33.0,70.0,97,,76.0,,,51.0,54.0,75.0,,1.6,7.0,23,,7.0,,,16.0,15.0,1.0,,0.16,0.7,2.3,,0.7,,,1.6,1.5,0.1,,8.0,8.0,8,,8.0,,,8.0,8.0,8.0,,0.0,0.0,0,,0.0,,,0.0,0.0,0.0,
Ravi Dalal,Ravi Dalal,Ravi Dalal,,Ravi Dalal,,,Ravi Dalal,Ravi Dalal,,Ravi Dalal,5.0,5.0,5,,5.0,,,5.0,5.0,,5.0,Raider,Raider,Raider,,Raider,,,Raider,Raider,,Raider,,,,,,,,,,,,DEL,DEL,DEL,,DEL,,,DEL,DEL,,DEL,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,90.0,83.0,130,,80.0,,,115.0,109.0,,83.0,0.6,3.0,8,,5.0,,,3.0,3.0,,1.0,0.12,0.6,1.6,,1.0,,,0.6,0.6,,0.2,2.0,2.0,2,,2.0,,,2.0,2.0,,2.0,8.0,8.0,8,,8.0,,,8.0,8.0,,8.0
Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,Rishank Devadiga,21.0,21.0,21,21.0,21.0,21.0,,21.0,21.0,21.0,21.0,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,U.P.,U.P.,U.P.,U.P.,U.P.,U.P.,,U.P.,U.P.,U.P.,U.P.,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,128.0,10.0,10,10.0,9.0,2.0,,98.0,102.0,71.0,9.0,0.24,126.0,170,5.0,165.0,12.0,,5.0,4.0,1.0,32.0,0.0114285714285714,6.0,8.095238095238095,0.238095238095238,7.857142857142857,0.5714285714285714,,0.238095238095238,0.1904761904761904,0.0476190476190476,1.5238095238095235,30.0,30.0,30,30.0,30.0,30.0,,30.0,30.0,30.0,30.0,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,8.0,8.0
Rohit Rana,,Rohit Rana,,,,,Rohit Rana,Rohit Rana,,,21.0,,21,,,,,21.0,21.0,,,Defender,,Defender,,,,,Defender,Defender,,,,,,,,,,,,,,HYD,,HYD,,,,,HYD,HYD,,,Telugu Titans,,Telugu Titans,,,,,Telugu Titans,Telugu Titans,,,59.0,,92,,,,,37.0,35.0,,,1.14,,24,,,,,24.0,24.0,,,0.0542857142857142,,1.1428571428571428,,,,,1.1428571428571428,1.1428571428571428,,,8.0,,8,,,,,8.0,8.0,,,9.0,,9,,,,,9.0,9.0,,
Rupesh Tomar,,Rupesh Tomar,,,,,Rupesh Tomar,Rupesh Tomar,,,1.0,,1,,,,,1.0,1.0,,,All Rounder,,All Rounder,,,,,All Rounder,All Rounder,,,,,,,,,,,,,,DEL,,DEL,,,,,DEL,DEL,,,Dabang Delhi K.C.,,Dabang Delhi K.C.,,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,70.0,,171,,,,,150.0,150.0,,,1.0,,1,,,,,1.0,1.0,,,1.0,,1.0,,,,,1.0,1.0,,,2.0,,2,,,,,2.0,2.0,,,0.0,,0,,,,,0.0,0.0,,
Santosh B.S. ,Santosh B.S. ,Santosh B.S. ,,Santosh B.S. ,Santosh B.S. ,,Santosh B.S. ,Santosh B.S. ,Santosh B.S. ,,9.0,9.0,9,,9.0,9.0,,9.0,9.0,9.0,,Defender,Defender,Defender,,Defender,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,U.P.,U.P.,U.P.,,U.P.,U.P.,,U.P.,U.P.,U.P.,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,,U.P. Yoddhas,U.P. Yoddhas,U.P. Yoddhas,,67.0,112.0,119,,95.0,52.0,,76.0,78.0,57.0,,1.0,1.0,12,,3.0,1.0,,9.0,8.0,1.0,,0.1111111111111111,0.1111111111111111,1.3333333333333333,,0.3333333333333333,0.1111111111111111,,1.0,0.8888888888888888,0.1111111111111111,,30.0,30.0,30,,30.0,30.0,,30.0,30.0,30.0,,9.0,9.0,9,,9.0,9.0,,9.0,9.0,9.0,
