Defender Success rate,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Defender Name,Total Tackles,Successful Tackles,,Color % Successful Tac..,
Saurabh Nandal,127,65,51%,0,1
Aman,114,51,45%,,
Mahender Singh,103,42,41%,,
Neeraj Narwal,42,19,45%,,
Mayur Kadam,38,15,39%,,
Ponparthiban Subramani..,22,12,55%,,
Bharat Naresh,18,3,17%,,
,17,0,0%,,
Sudhakar Krishant,16,6,38%,,
Vikash Kandola,13,4,31%,,
Rajnesh,10,1,10%,,
Ran Singh,9,2,22%,,
Narender Hooda,9,3,33%,,
Sachin Narwal,6,1,17%,,
More G B,5,2,40%,,
Rajesh Narwal,1,0,0%,,
