Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Vishal Lather,129,58,45%
Krishan,92,31,34%
Sandeep Dhull,71,28,39%
Ravi Kumar,71,21,30%
Amit Hooda,56,27,48%
Vijay,53,18,34%
Ashu Malik,34,13,38%
Deepak,25,10,40%
Manjeet,20,6,30%
Vijay Jaglan,16,6,38%
Naveen Kumar,11,3,27%
Anil Kumar Narwal,7,3,43%
