Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Rinku H C,94,52,55%
Mohit,89,38,43%
Harendra Kumar,71,24,34%
Surinder Singh,56,32,57%
Kiran Laxman Magar,46,18,39%
Ashish (Bubla),28,18,64%
Rahul Sethpal,27,13,48%
Shivansh Thakur,18,7,39%
Jai Bhagwan,12,5,42%
Ashish,8,4,50%
Guman Singh,6,0,0%
Vishal Mane,5,1,20%
Satywan,4,1,25%
Pranay Vinay Rane,3,1,33%
Heidarali Ekrami,3,1,33%
Shivam,1,1,100%
Ankush,1,0,0%
