,Season_Number,Team Name,player-id,Raider Name,Number of Defenders,Total Raids,Percentage of Raids,Empty Raids Percentage,Successful Raids Percentage
643,6,Bengal Warriors,143,Maninder Singh,2,21,6%,,90.50%
644,6,Bengal Warriors,143,Maninder Singh,3,33,9.00%,39.40%,27.30%
645,6,Bengal Warriors,143,Maninder Singh,4,40,11.00%,52.50%,27.50%
646,6,Bengal Warriors,143,Maninder Singh,5,82,22.00%,58.50%,19.50%
647,6,Bengal Warriors,143,Maninder Singh,6,66,18.00%,27.30%,48.50%
648,6,Bengal Warriors,143,Maninder Singh,7,135,36.00%,26.70%,56.30%
1279,7,Bengal Warriors,143,Maninder Singh,2,24,8.00%,4.20%,87.50%
1280,7,Bengal Warriors,143,Maninder Singh,3,15,5.00%,33.30%,53.30%
1281,7,Bengal Warriors,143,Maninder Singh,4,32,10.00%,34.40%,40.60%
1282,7,Bengal Warriors,143,Maninder Singh,5,50,16.00%,46.00%,30.00%
1283,7,Bengal Warriors,143,Maninder Singh,6,59,19.00%,23.70%,50.80%
1284,7,Bengal Warriors,143,Maninder Singh,7,138,43.00%,25.40%,61.60%
1914,8,Bengal Warriors,143,Maninder Singh,2,21,5%,,85.70%
1915,8,Bengal Warriors,143,Maninder Singh,3,21,5.00%,42.90%,23.80%
1916,8,Bengal Warriors,143,Maninder Singh,4,27,7.00%,37.00%,37.00%
1917,8,Bengal Warriors,143,Maninder Singh,5,88,22.00%,47.70%,22.70%
1918,8,Bengal Warriors,143,Maninder Singh,6,99,25.00%,23.20%,60.60%
1919,8,Bengal Warriors,143,Maninder Singh,7,145,36.00%,15.20%,57.90%
1969,9,Bengal Warriors,143,Maninder Singh,1,1,0%,,100.00%
1970,9,Bengal Warriors,143,Maninder Singh,2,28,8%,,89.30%
1971,9,Bengal Warriors,143,Maninder Singh,3,32,9.00%,28.10%,46.90%
1972,9,Bengal Warriors,143,Maninder Singh,4,38,10.00%,68.40%,10.50%
1973,9,Bengal Warriors,143,Maninder Singh,5,40,11.00%,55.00%,30.00%
1974,9,Bengal Warriors,143,Maninder Singh,6,86,24.00%,14.00%,66.30%
1975,9,Bengal Warriors,143,Maninder Singh,7,138,38.00%,18.10%,52.20%
2693,5,Bengal Warriors,143,Maninder Singh,1,4,1%,,100.00%
2694,5,Bengal Warriors,143,Maninder Singh,2,26,7.00%,7.70%,80.80%
2695,5,Bengal Warriors,143,Maninder Singh,3,20,5.00%,40.00%,45.00%
2696,5,Bengal Warriors,143,Maninder Singh,4,29,8.00%,55.20%,34.50%
2697,5,Bengal Warriors,143,Maninder Singh,5,51,14.00%,60.80%,15.70%
2698,5,Bengal Warriors,143,Maninder Singh,6,89,24.00%,31.50%,43.80%
2699,5,Bengal Warriors,143,Maninder Singh,7,148,40.00%,37.80%,46.60%
