Season,Team Name,Player Name,Position,Total Played,Total Starts
PKL_S5,Haryana Steelers,Ashish Chhokar,Raider,5,3
PKL_S5,Haryana Steelers,Mahendra Singh Dhaka,Right Cover,2,2
PKL_S5,Haryana Steelers,Khomsan Thongkham,Raider,2,0
PKL_S5,Haryana Steelers,David Mosambayi,Raider,2,0
PKL_S5,Haryana Steelers,Babu M,Left Cover,2,1
PKL_S5,Haryana Steelers,Raju Lal Choudhary,Right Corner,0,0
PKL_S5,Jaipur Pink Panthers,Somvir Shekhar,Defender,22,20
PKL_S5,Jaipur Pink Panthers,Sidharth,All Rounder,21,16
PKL_S5,Jaipur Pink Panthers,Pawan Kumar,Raider,21,20
PKL_S5,Jaipur Pink Panthers,Nitin Rawal,Left Cover,21,21
PKL_S5,Jaipur Pink Panthers,Tushar Patil,Raider,17,15
PKL_S5,Jaipur Pink Panthers,Manjeet Chhillar,All Rounder,15,15
PKL_S5,Jaipur Pink Panthers,Jasvir Singh,Raider,15,15
PKL_S5,Jaipur Pink Panthers,Sunil Siddhgavali,Raider,12,8
PKL_S5,Jaipur Pink Panthers,Ajit Singh,Raider,11,2
PKL_S5,Jaipur Pink Panthers,Santhapanaselvam,All Rounder,10,10
PKL_S5,Jaipur Pink Panthers,Manoj Dhull,Right Corner,9,3
PKL_S5,Jaipur Pink Panthers,Kamal Kishor,Raider,7,2
PKL_S5,Jaipur Pink Panthers,Rahul Choudhary,Raider,5,1
PKL_S5,Jaipur Pink Panthers,Selvamani K,Raider,3,2
PKL_S5,Jaipur Pink Panthers,Navneet Gautam,Left Corner,3,3
PKL_S5,Jaipur Pink Panthers,Abhishek N,All Rounder,2,0
PKL_S5,Jaipur Pink Panthers,Ravinder Kumar,Defender,1,1
PKL_S5,Jaipur Pink Panthers,Jae Min Lee,Left Corner,0,0
PKL_S5,Jaipur Pink Panthers,Dong Gyu Kim,All Rounder,0,0
PKL_S5,Patna Pirates,Vishal Mane,Right Cover,26,26
PKL_S5,Patna Pirates,Sachin Shingade,Left Cover,26,26
PKL_S5,Patna Pirates,Pardeep Narwal,Raider,26,26
PKL_S5,Patna Pirates,Monu Goyat,Raider,26,26
PKL_S5,Patna Pirates,Jaideep,Left Corner,26,26
PKL_S5,Patna Pirates,Manish,Right Cover,23,0
PKL_S5,Patna Pirates,Vinod Kumar,Raider,21,9
PKL_S5,Patna Pirates,Vijay,Raider,19,15
PKL_S5,Patna Pirates,Jawahar Dagar,Raider,18,15
PKL_S5,Patna Pirates,Vikas Jaglan,Raider,13,1
PKL_S5,Patna Pirates,Satish,Right Corner,10,9
PKL_S5,Patna Pirates,Vishnu Uthaman,Raider,3,1
PKL_S5,Patna Pirates,Virender Singh,Right Corner,3,2
PKL_S5,Patna Pirates,Md. Zakir Hossain,Raider,1,0
PKL_S5,Patna Pirates,Sandeep,Defender,0,0
PKL_S5,Patna Pirates,Parveen Birwal,All Rounder,0,0
PKL_S5,Patna Pirates,Mohammad Maghshoudulu,All Rounder,0,0
PKL_S5,Patna Pirates,Arvind Kumar,All Rounder,0,0
PKL_S5,Puneri Paltan,Rajesh Mondal,Raider,24,21
PKL_S5,Puneri Paltan,Deepak Hooda,All Rounder,24,24
PKL_S5,Puneri Paltan,Ravi Kumar,Right Cover,23,18
PKL_S5,Puneri Paltan,Sandeep Narwal,All Rounder,21,21
PKL_S5,Puneri Paltan,Girish Maruti Ernak,Left Corner,21,20
PKL_S5,Puneri Paltan,Monu Sandhu,Raider,19,12
PKL_S5,Puneri Paltan,Dharmaraj Cheralathan,Defender,18,14
PKL_S5,Puneri Paltan,Ziaur Rahman,Left Cover,16,16
PKL_S5,Puneri Paltan,Rinku Narwal,Left Corner,13,5
PKL_S5,Puneri Paltan,Suresh Kumar,Raider,11,1
PKL_S5,Puneri Paltan,Rohit Kumar Choudary,Raider,11,5
PKL_S5,Puneri Paltan,Akshay Jadhav,Raider,10,5
PKL_S5,Puneri Paltan,More G B,Raider,6,5
PKL_S5,Puneri Paltan,Umesh Mhatre,Raider,5,0
PKL_S5,Puneri Paltan,Vikash Khatri,Raider,1,1
PKL_S5,Puneri Paltan,Ajay Ghanghas,All Rounder,1,0
PKL_S5,Puneri Paltan,Takamitsu Kono,All Rounder,0,0
PKL_S5,Tamil Thalaivas,K. Prapanjan,Raider,22,22
PKL_S5,Tamil Thalaivas,Amit Hooda,Right Corner,22,22
PKL_S5,Tamil Thalaivas,Ajay Thakur,Raider,22,22
PKL_S5,Tamil Thalaivas,Darshan J.,Right Cover,20,17
PKL_S5,Tamil Thalaivas,C. Arun,Left Cover,20,20
PKL_S5,Tamil Thalaivas,Vineet Kumar,Raider,18,16
PKL_S5,Tamil Thalaivas,Dong Geon Lee,Raider,17,2
PKL_S5,Tamil Thalaivas,D. Pradap,All Rounder,16,8
PKL_S5,Tamil Thalaivas,Vijin Thangadurai,Right Cover,12,8
PKL_S5,Tamil Thalaivas,Anil Kumar,Left Cover,5,5
PKL_S5,Tamil Thalaivas,Anil Kumar,Left Corner,5,1
PKL_S5,Tamil Thalaivas,M. Thivakaran,Raider,9,2
PKL_S5,Tamil Thalaivas,Vijay Kumar,Left Corner,8,0
PKL_S5,Tamil Thalaivas,Sanket Chavan,Defender,7,6
PKL_S5,Tamil Thalaivas,Bhavani Rajput,Raider,4,1
PKL_S5,Tamil Thalaivas,Muruthu M,Right Cover,3,2
PKL_S5,Tamil Thalaivas,T. Prabhakaran,Right Cover,2,0
PKL_S5,Tamil Thalaivas,Sujit Maharana,All Rounder,2,0
PKL_S5,Tamil Thalaivas,Rajesh Manokaran,Left Cover,2,0
PKL_S5,Tamil Thalaivas,Chan Sik Park,All Rounder,1,0
PKL_S5,Tamil Thalaivas,Mugilan,Right Corner,0,0
PKL_S5,Telugu Titans,Vishal Bhardwaj,All Rounder,22,22
PKL_S5,Telugu Titans,Rahul Chaudhari,Raider,22,22
PKL_S5,Telugu Titans,Rohit Rana,Left Cover,21,19
PKL_S5,Telugu Titans,Nilesh Salunke,Raider,21,20
PKL_S5,Telugu Titans,Farhad Milaghardan,Right Cover,18,17
PKL_S5,Telugu Titans,Sombir,Right Corner,17,16
PKL_S5,Telugu Titans,Mohsen Maghsoudlou,Raider,16,11
PKL_S5,Telugu Titans,Vikas,Raider,14,9
PKL_S5,Telugu Titans,Rakesh Kumar,Allrounder,10,10
PKL_S5,Telugu Titans,Rakshith,Raider,6,0
PKL_S5,Telugu Titans,Elangeshwaran R,All Rounder,5,2
PKL_S5,Telugu Titans,Vinoth Kumar,Raider,4,2
PKL_S5,Telugu Titans,Vinod Kumar,Left Cover,4,4
PKL_S5,Telugu Titans,Vikrant,Raider,3,0
PKL_S5,Telugu Titans,Munish,Raider,3,0
PKL_S5,Telugu Titans,Ankit Malik,Raider,1,0
PKL_S5,Telugu Titans,Amit Singh Chhillar,Left Corner,1,0
PKL_S5,Telugu Titans,Pandranki Prasad,Raider,0,0
PKL_S5,U Mumba,Surinder Singh,Right Cover,22,19
PKL_S5,U Mumba,Anup Kumar,Raider,21,21
PKL_S5,U Mumba,Kuldeep Singh,Defender,20,20
PKL_S5,U Mumba,Kashiling Adake,Raider,20,19
PKL_S5,U Mumba,Shrikant Jadhav,Raider,19,14
PKL_S5,U Mumba,Hadi Oshtorak,All Rounder,16,15
PKL_S5,U Mumba,Darshan Kadian,Raider,16,9
PKL_S5,U Mumba,Shabeer Bappu,Raider,12,10
PKL_S5,U Mumba,Nitin Madane,Raider,12,2
PKL_S5,U Mumba,N. Renjith,Left Corner,11,6
PKL_S5,U Mumba,Joginder Narwal,Left Corner,8,7
PKL_S5,U Mumba,D. Suresh Kumar,Defender,5,4
PKL_S5,U Mumba,Mohan Raman G,Raider,4,0
PKL_S5,U Mumba,Deepak Yadav,Right Cover,4,3
PKL_S5,U Mumba,Dong Ju Hong,All Rounder,3,2
PKL_S5,U Mumba,Shiv Om,All Rounder,2,2
PKL_S5,U Mumba,E Subash,All Rounder,2,1
PKL_S5,U Mumba,Yong Joo Ok,All Rounder,1,0
PKL_S5,UP Yoddha,Jeeva Kumar,Defender,22,22
PKL_S5,UP Yoddha,Rishank Devadiga,Raider,21,21
PKL_S5,UP Yoddha,Mahesh Goud,Raider,21,8
PKL_S5,UP Yoddha,Nitin Tomar,Raider,20,20
PKL_S5,UP Yoddha,Nitesh Kumar,Right Corner,19,18
PKL_S5,UP Yoddha,Surender Singh,Raider,18,12
PKL_S5,UP Yoddha,Sagar Krishna,All Rounder,17,16
PKL_S5,UP Yoddha,Rajesh Narwal,All Rounder,16,16
PKL_S5,UP Yoddha,Pankaj,All Rounder,12,10
PKL_S5,UP Yoddha,Santhosh B.S,Left Corner,9,2
PKL_S5,UP Yoddha,Hadi Tajik,Right Corner,9,5
PKL_S5,UP Yoddha,Rohit Kumar,Right Cover,7,6
PKL_S5,UP Yoddha,Gurvinder Singh,Left Cover,5,3
PKL_S5,UP Yoddha,Gulveer Singh,Raider,4,1
PKL_S5,UP Yoddha,Sunil,All Rounder,2,0
PKL_S5,UP Yoddha,Sulieman Kabir,Raider,2,0
PKL_S5,UP Yoddha,Sanoj Kumar,Left Cover,2,1
PKL_S5,UP Yoddha,Ajvender Singh,Raider,2,0
PKL_S6,Bengal Warriors,Surjeet Singh,Right Cover,23,23
PKL_S6,Bengal Warriors,Ran Singh,All Rounder,22,22
PKL_S6,Bengal Warriors,Maninder Singh,Raider,22,22
PKL_S6,Bengal Warriors,Ziaur Rahman,Left Cover,18,16
PKL_S6,Bengal Warriors,Jang Kun Lee,Raider,18,18
PKL_S6,Bengal Warriors,Baldev Singh,Right Corner,18,16
PKL_S6,Bengal Warriors,Vijin Thangadurai,Right Cover,16,7
PKL_S6,Bengal Warriors,Ravindra Ramesh Kumawat,All Rounder,12,12
PKL_S6,Bengal Warriors,Mahesh Goud,Raider,10,10
PKL_S6,Bengal Warriors,Adarsh T,Left Corner,10,4
PKL_S6,Bengal Warriors,Amit Nagar,Raider,9,1
PKL_S6,Bengal Warriors,Shrikant Tewthia,All Rounder,8,6
PKL_S6,Bengal Warriors,Manoj Dhull,Right Corner,8,1
PKL_S6,Bengal Warriors,Rakesh Narwal,Raider,6,1
PKL_S6,Bengal Warriors,Bhupender Singh,All Rounder,4,0
PKL_S6,Bengal Warriors,Mithin Kumar,Raider,3,0
PKL_S6,Bengal Warriors,Amit Kumar,Raider,2,2
