Unnamed: 0,Outcome,Percentage outcome,Unnamed: 3,Unnamed: 4
Empty,Successful,Unsuccessful,,
,100.0%,,-33.3%,100.0%
9.1%,81.8%,9.1%,,
42.4%,24.2%,33.3%,,
46.5%,25.6%,27.9%,,
55.4%,28.6%,16.1%,,
35.3%,48.0%,16.7%,,
25.9%,56.8%,17.3%,,
100.0%,,,,
,,100.0%,,
100.0%,,,,
100.0%,,,,
100.0%,,,,
100.0%,,,,
100.0%,,,,
33.3%,22.2%,44.4%,,
100.0%,,,,
100.0%,,,,
100.0%,,,,
75.0%,,25.0%,,
100.0%,,,,
80.0%,,20.0%,,
100.0%,,,,
77.8%,22.2%,,,
54.5%,18.2%,27.3%,,
66.7%,,33.3%,,
,100.0%,,,
,75.0%,25.0%,,
36.4%,18.2%,45.5%,,
40.0%,30.0%,30.0%,,
16.7%,66.7%,16.7%,,
38.5%,34.6%,26.9%,,
,100.0%,,,
57.1%,9.5%,33.3%,,
38.9%,30.6%,30.6%,,
51.5%,24.2%,24.2%,,
37.5%,42.9%,19.6%,,
41.1%,39.5%,19.4%,,
80.0%,20.0%,,,
66.7%,,33.3%,,
44.4%,11.1%,44.4%,,
50.0%,37.5%,12.5%,,
9.1%,54.5%,36.4%,,
,,100.0%,,
100.0%,,,,
100.0%,,,,
,,100.0%,,
66.7%,,33.3%,,
,Outcome,,Percentage outcome,
Empty,Successful,Unsuccessful,,
,,100.0%,-33.3%,100.0%
66.7%,,33.3%,,
100.0%,,,,
100.0%,,,,
,,100.0%,,
50.0%,,50.0%,,
,100.0%,,,
50.0%,50.0%,,,
81.3%,6.3%,12.5%,,
85.2%,3.7%,11.1%,,
80.0%,10.0%,10.0%,,
55.3%,26.3%,18.4%,,
Raider Name,Number of Defenders,Total Raids,% of Raids,
Ajay Thakur,1,5,1%,
,2,22,6%,
,3,33,8%,
,4,43,11%,
,5,56,14%,
,6,102,26%,
,7,139,35%,
Amit Hooda,4,1,14%,
,6,1,14%,
,7,5,71%,
Anil Kumar,4,1,25%,
,6,2,50%,
,7,1,25%,
Bhavani Rajput,4,1,10%,
,7,9,90%,
C. Arun,4,1,6%,
,5,9,56%,
,6,2,13%,
,7,4,25%,
D. Pradap,3,1,2%,
,4,5,10%,
,5,12,24%,
,6,9,18%,
,7,22,45%,
Darshan J.,7,3,100%,
Dong Geon Lee,2,1,1%,
,3,4,6%,
,4,11,16%,
,5,20,29%,
,6,6,9%,
,7,26,38%,
K. Prapanjan,2,3,1%,
,3,21,7%,
,4,36,12%,
,5,66,22%,
,6,56,18%,
,7,124,41%,
M. Thivakaran,3,5,14%,
,4,3,8%,
,5,9,25%,
,6,8,22%,
,7,11,31%,
Muruthu M,7,1,100%,
Sanket Chavan,7,1,100%,
Sujit Maharana,3,1,20%,
,5,1,20%,
,7,3,,
Raider Name,Number of5Defenders,Total1Raids,% of Raids,
Sujit Maharana,7,3,60%,
Vijay Kumar,5,1,33%,
,6,1,33%,
,7,1,33%,
Vijin Thangadurai,7,2,,100%
Vineet Kumar,1,1,1%,
,3,2,2%,
,4,16,15%,
,5,27,26%,
,6,20,19%,
,7,38,37%,
