Unnamed: 0,Outcome,Percentage outcome,Unnamed: 3,Unnamed: 4,Unnamed: 5
Empty,Successful,Unsuccessful,,,
50.0%,,50.0%,-33.3%,100.0%,
66.7%,33.3%,,,,
66.7%,,33.3%,,,
26.7%,40.0%,33.3%,,,
,,100.0%,,,
50.0%,,50.0%,,,
33.3%,66.7%,,,,
33.3%,25.0%,41.7%,,,
,33.3%,66.7%,,,
40.0%,40.0%,20.0%,,,
51.7%,24.1%,24.1%,,,
30.8%,38.5%,30.8%,,,
46.4%,35.7%,17.9%,,,
,,100.0%,,,
100.0%,,,,,
,,100.0%,,,
,100.0%,,,,
36.4%,45.5%,18.2%,,,
77.3%,13.6%,9.1%,,,
62.5%,16.7%,20.8%,,,
45.3%,43.4%,11.3%,,,
48.6%,32.7%,18.7%,,,
,100.0%,,,,
12.5%,75.0%,12.5%,,,
36.0%,40.0%,24.0%,,,
44.9%,26.5%,28.6%,,,
56.7%,14.9%,28.4%,,,
39.2%,51.5%,9.3%,,,
42.4%,38.9%,18.8%,,,
100.0%,,,,,
100.0%,,,,,
100.0%,,,,,
66.7%,22.2%,11.1%,,,
65.0%,25.0%,10.0%,,,
,100.0%,,,,
,100.0%,,,,
33.3%,33.3%,33.3%,,,
60.0%,20.0%,20.0%,,,
50.0%,50.0%,,,,
11.1%,55.6%,33.3%,,,
100.0%,,,,,
33.3%,33.3%,33.3%,,,
26.3%,5.3%,68.4%,,,
46.2%,46.2%,7.7%,,,
40.5%,32.4%,27.0%,,,
,Outcome,,Percentage outcome,,
Empty,Successful,Unsuccessful,,,
,,100.0%,-33.3%,100.0%,
,50.0%,50.0%,,,
50.0%,,50.0%,,,
100.0%,,,,,
83.3%,,16.7%,,,
55.6%,22.2%,22.2%,,,
33.3%,50.0%,16.7%,,,
50.0%,,50.0%,,,
100.0%,,,,,
Raider Name,Number of Defenders,Total Raids,% of Raids,,
Elangeshwaran R,4,2,9%,,
,5,3,13%,,
,6,3,13%,,
,7,15,,65%,
Farhad,4,1,6%,,
Milaghardan,5,2,11%,,
,6,3,17%,,
,7,12,,67%,
Mohsen,3,3,4%,,
Maghsoudlou,4,10,12%,,
,5,29,35%,,
,6,13,16%,,
,7,28,34%,,
Munish,5,1,25%,,
,6,1,25%,,
,7,2,50%,,
Nilesh Salunke,2,6,2%,,
,3,11,4%,,
,4,22,9%,,
,5,48,19%,,
,6,53,21%,,
,7,107,43%,,
Rahul Chaudhari,1,6,1%,,
,2,24,6%,,
,3,25,6%,,
,4,49,12%,,
,5,67,16%,,
,6,97,24%,,
,7,144,35%,,
Rakesh Kumar,3,1,2%,,
,4,6,14%,,
,5,7,16%,,
,6,9,21%,,
,7,20,47%,,
Rakshith,2,1,5%,,
,3,2,9%,,
,4,3,14%,,
,5,5,23%,,
,6,2,9%,,
,7,9,41%,,
Vikas,3,1,1%,,
,4,3,3%,,
,5,19,22%,,
,6,26,30%,,
,7,37,43%,,
Vikrant,5,1,20%,,
,6,2,,,
Raider Name,Number of5Defenders,Total1Raids,,% of Raids,
Vikrant,6,2,,40%,
,7,2,,40%,
Vinoth Kumar,4,2,9%,,
,5,6,,26%,
,6,9,,39%,
,7,6,,26%,
Vishal Bhardwaj,6,2,,40%,
,7,3,,,60%
