Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Abhishek N,7,2,100%,50.00%,,50.00%
Ajit Singh,4,7,12%,57.10%,28.60%,14.30%
Ajit Singh,5,16,28%,75.00%,18.80%,6.30%
Ajit Singh,6,11,19%,45.50%,36.40%,18.20%
Ajit Singh,7,23,40%,47.80%,34.80%,17.40%
Jasvir Singh,1,2,1%,,100.00%,
Jasvir Singh,2,16,8%,6.30%,68.80%,25.00%
Jasvir Singh,3,18,9%,44.40%,38.90%,16.70%
Jasvir Singh,4,32,15%,53.10%,28.10%,18.80%
Jasvir Singh,5,36,17%,69.40%,11.10%,19.40%
Jasvir Singh,6,39,19%,41.00%,25.60%,33.30%
Jasvir Singh,7,67,32%,55.20%,19.40%,25.40%
Kamal Kishor,4,3,33%,33.30%,,66.70%
Kamal Kishor,5,2,22%,,,100.00%
Kamal Kishor,7,4,44%,,,100.00%
Manjeet Chhillar,3,1,3%,100.00%,,
Manjeet Chhillar,4,3,10%,100.00%,,
Manjeet Chhillar,6,8,28%,50.00%,12.50%,37.50%
Manjeet Chhillar,7,17,59%,47.10%,17.60%,35.30%
Navneet Gautam,4,1,50%,100.00%,,
Navneet Gautam,5,1,50%,100.00%,,
Nitin Rawal,2,4,3%,,50.00%,50.00%
Nitin Rawal,3,17,11%,41.20%,35.30%,23.50%
Nitin Rawal,4,19,13%,36.80%,42.10%,21.10%
Nitin Rawal,5,25,17%,68.00%,12.00%,20.00%
Nitin Rawal,6,23,16%,47.80%,34.80%,17.40%
Nitin Rawal,7,60,41%,48.30%,36.70%,15.00%
Pawan Kumar,2,5,2%,,80.00%,20.00%
Pawan Kumar,3,12,4%,41.70%,41.70%,16.70%
Pawan Kumar,4,21,7%,47.60%,14.30%,38.10%
Pawan Kumar,5,37,13%,70.30%,10.80%,18.90%
Pawan Kumar,6,82,29%,31.70%,39.00%,29.30%
Pawan Kumar,7,127,45%,40.20%,38.60%,21.30%
Rahul Choudhary,3,2,12%,50.00%,50.00%,
Rahul Choudhary,5,3,18%,33.30%,33.30%,33.30%
Rahul Choudhary,6,6,35%,16.70%,16.70%,66.70%
Rahul Choudhary,7,6,35%,33.30%,33.30%,33.30%
Selvamani K,4,2,14%,50.00%,,50.00%
Selvamani K,5,1,7%,100.00%,,
Selvamani K,6,4,29%,,25.00%,75.00%
Selvamani K,7,7,50%,42.90%,28.60%,28.60%
Sidharth,3,1,3%,,100.00%,
Sidharth,4,7,22%,57.10%,14.30%,28.60%
Sidharth,5,10,31%,80.00%,,20.00%
Sidharth,6,1,3%,100.00%,,
Sidharth,7,13,41%,69.20%,7.70%,23.10%
Sunil Siddhgavali,6,1,50%,100.00%,,
Sunil Siddhgavali,7,1,50%,100.00%,,
Tushar Patil,2,2,1%,,50.00%,50.00%
Tushar Patil,3,8,5%,12.50%,50.00%,37.50%
Tushar Patil,4,19,12%,47.40%,21.10%,31.60%
Tushar Patil,5,54,35%,42.60%,24.10%,33.30%
Tushar Patil,6,25,16%,24.00%,44.00%,32.00%
Tushar Patil,7,48,31%,41.70%,43.80%,14.60%
