Unnamed: 0,Outcome,Percentage outcome,Unnamed: 3,Unnamed: 4
Empty,Successful,Unsuccessful,,
100.0%,,,-33.3%,100.0%
,,100.0%,,
,,100.0%,,
,20.0%,80.0%,,
,,100.0%,,
,,100.0%,,
30.0%,20.0%,50.0%,,
100.0%,,,,
100.0%,,,,
,,100.0%,,
,,100.0%,,
7.7%,46.2%,46.2%,,
60.0%,15.0%,25.0%,,
41.2%,52.9%,5.9%,,
34.2%,34.2%,31.6%,,
100.0%,,,,
100.0%,,,,
,100.0%,,,
10.5%,78.9%,10.5%,,
48.1%,40.7%,11.1%,,
47.6%,31.0%,21.4%,,
72.0%,14.0%,14.0%,,
40.0%,45.0%,15.0%,,
39.4%,48.8%,11.8%,,
33.3%,,66.7%,,
66.7%,,33.3%,,
,100.0%,,,
100.0%,,,,
100.0%,,,,
100.0%,,,,
77.3%,4.5%,18.2%,,
53.6%,17.9%,28.6%,,
,100.0%,,,
11.1%,66.7%,22.2%,,
42.1%,42.1%,15.8%,,
39.0%,19.5%,41.5%,,
54.4%,16.5%,29.1%,,
20.6%,57.4%,22.1%,,
23.9%,60.2%,15.9%,,
,50.0%,50.0%,,
100.0%,,,,
71.4%,14.3%,14.3%,,
,100.0%,,,
,100.0%,,,
33.3%,,66.7%,,
50.0%,,50.0%,,
100.0%,,,,
66.7%,11.1%,22.2%,,
,Outcome,,Percentage outcome,
Empty,Successful,Unsuccessful,,
50.0%,,50.0%,-33.3%,100.0%
100.0%,,,,
66.7%,11.1%,22.2%,,
50.0%,,50.0%,,
,,100.0%,,
100.0%,,,,
,,100.0%,,
,,100.0%,,
50.0%,25.0%,25.0%,,
45.5%,36.4%,18.2%,,
41.7%,8.3%,50.0%,,
44.4%,25.9%,29.6%,,
30.8%,50.8%,18.5%,,
Raider Name,Number of Defenders,Total Raids,% of Raids,
Ajvender Singh,5,1,100%,
Gulveer Singh,5,1,13%,
,6,2,25%,
,7,5,63%,
Hadi Tajik,5,1,8%,
,6,1,8%,
,7,10,83%,
Jeeva Kumar,4,1,50%,
,6,1,50%,
Mahesh Goud,2,1,1%,
,3,1,1%,
,4,13,14%,
,5,20,22%,
,6,17,19%,
,7,38,42%,
Nitesh Kumar,4,1,50%,
,6,1,50%,
Nitin Tomar,1,2,1%,
,2,19,6%,
,3,27,8%,
,4,42,13%,
,5,50,15%,
,6,60,18%,
,7,127,39%,
Pankaj,6,3,50%,
,7,3,50%,
Rajesh Narwal,1,1,1%,
,3,1,1%,
,4,11,14%,
,5,17,21%,
,6,22,28%,
,7,28,35%,
Rishank Devadiga,1,1,0%,
,2,9,3%,
,3,19,6%,
,4,41,13%,
,5,79,26%,
,6,68,22%,
,7,88,29%,
Rohit Kumar,7,2,100%,
Sagar Krishna,6,3,30%,
,7,7,70%,
Sanoj Kumar,5,1,50%,
,7,1,50%,
Santhosh B.S,4,3,17%,
,5,4,22%,
,6,2,,
Raider Name,Number of5Defenders,Total4Raids,% of Raids,
Santhosh B.S,6,2,11%,
,7,9,50%,
Sulieman Kabir,5,2,67%,
,7,1,33%,
Sunil,4,1,33%,
,5,1,33%,
,7,1,33%,
Surender Singh,3,4,3%,
,4,11,8%,
,5,24,18%,
,6,27,21%,
,7,65,50%,
