Player_Name,Tournament,Team,Price,Status
manjeet-chhillar-1000109?,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
ajay-thakur-1000159?,Pro Kabaddi Season 8,Dabang Delhi KC,46.00 L,SOLD
ajay-thakur-1000159?,Pro Kabaddi Season 7,Tamil Thalaivas,84.00 L,RETAINED
ajay-thakur-1000159?,Pro Kabaddi Season 6,Tamil Thalaivas,76.23 L,RETAINED
ajay-thakur-1000159?,Pro Kabaddi Season 5,Tamil Thalaivas,69.30 L,SOLD
ajay-thakur-1000159?,Pro Kabaddi Season 4,Puneri Paltan,19.00 L,SOLD
vikas-kandola-1000100?,Pro Kabaddi Season 9,Bengaluru Bulls,170.00 L,SOLD
vikas-kandola-1000100?,Pro Kabaddi Season 8,Haryana Steelers,87.00 L,RETAINED
vikas-kandola-1000100?,Pro Kabaddi Season 7,Haryana Steelers,77.83 L,RETAINED
vikas-kandola-1000100?,Pro Kabaddi Season 6,Haryana Steelers,47.00 L,SOLD
vikas-kandola-1000100?,Pro Kabaddi Season 5,Haryana Steelers,15.20 L,SOLD
po-surjeet-singh-1000033?,Pro Kabaddi Season 9,Telugu Titans,50.00 L,SOLD
po-surjeet-singh-1000033?,Pro Kabaddi Season 8,Tamil Thalaivas,75.00 L,SOLD
po-surjeet-singh-1000033?,Pro Kabaddi Season 7,Puneri Paltan,56.00 L,SOLD
po-surjeet-singh-1000033?,Pro Kabaddi Season 6,Bengal Warriors,80.30 L,RETAINED
po-surjeet-singh-1000033?,Pro Kabaddi Season 5,Bengal Warriors,73.00 L,SOLD
rishank-devadiga-1000232?,Pro Kabaddi Season 8,Bengal Warriors,20.00 L,SOLD
rishank-devadiga-1000232?,Pro Kabaddi Season 7,UP Yoddha,61.00 L,FBM
rishank-devadiga-1000232?,Pro Kabaddi Season 6,UP Yoddha,111.00 L,SOLD
rishank-devadiga-1000232?,Pro Kabaddi Season 5,UP Yoddha,45.50 L,SOLD
rishank-devadiga-1000232?,Pro Kabaddi Season 4,U Mumba,17.40 L,SOLD
shrikant-jadhav-1000218?,Pro Kabaddi Season 9,Bengal Warriors,26.00 L,SOLD
shrikant-jadhav-1000218?,Pro Kabaddi Season 8,UP Yoddha,72.00 L,FBM
shrikant-jadhav-1000218?,Pro Kabaddi Season 7,UP Yoddha,68.00 L,FBM
shrikant-jadhav-1000218?,Pro Kabaddi Season 6,UP Yoddha,37.00 L,SOLD
shrikant-jadhav-1000218?,Pro Kabaddi Season 5,U Mumba,8.00 L,SOLD
shrikant-jadhav-1000218?,Pro Kabaddi Season 4,Bengal Warriors,5.00 L,SOLD
fazel-atrachali-1000065?,Pro Kabaddi Season 9,Puneri Paltan,138.00 L,SOLD
fazel-atrachali-1000065?,Pro Kabaddi Season 8,U Mumba,121.00 L,RETAINED
fazel-atrachali-1000065?,Pro Kabaddi Season 7,U Mumba,110.00 L,RETAINED
fazel-atrachali-1000065?,Pro Kabaddi Season 6,U Mumba,100.00 L,SOLD
fazel-atrachali-1000065?,Pro Kabaddi Season 5,Gujarat Fortunegiants,55.00 L,SOLD
fazel-atrachali-1000065?,Pro Kabaddi Season 4,Patna Pirates,38.00 L,SOLD
anup-kumar-1000203?,Pro Kabaddi Season 6,Jaipur Pink Panthers,30.00 L,SOLD
anup-kumar-1000203?,Pro Kabaddi Season 5,U Mumba,56.65 L,RETAINED
anup-kumar-1000203?,Pro Kabaddi Season 4,U Mumba,22.00 L,SOLD
kashiling-adake-1000211?,Pro Kabaddi Season 6,Bengaluru Bulls,32.00 L,SOLD
kashiling-adake-1000211?,Pro Kabaddi Season 5,U Mumba,48.00 L,SOLD
kashiling-adake-1000211?,Pro Kabaddi Season 4,Dabang Delhi KC,19.00 L,SOLD
