Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Anup Kumar,1,2,1%,,100.00%,
Anup Kumar,2,13,5%,7.70%,84.60%,7.70%
Anup Kumar,3,12,4%,50.00%,25.00%,25.00%
Anup Kumar,4,23,8%,78.30%,8.70%,13.00%
Anup Kumar,5,44,16%,95.50%,2.30%,2.30%
Anup Kumar,6,41,15%,46.30%,31.70%,22.00%
Anup Kumar,7,146,52%,45.20%,36.30%,18.50%
Darshan Kadian,2,1,1%,,100.00%,
Darshan Kadian,3,5,7%,40.00%,20.00%,40.00%
Darshan Kadian,4,11,15%,18.20%,36.40%,45.50%
Darshan Kadian,5,20,28%,45.00%,20.00%,35.00%
Darshan Kadian,6,9,13%,44.40%,33.30%,22.20%
Darshan Kadian,7,26,36%,15.40%,46.20%,38.50%
Deepak Yadav,6,1,50%,100.00%,,
Deepak Yadav,7,1,50%,,,100.00%
Dong Ju Hong,7,1,100%,,,100.00%
Kashiling Adake,1,2,1%,,100.00%,
Kashiling Adake,2,2,1%,,100.00%,
Kashiling Adake,3,11,5%,18.20%,72.70%,9.10%
Kashiling Adake,4,20,9%,45.00%,30.00%,25.00%
Kashiling Adake,5,39,17%,56.40%,25.60%,17.90%
Kashiling Adake,6,53,24%,34.00%,39.60%,26.40%
Kashiling Adake,7,96,43%,39.60%,36.50%,24.00%
Kuldeep Singh,4,4,10%,25.00%,,75.00%
Kuldeep Singh,5,5,12%,100.00%,,
Kuldeep Singh,6,12,29%,58.30%,25.00%,16.70%
Kuldeep Singh,7,20,49%,40.00%,20.00%,40.00%
Mohan Raman G,4,1,11%,,100.00%,
Mohan Raman G,5,2,22%,,50.00%,50.00%
Mohan Raman G,6,1,11%,,,100.00%
Mohan Raman G,7,5,56%,20.00%,40.00%,40.00%
Nitin Madane,3,1,2%,100.00%,,
Nitin Madane,4,3,6%,33.30%,,66.70%
Nitin Madane,5,14,27%,35.70%,21.40%,42.90%
Nitin Madane,6,9,18%,33.30%,44.40%,22.20%
Nitin Madane,7,24,47%,54.20%,20.80%,25.00%
Shabeer Bappu,1,1,1%,,100.00%,
Shabeer Bappu,2,4,4%,25.00%,75.00%,
Shabeer Bappu,3,6,6%,66.70%,16.70%,16.70%
Shabeer Bappu,4,13,12%,38.50%,23.10%,38.50%
Shabeer Bappu,5,20,19%,85.00%,5.00%,10.00%
Shabeer Bappu,6,26,24%,53.80%,30.80%,15.40%
Shabeer Bappu,7,38,35%,36.80%,39.50%,23.70%
Shrikant Jadhav,2,1,1%,,100.00%,
Shrikant Jadhav,3,3,2%,66.70%,33.30%,
Shrikant Jadhav,4,15,9%,33.30%,13.30%,53.30%
Shrikant Jadhav,5,28,16%,53.60%,14.30%,32.10%
Shrikant Jadhav,6,46,27%,19.60%,56.50%,23.90%
Shrikant Jadhav,7,77,45%,31.20%,49.40%,19.50%
Surinder Singh,7,3,100%,100.00%,,
Yong Joo Ok,6,2,100%,50.00%,50.00%,
