Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Jaideep,5,2,40%,100.00%,,
Jaideep,6,1,20%,100.00%,,
Jaideep,7,2,40%,100.00%,,
Jawahar Dagar,5,2,9%,50.00%,50.00%,
Jawahar Dagar,6,3,13%,,,100.00%
Jawahar Dagar,7,18,78%,77.80%,11.10%,11.10%
Manish,7,2,100%,,,100.00%
Monu Goyat,1,1,0%,,100.00%,
Monu Goyat,2,1,0%,,,100.00%
Monu Goyat,3,15,4%,33.30%,40.00%,26.70%
Monu Goyat,4,40,11%,37.50%,50.00%,12.50%
Monu Goyat,5,75,21%,44.00%,34.70%,21.30%
Monu Goyat,6,76,21%,26.30%,50.00%,23.70%
Monu Goyat,7,157,43%,34.40%,43.90%,21.70%
Pardeep Narwal,1,10,2%,,100.00%,
Pardeep Narwal,2,54,9%,,94.40%,5.60%
Pardeep Narwal,3,59,10%,32.20%,57.60%,10.20%
Pardeep Narwal,4,72,12%,45.80%,34.70%,19.40%
Pardeep Narwal,5,71,12%,59.20%,23.90%,16.90%
Pardeep Narwal,6,119,20%,31.10%,46.20%,22.70%
Pardeep Narwal,7,201,34%,31.80%,42.80%,25.40%
Satish,6,1,100%,100.00%,,
Vijay,3,3,4%,66.70%,33.30%,
Vijay,4,2,2%,100.00%,,
Vijay,5,9,11%,88.90%,11.10%,
Vijay,6,21,25%,57.10%,19.00%,23.80%
Vijay,7,48,58%,66.70%,25.00%,8.30%
Vikas Jaglan,3,2,8%,100.00%,,
Vikas Jaglan,4,1,4%,,,100.00%
Vikas Jaglan,5,2,8%,100.00%,,
Vikas Jaglan,6,3,12%,33.30%,,66.70%
Vikas Jaglan,7,17,68%,35.30%,47.10%,17.60%
Vinod Kumar,3,1,1%,100.00%,,
Vinod Kumar,4,2,3%,50.00%,,50.00%
Vinod Kumar,5,7,9%,42.90%,28.60%,28.60%
Vinod Kumar,6,21,28%,57.10%,19.00%,23.80%
Vinod Kumar,7,44,59%,38.60%,31.80%,29.50%
Vishal Mane,6,1,100%,100.00%,,
Vishnu Uthaman,5,2,29%,50.00%,,50.00%
Vishnu Uthaman,6,4,57%,50.00%,,50.00%
Vishnu Uthaman,7,1,14%,,,100.00%
