Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ajvender Singh,5,1,100%,100.00%,,
Gulveer Singh,5,1,13%,,,100.00%
Gulveer Singh,6,2,25%,,,100.00%
Gulveer Singh,7,5,63%,,20.00%,80.00%
Hadi Tajik,5,1,8%,,,100.00%
Hadi Tajik,6,1,8%,,,100.00%
Hadi Tajik,7,10,83%,30.00%,20.00%,50.00%
Jeeva Kumar,4,1,50%,100.00%,,
Jeeva Kumar,6,1,50%,100.00%,,
Mahesh Goud,2,1,1%,,,100.00%
Mahesh Goud,3,1,1%,,,100.00%
Mahesh Goud,4,13,14%,7.70%,46.20%,46.20%
Mahesh Goud,5,20,22%,60.00%,15.00%,25.00%
Mahesh Goud,6,17,19%,41.20%,52.90%,5.90%
Mahesh Goud,7,38,42%,34.20%,34.20%,31.60%
Nitesh Kumar,4,1,50%,100.00%,,
Nitesh Kumar,6,1,50%,100.00%,,
Nitin Tomar,1,2,1%,,100.00%,
Nitin Tomar,2,19,6%,10.50%,78.90%,10.50%
Nitin Tomar,3,27,8%,48.10%,40.70%,11.10%
Nitin Tomar,4,42,13%,47.60%,31.00%,21.40%
Nitin Tomar,5,50,15%,72.00%,14.00%,14.00%
Nitin Tomar,6,60,18%,40.00%,45.00%,15.00%
Nitin Tomar,7,127,39%,39.40%,48.80%,11.80%
Pankaj,6,3,50%,33.30%,,66.70%
Pankaj,7,3,50%,66.70%,,33.30%
Rajesh Narwal,1,1,1%,,100.00%,
Rajesh Narwal,3,1,1%,100.00%,,
Rajesh Narwal,4,11,14%,100.00%,,
Rajesh Narwal,5,17,21%,100.00%,,
Rajesh Narwal,6,22,28%,77.30%,4.50%,18.20%
Rajesh Narwal,7,28,35%,53.60%,17.90%,28.60%
Rishank Devadiga,1,1,0%,,100.00%,
Rishank Devadiga,2,9,3%,11.10%,66.70%,22.20%
Rishank Devadiga,3,19,6%,42.10%,42.10%,15.80%
Rishank Devadiga,4,41,13%,39.00%,19.50%,41.50%
Rishank Devadiga,5,79,26%,54.40%,16.50%,29.10%
Rishank Devadiga,6,68,22%,20.60%,57.40%,22.10%
Rishank Devadiga,7,88,29%,23.90%,60.20%,15.90%
Rohit Kumar,7,2,100%,,50.00%,50.00%
Sagar Krishna,6,3,30%,100.00%,,
Sagar Krishna,7,7,70%,71.40%,14.30%,14.30%
Sanoj Kumar,5,1,50%,,100.00%,
Sanoj Kumar,7,1,50%,,100.00%,
Santhosh B.S,4,3,17%,33.30%,,66.70%
Santhosh B.S,5,4,22%,50.00%,,50.00%
Santhosh B.S,6,2,11%,100.00%,,
Santhosh B.S,7,9,50%,66.70%,11.10%,22.20%
Sulieman Kabir,5,2,67%,50.00%,,50.00%
Sulieman Kabir,7,1,33%,,,100.00%
Sunil,4,1,33%,100.00%,,
Sunil,5,1,33%,,,100.00%
Sunil,7,1,33%,,,100.00%
Surender Singh,3,4,3%,50.00%,25.00%,25.00%
Surender Singh,4,11,8%,45.50%,36.40%,18.20%
Surender Singh,5,24,18%,41.70%,8.30%,50.00%
Surender Singh,6,27,21%,44.40%,25.90%,29.60%
Surender Singh,7,65,50%,30.80%,50.80%,18.50%
