team,season,Raider Name,Total Raids,Successful Raids,Unnamed: 3
Haryana Steelers,PKL-S7,Vikash Khandola,384,152,40%
Haryana Steelers,PKL-S7,Vinay,230,90,39%
Haryana Steelers,PKL-S7,Prashanth Kumar Rai,135,71,53%
Haryana Steelers,PKL-S7,Naveen,130,50,38%
Haryana Steelers,PKL-S7,Selvamani K,36,7,19%
Haryana Steelers,PKL-S7,Dharmaraj Cheralathan,18,1,6%
Haryana Steelers,PKL-S7,Ravi Kumar,11,0,0%
Haryana Steelers,PKL-S7,Vikas Chhillar,6,3,50%
Haryana Steelers,PKL-S7,Phonchoo Tin,5,1,20%
Haryana Steelers,PKL-S7,Arun Kumar HN,5,1,20%
Haryana Steelers,PKL-S7,Vikas Kale,4,0,0%
Haryana Steelers,PKL-S7,Vikram Kandola,1,0,0%
Haryana Steelers,PKL-S7,Chand Singh,1,1,100%
U Mumba,PKL-S7,Abhishek Singh,332,144,43%
U Mumba,PKL-S7,Arjun Deshwal,191,82,43%
U Mumba,PKL-S7,Rohit Baliyan,150,37,25%
U Mumba,PKL-S7,Athul MS,125,40,32%
U Mumba,PKL-S7,Sandeep Narwal,67,16,24%
U Mumba,PKL-S7,Dong Geon Lee,46,15,33%
U Mumba,PKL-S7,Ajinkya Rohidas Kapre,26,10,38%
U Mumba,PKL-S7,Fazel Atrachali,15,1,7%
U Mumba,PKL-S7,Navneet,8,3,38%
U Mumba,PKL-S7,Surender Singh,7,1,14%
U Mumba,PKL-S7,Vinoth Kumar,4,0,0%
U Mumba,PKL-S7,Rajaguru Subramanian,2,0,0%
U Mumba,PKL-S7,Anil,1,1,100%
Dabang Delhi,PKL-S7,Naveen Kumar,472,261,55%
Dabang Delhi,PKL-S7,Chandran Ranjit,262,91,35%
Dabang Delhi,PKL-S7,Vijay,107,38,36%
Dabang Delhi,PKL-S7,Meraj Sheykh,90,31,34%
Dabang Delhi,PKL-S7,Neeraj Narwal,19,5,26%
Dabang Delhi,PKL-S7,Aman Kadian,11,3,27%
Dabang Delhi,PKL-S7,Anil Kumar,6,1,17%
Dabang Delhi,PKL-S7,Sumit Kumar,3,0,0%
Dabang Delhi,PKL-S7,Sombir,3,1,33%
Dabang Delhi,PKL-S7,Balram,3,1,33%
Dabang Delhi,PKL-S7,Vishal Mane,2,0,0%
Dabang Delhi,PKL-S7,Saeid Ghaﬀari,1,0,0%
Dabang Delhi,PKL-S7,Ravinder Pahal,1,0,0%
Tamil Thailaivas,PKL-S7,Rahul Chaudhari,325,112,34%
Tamil Thailaivas,PKL-S7,V. Ajith Kumar,217,102,47%
Tamil Thailaivas,PKL-S7,Ajay Thakur,171,50,29%
Tamil Thailaivas,PKL-S7,Shabeer Bappu,93,17,18%
Tamil Thailaivas,PKL-S7,Vineet Kumar,21,4,19%
Tamil Thailaivas,PKL-S7,Manjeet Chhillar,19,0,0%
Tamil Thailaivas,PKL-S7,Victor Obiero,17,8,47%
Tamil Thailaivas,PKL-S7,Ran Singh,17,7,41%
Tamil Thailaivas,PKL-S7,Anand,13,3,23%
