id,result,prev_position,date,teama_id,teama_short_name,teama_score,teamb_id,teamb_short_name,teamb_score,post_match_position,match_result,team_id
2894,L,,2022-10-07,3,JAI,32,30,UP,34,,UP Yoddhas Won by 2 Pts,3
2898,W,,2022-10-09,3,JAI,35,6,PAT,30,,Jaipur Pink Panthers Won by 5 Pts,3
2908,W,,2022-10-14,28,HAR,31,3,JAI,44,,Jaipur Pink Panthers Won by 13 Pts,3
2910,W,,2022-10-15,3,JAI,25,31,GUJ,18,,Jaipur Pink Panthers Won by 7 Pts,3
2917,W,,2022-10-18,4,KOL,24,3,JAI,39,,Jaipur Pink Panthers Won by 15 Pts,3
2925,W,,2022-10-22,3,JAI,51,8,HYD,27,,Jaipur Pink Panthers Won by 24 Pts,3
2929,L,,2022-10-25,7,PUNE,32,3,JAI,24,,Puneri Paltan Won by 8 Pts,3
2933,L,,2022-10-28,29,CHE,38,3,JAI,27,,Tamil Thalaivas Won by 11 Pts,3
2939,L,,2022-10-30,3,JAI,31,1,BLR,37,,Bengaluru Bulls Won by 6 Pts,3
2948,W,,2022-11-04,2,DEL,40,3,JAI,45,,Jaipur Pink Panthers Won by 5 Pts,3
2955,W,,2022-11-07,5,MUM,39,3,JAI,42,,Jaipur Pink Panthers Won by 3 Pts,3
2963,L,,2022-11-11,6,PAT,37,3,JAI,30,,Patna Pirates Won by 7 Pts,3
2966,W,,2022-11-12,3,JAI,57,2,DEL,32,,Jaipur Pink Panthers Won by 25 Pts,3
2971,W,,2022-11-15,3,JAI,32,5,MUM,22,,Jaipur Pink Panthers Won by 10 Pts,3
2978,W,,2022-11-19,30,UP,29,3,JAI,42,,Jaipur Pink Panthers Won by 13 Pts,3
2987,L,,2022-11-23,3,JAI,32,7,PUNE,39,,Puneri Paltan Won by 7 Pts,3
2990,W,,2022-11-25,3,JAI,41,29,CHE,26,,Jaipur Pink Panthers Won by 15 Pts,3
2998,W,,2022-11-28,8,HYD,28,3,JAI,48,,Jaipur Pink Panthers Won by 20 Pts,3
3001,W,,2022-11-30,1,BLR,25,3,JAI,45,,Jaipur Pink Panthers Won by 20 Pts,3
3008,W,,2022-12-03,3,JAI,57,4,KOL,31,,Jaipur Pink Panthers Won by 26 Pts,3
3012,W,,2022-12-05,3,JAI,44,28,HAR,30,,Jaipur Pink Panthers Won by 14 Pts,3
3019,,,2022-12-09,31,GUJ,51,3,JAI,51,,,3
3026,W,,2022-12-15,3,JAI,49,1,BLR,29,,Jaipur Pink Panthers Won by 20 Pts,3
3028,W,,2022-12-17,3,JAI,33,7,PUNE,29,,Jaipur Pink Panthers Won by 4 Pts,3
2895,,,2022-10-08,6,PAT,34,7,PUNE,34,,,7
2900,L,,2022-10-09,7,PUNE,39,1,BLR,41,,Bengaluru Bulls Won by 2 Pts,7
2909,L,,2022-10-14,31,GUJ,47,7,PUNE,37,,Gujarat Giants Won by 10 Pts,7
2913,W,,2022-10-16,7,PUNE,30,5,MUM,28,,Puneri Paltan Won by 2 Pts,7
2918,W,,2022-10-18,8,HYD,25,7,PUNE,26,,Puneri Paltan Won by 1 Pts,7
2922,W,,2022-10-21,7,PUNE,27,4,KOL,25,,Puneri Paltan Won by 2 Pts,7
