Team Line Up,,,,
Team Name,Player Name,Position,Total Played,Total Starts
,Aman Kadian,Raider,1,0
,Khomsan Thongkham,Raider,0,0
,Kamal Kishor,Raider,0,0
Gujarat,Sunil Kumar,Right Cover,25,25
Fortunegiants,Parvesh Bhainswal,Left Cover,25,25
,Sachin,Raider,23,23
,Ruturaj Shivaji Koravi,Right Corner,23,23
,Sachin V.,Left Corner,22,22
,K. Prapanjan,Raider,22,17
,Rohit Gulia,All Rounder,19,9
,Mahendra Rajput,Raider,13,6
,Hadi Oshtorak,All Rounder,13,5
,Ajay Kumar,Raider,13,6
,Dong Geon Lee,Raider,11,9
,Amit,Right Cover,6,1
,Shubham Ashok Palkar,Raider,4,0
,Dharmender,Raider,4,0
,Lalit chaudhary,Raider,3,1
,C Kalai Arasan,Defender,2,2
,Anil,All Rounder,2,0
,Vikram Kandola,Left Cover,1,1
,Yashwant Bishnoi,Raider,0,0
Haryana Steelers,Vikash Khandola,Raider,22,22
,Sunil,Right Corner,22,22
,Kuldeep Singh,All Rounder,22,21
,Naveen,Raider,21,19
,Monu Goyat,Raider,20,19
,Sachin Shingade,Left Cover,19,13
,Parveen Satpal,Left Cover,19,10
,Mayur Shivtarkar,All Rounder,18,16
Haryana Steelers,Sudhanshu Tyagi,Right Cover,13,7
,Prateek,All Rounder,6,1
,Bhuvneshwar Gaur,Raider,6,0
,Anand Surendra Tomar,Raider,5,1
,Wazir Singh,Raider,2,2
,Arun Kumar HN,Raider,2,0
,Surender Nada,Left Corner,1,1
,Phonchoo Tin,All Rounder,0,0
,Patrick Nzau Muvai,All Rounder,0,0
,Amit Singh,Right Cover,0,0
Jaipur Pink,Sandeep Dhull,Left Corner,22,19
Panthers,Deepak Hooda,All Rounder,22,22
,Amit Kumar,Raider,17,10
,Ajinkya Ashok Pawar,Raider,17,14
,Sunil Siddhgavali,Raider,16,16
,Selvamani K,Raider,14,7
,Santhapanaselvam,All Rounder,14,8
,Mohit Chhillar,Right Corner,14,14
,Anup Kumar,Raider,13,13
,Young Chang Ko,Left Cover,12,10
,Nitin Rawal,Left Cover,9,7
,Anand Patil,Raider,7,5
,Lokesh Kaushik,Raider,6,2
,Gangadhari Mallesh,Raider,6,1
,Bajirao Hodage,Right Cover,6,6
,Ajit Singh,Raider,6,0
,David Mosambayi,Raider,4,0
,N. Shiva Ramakrishna,All Rounder,1,0
Patna Pirates,Vikas Kale,Right Cover,22,22
,Manjeet,Raider,22,21
,Jaideep,Left Corner,22,22
,Vijay,Raider,21,7
,Pardeep Narwal,Raider,21,21
,Manish,Right Cover,17,1
,Deepak Narwal,Raider,17,14
,Jawahar Dagar,Raider,15,14
,Vikas Jaglan,Raider,14,11
,Tae Deok Eom,Defender,11,8
,Tushar Patil,Raider,9,2
,Ravinder Kumar,Defender,8,7
,Kuldeep Singh,Defender,7,3
,Vijay Kumar,Left Corner,4,1
,Surender Singh,Raider,1,0
Patna Pirates,Ogak Haggai Odhiambo,All Rounder,0,0
Puneri Paltan,Ravi Kumar,Right Cover,22,22
,More G B,Raider,22,16
,Girish Maruti Ernak,Left Corner,20,20
,Sandeep Narwal,All Rounder,18,17
,Akshay Jadhav,Raider,18,12
,Rinku Narwal,Left Corner,15,12
,Monu Sandhu,Raider,14,13
,Rajesh Mondal,Raider,11,6
,Nitin Tomar,Raider,11,11
,Deepak Kumar Dahiya,Raider,11,8
,Shubham Shinde,Right Corner,10,8
,Parvesh,Raider,6,1
,Amit Kumar,All Rounder,6,2
,Sandeep,All Rounder,5,4
,Vinod Kumar,Left Cover,2,2
,Sanjay Shrestha,All Rounder,0,0
,Lal Mohar Yadav,Raider,0,0
,Bajrang,Right Cover,0,0
Tamil Thalaivas,Ajay Thakur,Raider,22,22
,Manjeet Chhillar,All Rounder,19,19
,Athul M S,All Rounder,19,9
,Amit Hooda,Right Corner,18,18
,Sukesh Hegde,Raider,17,17
,Jasvir Singh,Raider,16,11
,C. Arun,Left Cover,16,9
,D. Pradap,All Rounder,13,10
,Ponparthiban Subramanian,Right Cover,12,12
,Sunil,Left Corner,11,8
,Surjeet Singh,Raider,9,5
,Darshan J.,Right Cover,9,7
,Vimal Raj V,All Rounder,5,2
,D. Gopu,Defender,5,3
,Anil Kumar,Raider,4,1
,Victor Obiero,All Rounder,3,0
,Anand,Raider,3,1
,K. Jayaseelan,Raider,1,0
,Chan Sik Park,All Rounder,0,0
,Abhinandan Chandel,Raider,0,0
Telugu Titans,Farhad Milaghardan,Right Cover,22,21
,Rahul Chaudhari,Raider,21,21
,Abozar Mighani,Right Corner,21,20
,Nilesh Salunke,Raider,19,18
Telugu Titans,Mohsen Maghsoudlou,Raider,19,17
,Anil Kumar,Left Cover,18,17
,Vishal Bhardwaj,All Rounder,17,17
,C Manoj Kumar,Left Cover,12,5
,Rakshith,Raider,11,2
,Kamal Singh,Raider,8,3
,Anuj Kumar,Right Cover,7,3
,Krushna Madane,Defender,6,5
,Sombir,Right Corner,4,2
,Rajneesh,Raider,4,2
,Armaan,All Rounder,4,1
,Mahender Reddy,All Rounder,1,0
,Deepak,Left Cover,1,0
,Ankit Beniwal,Raider,1,0
U Mumba,Fazel Atrachali,Left Corner,23,23
,Surinder Singh,Right Cover,22,22
,Dharmaraj Cheralathan,Defender,22,22
,Siddharth Sirish Desai,Raider,21,20
,Rohit Rana,Left Cover,19,18
,Rohit Baliyan,Raider,19,16
,Vinod Kumar,Raider,17,7
,Abhishek Singh,Raider,15,12
,Darshan Kadian,Raider,14,7
,Abolfazl Maghsodlou,Raider,10,5
,Rajaguru Subramanian,Right Cover,8,6
,R. Sriram,Raider,3,0
,Hadi Tajik,Right Corner,3,3
,Gaurav Kumar,Raider,3,0
,Arjun Deshwal,Raider,3,0
,E Subash,All Rounder,2,0
,Anil,Left cover,1,0
,Mohit Balyan,All Rounder,0,0
UP Yoddha,Shrikant Jadhav,Raider,25,24
,Sachin Kumar,Left Corner,25,19
,Nitesh Kumar,Right Corner,25,25
,Narender Hooda,All Rounder,25,25
,Rishank Devadiga,Raider,23,22
,Prashanth Kumar Rai,Raider,21,20
,Sagar Krishna,All Rounder,20,10
,Jeeva Kumar,Defender,19,19
,Amit,Left Cover,14,6
,Azad singh,Raider,9,2
,Rohit Kumar Choudary,Raider,6,2
UP Yoddha,Bhanu Tomar,Raider,6,1
,Md Masud Karim,Raider,3,0
,Aashish Nagar,Right Corner,3,0
,Vishav Chaudhary,Left Cover,2,0
,Pankaj,All Rounder,1,0
,Ranidu Chamara,Right Corner,0,0
,Arkam Shaikh,All Rounder,0,0
