Team Line Up,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Team Name,Player Name,Position,,,Total Played,,,Total Starts,,
Bengal Warriors,Baldev Singh,Right Corner,Abc,,,,24,,,24.0
,Rinku Narwal,Left Corner,Abc,,,,23,,,23.0
,Mohammad Esmaeil Nabibakh,All Rounder,Abc,,,,23,,,23.0
,Jeeva Kumar,Defender,Abc,,,,22,,,22.0
,Maninder Singh,Raider,Abc,,,,20,,,20.0
,K. Prapanjan,Raider,Abc,,,,20,,18.0,
,Sukesh Hegde,Raider,Abc,,,16.0,,7,,
,Adarsh T,Left Corner,Abc,,,12.0,,1,,
,Mayur Shivtarkar,All Rounder,Abc,,,11.0,,,11.0,
,Viraj Vishnu Landge,Left Cover,Abc,,,9.0,,7,,
,Ravindra Ramesh Kumawat,All Rounder,Abc,4,,,,0,,
,Rakesh Narwal,Raider,Abc,4,,,,1,,
,Mohammad Taghi Paein Maha,Raider,Abc,4,,,,2,,
,Amit,Right Corner,Abc,4,,,,0,,
,Vijin Thangadurai,Right Cover,Abc,3,,,,3,,
,Sunil Manik Dubile,All Rounder,Abc,3,,,,1,,
,Sourabh Tanaji Patil,All Rounder,Abc,3,,,,2,,
,Naveen Narwal,Right Cover,Abc,3,,,,3,,
,Avinash A. R.,All Rounder,Abc1,,,,,0,,
,Dharmendra Singh,Left Corner,Abc0,,,,,0,,
,Amir Santosh Dhumal,All Rounder,Abc0,,,,,0,,
Bengaluru Bulls,Pawan Sehrawat,Raider,Abc,,,,24,,,24.0
,Amit Sheoran,Defender,Abc,,,,24,,,23.0
,Saurabh Nandal,Left Corner,Abc,,,,23,,,23.0
,Mahender Singh,Left Cover,Abc,,,,21,,18.0,
,Sumit Singh,Raider,Abc,,,,20,,15.0,
,Rohit Kumar,Raider,Abc,,,19.0,,,18.0,
,Mohit Sehrawat,Right Cover,Abc,,,17.0,,,12.0,
,Banty,Raider,Abc,,,15.0,,8,,
,Ankit,Defender,Abc,,,12.0,,,9.0,
,Ajay,Defender,Abc,,,11.0,,6,,
,Vijay Kumar,Left Corner,Abc,,,10.0,,5,,
,Ashish Kumar,Right Cover,Abc,,7,,,5,,
,Sandeep,Defender,Abc 2,,,,,0,,
,Aman,Left Corner,Abc 2,,,,,1,,
,Vinod Kumar,Raider,Abc1,,,,,1,,
,Raju Lal Choudhary,Right Corner,Abc1,,,,,0,,
,Sanjay Shrestha,All Rounder,Abc0,,,,,0,,
,Lal Mohar Yadav,Raider,Abc0,,,,,0,,
Dabang Delhi,Vishal Mane,Right Cover,Abc,,,,23,,,23.0
,Ravinder Pahal,Right Corner,Abc,,,,23,,,23.0
,Naveen Kumar,Raider,Abc,,,,23,,,23.0
,Vijay,Raider,Abc,,,,22,,17.0,
,Joginder Narwal,Left Corner,,,,,,,,
Team Line Up,,,,,,,,,,
Team Name,Player Name,Position,,,Total Played,,,Total Starts,,
,Vijay,Raider,,,,,,,,
Dabang Delhi,Joginder Narwal,Left Corner,Abc,,,,22,,,22.0
,Chandran Ranjit,Raider,Abc,,,,22,,,21.0
,Anil Kumar,Left Cover,Abc,,,19.0,,,16.0,
,Meraj Sheykh,All Rounder,Abc,,,17.0,,,10.0,
,Sombir,Right Corner,Abc,,,12.0,,1,,
,Saeid Ghaﬀari,Left Cover,Abc,,,9.0,,7,,
,Neeraj Narwal,Raider,Abc,4,,,,1,,
,Aman Kadian,Raider,Abc,4,,,,0,,
,Sumit Bhaiswal,Left Cover,Abc,3,,,,1,,
,Balram,All Rounder,Abc,3,,,,1,,
,Satywan,Left Cover,Abc 2,,,,,0,,
