Team Line Up,,,,
Team Name,Player Name,Position,Total Played,Total Starts
Bengal Warriors,Maninder Singh,Null,21,21
,Shrikant Jadhav,Null,20,20
,Shubham Shinde,Null,19,18
,Vaibhav Garje,Null,18,17
,Balaji D,Null,18,17
,Girish Maruti Ernak,Null,17,17
,Deepak Hooda,Null,16,15
,Manoj Gowda,Null,14,3
,Surender Nada,Null,9,3
,Sakthivel R,Null,7,3
,Ashish Sangwan,Null,7,4
,Ajinkya Kapre,Null,7,1
,Parveen Satpal,Null,5,4
,Aslam Thambi,Null,5,2
,Vinod Kumar,Null,3,1
,R Guhan,Null,3,0
,Akash Pikalmunde,Null,3,0
,Suyog Gaikar,Null,2,1
,Soleiman Pahlevani,Null,2,1
,Rohit,Null,2,0
,Amit Sheoran,Null,2,1
,Parshant Kumar,Null,1,1
Bengaluru Bulls,Vikash Kandola,Null,24,23
,Saurabh Nandal,Null,24,24
,Neeraj Narwal,Null,24,23
,Aman,Null,24,24
,Mahender Singh,Null,23,23
,Bharat,Null,23,23
,Mayur Kadam,Null,17,16
,,Null,15,3
,Sachin Narwal,,,
,,All Rounder,1,0
,More G B,Null,10,2
,Sudhakar Krishant,Null,9,2
,Narender Hooda,Null,9,0
,Ran Singh,Null,8,1
,Rajnesh,Null,5,3
,Ponparthiban Subramanian,Null,4,4
,Harmanjit Singh,Null,3,0
,Rajesh Narwal,Null,1,0
,Yash Hooda,Null,0,0
,Nageshor Tharu,Null,0,0
,Lal Mohar Yadav,Null,0,0
Dabang Delhi,Naveen Kumar,Null,23,23
Dabang Delhi,Ashu Malik,Null,23,23
,Vishal,Null,22,22
,Krishan,Null,21,15
,Manjeet,Null,20,11
,Ravi Kumar,Null,19,17
,Vijay Kumar,Null,18,10
,Sandeep Dhull,Null,17,13
,Amit Hooda,Null,13,8
,Vijay Malik,Null,11,11
,Dipak,Null,9,6
,Ashish Narwal,Null,7,0
,Anil Kumar,Null,5,2
,Tejas Patil,Null,2,0
,Vinay Kumar,Null,0,0
,Suraj Panwar,Null,0,0
,Reza Katoulinezhad,Null,0,0
,Monu,Null,0,0
,Md. Liton Ali,Null,0,0
Gujarat Giants,Arkam Shaikh,Null,22,22
,Shankar Gadai,Null,20,16
,Rinku Narwal,Null,20,17
,Rakesh,Null,17,17
,Chandran Ranjit,Null,17,15
,Sourav Gulia,Null,16,16
,Mahendra Rajput,Null,15,1
,Sandeep Kandola,Null,14,5
,Parteek Dhaiya,Null,13,11
,Sonu,Null,12,6
,Dong Geon Lee,Null,12,5
,Manuj,Null,10,5
,Baldev Singh,Null,8,1
,Kapil,Null,7,4
,Parteek Dahiya,Null,6,6
,Pardeep Kumar,Null,5,1
,Vijin Thangadurai,Null,4,2
,Sandeep,Null,3,0
,Priyank Chandel,Null,3,0
,Prashanth Kumar Rai,Null,3,3
,Rohit Kumar,Null,2,1
,Purna Singh,Null,2,0
,Rohan Singh,Null,1,0
,Rakesh Sangroya,,1,1
,Mohammad Ghorbani,Null,1,0
Gujarat Giants,Sawin,Null,0,0
Haryana Steelers,Nitin Rawal,Null,21,21
,Manjeet,Null,21,21
,Jaideep Dahiya,Null,20,20
,Mohit Nandal,Null,16,15
,Vinay,Null,15,3
,Rakesh Narwal,Null,15,11
,Meetu Sharma,Null,15,14
,Amirhossein Bastami,Null,15,13
,K. Prapanjan,Null,12,4
,Monu Hooda,Null,10,5
,Joginder Narwal,Null,8,7
,Sushil,Null,5,0
,Harsh,Null,5,1
,Sunny Sehrawat,Null,4,2
,Monu,Null,4,3
,Mohit,Null,4,4
,Meetu,Null,4,3
,Manish Gulia,Null,4,0
,Lovepreet Singh,Null,3,0
,Sunny,Null,2,0
,Naveen Kundu,Null,2,0
,Mohammad Mahalli,Null,2,0
,Ankit,Null,2,0
,Navneet,Null,1,0
,Maninder Singh,Null,1,0
Jaipur Pink,Sahul Kumar,Null,24,23
Panthers,Arjun Deshwal,Null,24,23
,Ankush,Null,24,24
,Sunil Kumar,Null,23,23
,V Ajith Kumar,Null,21,20
,Rahul Chaudhari,Null,21,20
,Abhishek KS,Null,18,17
,Reza Mirbagheri,Null,16,13
,Lucky Sharma,Null,15,0
,Bhavani Rajput,Null,14,2
,Devank,Null,5,0
,Nitin Panwar,Null,4,0
,Ashish,Null,4,0
,Nitin Chandel,Null,3,1
,Navneet,Null,3,1
,Deepak Singh,Null,3,1
,Rahul Dhanawade,Null,1,0
Jaipur Pink,Woosan Ko,Null,0,0
Panthers,Marimuthu Kamaraj,Null,0,0
Patna Pirates,Sunil,Null,22,21
,Neeraj Kumar,Null,21,21
,Sachin,Null,20,20
,Mohammadreza Chiyaneh,Null,20,20
,Rohit Gulia,Null,19,19
,Monu,Null,18,17
,Sajin C,Null,13,12
,Manish,Null,13,10
,Naveen Sharma,Null,8,1
,,Null,6,1
,Ranjit Naik,,,
,,,1,0
,Abdul Insamam,Null,7,2
,Anuj Kumar,Null,5,3
,Vishwas S,Null,4,2
,Anand Tomar,Null,4,1
,Thiyagarajan Yuvaraj,Null,3,2
,Shivam Chaudhary,Null,"1
0",
,Daniel Odhiambo,Null,2,1
,Sukesh Hegde,Null,1,0
,Sager Kumar,Null,1,0
,Akshay Jaywant Bodake,Null,0,0
Puneri Paltan,Sanket Sawant,Null,24,23
,Akash Shinde,Null,22,14
,Fazel Atrachali,Null,21,21
,Sombir,Null,18,17
,Mohit Goyat,Null,17,17
,Aslam Inamdar,Null,17,17
,Gaurav Khatri,Null,16,4
,Mohammad Nabibakhsh,Null,15,15
,Abinesh Nadarajan,Null,15,15
,Pankaj Mohite,Null,13,6
,Badal Singh,Null,12,3
,Rakesh Ram,Null,8,4
,Balasaheb Jadhav,Null,6,5
,Aditya Shinde,Null,6,3
,Alankar Patil,Null,3,2
,Saurabh,Null,2,1
,Govind Gurjar,Null,2,1
,Harsh Lad,Null,1,1
,D MahindraPrasad,Null,1,1
Puneri Paltan,Akash Chaudhary,Null,1,1
Tamil Thalaivas,Sahil Gulia,Null,23,23
,Narender,Null,23,23
,M. Abishek,Null,23,23
,Himanshu,Null,23,18
,Mohit,Null,22,22
,Ajinkya Pawar,Null,22,20
,Himanshu Singh,Null,18,6
,Sagar,Null,17,17
,Visvanath V,Null,11,4
,Sachin,Null,9,2
,Arpit Saroha,Null,8,6
,Sahil,Null,7,1
,K. Abhimanyu,Null,6,1
,Aashish,Null,6,3
,Himanshu Narwal,Null,3,0
,Md. Arif Rabbani,Null,2,1
,Pawan Sehrawat,Null,1,1
,Thanushan Laxmamohan,Null,0,0
,Ankit,Null,0,0
Telugu Titans,Parvesh Bhainswal,Null,,21
,Vishal Bhardwaj,Null,18,19
,,Null,15,17
,Siddharth Desai,,,12
,,Raider,1,0
,Abhishek Singh,Null,16,15
,Vinay,Null,15,8
,Mohsen Maghsoudlou,Null,15,10
,Ankit,Null,15,9
,Adarsh T,Null,15,7
,Surjeet Singh,Null,13,10
,Vijay Kumar,Null,10,7
,Monu Goyat,Null,10,9
,Prince D,Null,9,6
,Nitin,Null,7,6
,K Hanumanthu,Null,7,4
,Muhammed Shihas,Null,6,4
,Ravinder Pahal,Null,4,4
,Mohit,Null,4,2
,Mohit Pahal,Null,3,1
,Hamid Nader,Null,3,2
,Rajnish,Null,2,1
,Palla Ramakrishna,Null,2,1
,Sumit,Null,0,0
U Mumba,Harendra Kumar,Null,21,21
,Ashish,Null,21,16
,Mohit,Null,20,17
,Rinku,Null,19,19
,Jai Bhagwan,Null,19,16
,Guman Singh,Null,18,18
,Kiran Magar,Null,16,7
,Rahul Sethpal,Null,15,8
,Surinder Singh,Null,12,12
,Heidarali Ekrami,Null,12,7
,Pranay Rane,Null,11,3
,Shivansh Thakur,Null,6,5
,Shivam,Null,5,2
,Kamlesh,Null,4,0
,Ankush,Null,4,1
,Satywan,Null,2,1
,Vishal Mane,Null,1,1
,Viraj Landge,Null,1,0
,Sachin,Null,1,0
,Rupesh,Null,1,0
,Gholamabbas Korouki,Null,0,0
UP Yoddha,Ashu Singh,Null,23,21
,Pardeep Narwal,Null,22,22
,Nitesh Kumar,Null,22,22
,Sumit,Null,21,21
,Gurdeep,Null,20,14
,Rohit Tomar,Null,18,13
,Surender Gill,Null,14,14
,Shubham Kumar,Null,11,9
,Jaideep,Null,11,2
,Durgesh Kumar,Null,10,6
,Sandeep Narwal,Null,7,6
,Anil Kumar,Null,7,2
,Nitin Tomar,Null,5,2
,Mahipal,Null,5,2
,James Kamweti,Null,5,1
,Rathan K,Null,4,0
,Nitin Panwar,Null,4,2
,Abozar Mighani,Null,4,1
,Aman,Null,3,0
,Gulveer Singh,Null,2,0
,Babu M,Null,2,1
,Nehal Desai,Null,1,0
