Team Line Up,,,,
Team Name,Player Name,Position,Total Played,Total Starts
,Pankaj,All Rounder,3,0
,Kamlesh,,2,0
,Jashandeep Singh,Null,2,1
,Baljinder Darshan Singh,,2,0
,Ajeet,Right Cover,2,1
,Navneet,Raider,0,0
UP Yoddha,Sumit,Left Corner,24,24
,Pardeep Narwal,Raider,24,23
,Nitesh Kumar,Right Corner,24,24
,Surender Gill,Raider,23,23
,Shrikant Jadhav,Raider,23,16
UP Yoddha,Ashu Singh,Right Cover,23,23
,Shubham Kumar,Left cover,21,21
,Gurdeep,All Rounder,19,7
,Mohammad Taghi,Raider,7,1
,Sahil,Raider,6,0
,Gaurav Kumar,Left corner,6,0
,Rohit Tomar,Raider,5,2
,Ankit,Null,4,2
,Ankush,Raider,3,1
,Nitin Panwar,All Rounder,1,0
,Aman Hooda,Raider,1,1
,Aashish Nagar,Right Corner,1,0
,James Kamweti,Raider,0,0
